time,basemat_accel_x,basemat_accel_y,basemat_accel_z,inp_accel_x,inp_accel_y,inp_accel_z,iso1_defb_axial,iso1_defb_shear1,iso1_defb_shear2,iso1_fb_axial,iso1_fb_shear1,iso1_fb_shear2
0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,-0.050410799741534,-0.041993026597889,-5.8401318633109,0,0,0,-3.4546344565976e-05,-8.3051526093095e-06,-8.7911838756787e-07,-0.0027129244387661,-3.757162527641e-07,-3.9770379253371e-08
0.02,-0.13329719390378,0.016038574042265,1.4651933720178,0,0,0,-0.00011166689700474,-3.6921702153902e-05,-9.2471484488584e-07,-0.0087692014217822,-1.6702984592864e-06,-4.1833118479663e-08
0.03,-0.3223583543146,-0.048122973444781,-7.3168073818047,-0.034198626941287,0.021025845114939,0.016574950999587,-0.00012686151971816,-5.3665764008468e-05,-1.0331288835585e-06,-0.0099624351434667,-2.427781975053e-06,-4.6737656045554e-08
0.04,0.037777540905458,0.034321050781823,3.9276673027074,-0.035705440906293,0.013134303319524,-0.0090646941454302,-0.00017590900335945,-8.2084621757689e-05,-2.1263100994536e-06,-0.013814134033818,-3.7134208213329e-06,-9.6192016570767e-08
0.05,0.26918286846214,0.030535967133158,5.7838029551425,-0.03330972481335,0.0054742970991998,-0.031310669635088,-0.00021504124446567,-9.3821692091585e-05,-5.1309511202375e-06,-0.016887188927889,-4.2443933807828e-06,-2.3211877989264e-07
0.06,0.13675110159661,0.024739979782219,3.0766145875321,-0.028904670358848,-0.001649929674437,-0.039809316477107,-0.0001847317128511,-7.9439311521077e-05,-9.5453834807321e-06,-0.014506981410197,-3.5937498033755e-06,-4.3182298837816e-07
0.07,-0.2692537888005,-0.011235166763432,-1.4083433449056,-0.024243667566326,-0.0085317059077381,-0.032936939564587,-0.0001029495507476,-5.6300758238787e-05,-1.3832986217852e-05,-0.0080846282202087,-2.5469863030501e-06,-6.257895573318e-07
0.08,-0.29052573591133,-0.040800923746103,-3.4444359915129,-0.020258516763185,-0.015769228060092,-0.01206157198524,-4.4250234006172e-05,-2.5409289060235e-05,-1.69233974911e-05,-0.0034749708765047,-1.1494891571414e-06,-7.6559646643235e-07
0.09,-0.032360636949481,-0.010522276862588,-3.2458176314654,-0.016892514613936,-0.024219637790237,0.012847282074638,-4.8759280506865e-05,1.657793187488e-06,-1.8014844009913e-05,-0.0038290662982041,7.4996796176264e-08,-8.1497234378927e-07
0.1,-0.017149748361238,0.0040634632856808,-1.0129749874701,-0.013681345945242,-0.034699352146831,0.033075665971667,-8.6913164258792e-05,4.3581588894738e-06,-1.6219521212123e-05,-0.006825290789243,1.9715845988893e-07,-7.3375385608281e-07
0.11,-0.12710234979471,0.011981981398842,1.9006596968423,-0.01005171179363,-0.04726836812436,0.041699310209005,-0.00011916908108078,-3.878036564892e-06,-1.0779345102952e-05,-0.0093583479372734,-1.7543824944823e-07,-4.8764609041913e-07
0.12,0.15496810797208,0.011533094879289,1.896963538082,-0.0057544648516144,-0.060639552497745,0.038110006192401,-0.00013658078590989,5.4933342085552e-06,-1.0111474642191e-06,-0.010725689117504,2.4851257420185e-07,-4.5743241846088e-08
0.13,0.50103987362712,-0.0057833578183543,0.91896647908413,-0.00035052438161087,-0.072034727882454,0.022856498589379,-0.00013338620974248,2.1157742532496e-05,1.4316682716584e-05,-0.010474819051077,9.5715371364555e-07,6.4767146034778e-07
0.14,0.22418618616716,0.0012804013624138,0.22440584789015,0.0065959977892016,-0.078889759749538,0.0013809858609868,-0.00010876623200665,1.4630581229541e-05,3.684529805306e-05,-0.0085414121994822,6.618718952057e-07,1.6668420096886e-06
0.15,-0.073897405661715,-0.0043192649549375,-0.39240216494669,0.016229773409436,-0.078545997692658,-0.022571514230505,-9.2096435329695e-05,-8.651781794466e-06,6.7311106950878e-05,-0.007232333066441,-3.9139739272576e-07,3.045082735254e-06
0.16,0.076289089598222,-0.0018873712988248,0.42503808379704,0.029121992803794,-0.071124592510973,-0.043726939317356,-9.9395745139969e-05,-3.2422219279112e-05,0.00010511606800804,-0.0078055478658418,-1.4667466497598e-06,4.7553388812468e-06
