time,basemat_accel_x,basemat_accel_y,basemat_accel_z,inp_accel_x,inp_accel_y,inp_accel_z,iso1_defb_axial,iso1_defb_shear1,iso1_defb_shear2,iso1_fb_axial,iso1_fb_shear1,iso1_fb_shear2
0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.028915864318598,-0.05151929391565,-6.2100892115607,0,0,0,-5.603752613265e-05,-5.4164867373029e-07,-1.6121106614578e-07,-0.004400626927197,-2.0419673985165e-07,-6.0775140675273e-08
0.02,0.011643062993818,0.014970784630447,4.0159697066354,0,0,0,-0.00018684735595803,-2.6822961123067e-06,-3.4028654144204e-07,-0.014673122863384,-1.0112018172759e-06,-1.2828500978091e-07
0.03,0.06516829993456,-0.044644443592826,-3.5035339165007,-0.034198626941287,2.3651805630776e-19,-2.2501147215283e-16,-0.00020919197884425,-5.8947499909907e-06,-3.1679927101353e-07,-0.016427846098639,-2.222268399336e-06,-1.1943051886241e-07
0.04,-0.038154051235639,0.060780444984375,4.1954591990115,-0.035705440906293,-6.4066509696902e-19,1.5876202794226e-16,-0.00025215051908147,-1.4955414375672e-05,-3.1869279688665e-07,-0.019801380263468,-5.6380584028402e-06,-1.2014436470166e-07
0.05,-0.062431583690006,0.025110210417482,3.7005287708679,-0.03330972481335,6.6968565873864e-19,5.5769724257845e-16,-0.00023640338599052,-2.6921350662373e-05,-3.3417854659126e-07,-0.018564757901835,-1.0149110104891e-05,-1.2598235306302e-07
0.06,-0.054204745198477,-0.011948981613017,-0.49678231991981,-0.028904670358848,1.8166346712306e-18,-1.4139269110819e-16,-0.00012876334294732,-3.5714125463672e-05,-1.2461108612427e-07,-0.010111785321653,-1.3463908104566e-05,-4.6977274974717e-08
0.07,0.009222868534724,-0.016573607793815,-4.362804124838,-0.024243667566326,-3.5889155159263e-18,-4.5690505342436e-16,-3.3974455827951e-05,-4.0449210473977e-05,8.8776164729522e-08,-0.002668014016169,-1.5248993096313e-05,3.3467825542457e-08
0.08,0.083774454358066,-0.04542141151849,-3.5215255122323,-0.020258516763185,-1.2485483996793e-18,-1.6346442505275e-16,-4.3331268790289e-05,-4.5662033482598e-05,-2.2167625774154e-07,-0.0034028045381014,-1.7214181072771e-05,-8.3569980681818e-08
0.09,0.052741086170968,-0.018833740896006,0.58524608107472,-0.016892514613936,5.4493049130528e-18,-1.3603329220575e-16,-0.00013799825349462,-5.7156917299898e-05,-5.4924824333879e-07,-0.010837002846933,-2.1547650182494e-05,-2.0706171311778e-07
