time,basemat_accel_x,basemat_accel_y,basemat_accel_z,inp_accel_x,inp_accel_y,inp_accel_z,iso1_defb_axial,iso1_defb_shear1,iso1_defb_shear2,iso1_fb_axial,iso1_fb_shear1,iso1_fb_shear2
0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,-0.050410675128511,-0.041992788785313,-5.8401327648917,0,0,0,-3.454632426082e-05,-8.3051979895585e-06,-8.7903209118807e-07,-0.0027129228442022,-3.7571830514832e-07,-3.9766475259547e-08
0.02,-0.13329744688365,0.016039575702848,1.4651931033941,0,0,0,-0.00011166684307241,-3.6921840334578e-05,-9.2437584878298e-07,-0.0087691971864764,-1.6703047017807e-06,-4.1817782298917e-08
