Series Type,x,y
Cladding O.D. (mils),5.3009,230.45
Cladding O.D. (mils),5.3565,230.41
Cladding O.D. (mils),5.4306,230.42
Cladding O.D. (mils),5.5231,230.29
Cladding O.D. (mils),5.5417,230.25
Cladding O.D. (mils),5.5602,230.21
Cladding O.D. (mils),5.5972,230.17
Cladding O.D. (mils),5.7454,230.37
Cladding O.D. (mils),5.7824,230.61
Cladding O.D. (mils),5.8009,230.17
Cladding O.D. (mils),5.9306,230.11
Cladding O.D. (mils),6.0046,230.11
Cladding O.D. (mils),6.0787,230.12
Cladding O.D. (mils),6.1343,230.17
Cladding O.D. (mils),6.2083,230.21
Cladding O.D. (mils),6.3009,230.23
Cladding O.D. (mils),6.375,230.26
Cladding O.D. (mils),6.4491,230.25
Cladding O.D. (mils),6.4676,230.21
Cladding O.D. (mils),6.5046,230.17
Cladding O.D. (mils),6.5787,230.16
Cladding O.D. (mils),6.7269,230.17
Cladding O.D. (mils),6.8009,230.16
Cladding O.D. (mils),6.875,230.17
Cladding O.D. (mils),6.9491,230.17
Cladding O.D. (mils),7.0602,230.19
Cladding O.D. (mils),7.1343,230.19
Cladding O.D. (mils),7.3194,230.21
Cladding O.D. (mils),7.4306,230.2
Cladding O.D. (mils),7.5231,230.2
Cladding O.D. (mils),7.6528,230.19
Cladding O.D. (mils),7.7269,230.19
Cladding O.D. (mils),7.8009,230.24
Cladding O.D. (mils),7.8565,230.28
Cladding O.D. (mils),7.9306,230.31
Cladding O.D. (mils),7.9676,230.35
Cladding O.D. (mils),8.0417,230.39
Cladding O.D. (mils),8.1157,230.39
Cladding O.D. (mils),8.2454,230.39
Cladding O.D. (mils),8.3194,230.38
Cladding O.D. (mils),8.412,230.37
Cladding O.D. (mils),8.4861,230.35
Cladding O.D. (mils),8.7824,230.36
Cladding O.D. (mils),8.8565,230.37
Cladding O.D. (mils),8.9306,230.44
Cladding O.D. (mils),8.9676,230.49
Cladding O.D. (mils),9.0231,230.53
Cladding O.D. (mils),9.0972,230.57
Cladding O.D. (mils),9.1528,230.62
Cladding O.D. (mils),9.1898,230.66
Cladding O.D. (mils),9.2824,230.69
Cladding O.D. (mils),9.3565,230.7
Cladding O.D. (mils),9.4306,230.73
Cladding O.D. (mils),9.5602,230.78
Cladding O.D. (mils),9.5972,230.82
Cladding O.D. (mils),9.6713,230.93
Cladding O.D. (mils),9.7083,230.99
Cladding O.D. (mils),9.7824,231.02
Cladding O.D. (mils),9.838,231.12
Cladding O.D. (mils),9.8565,231.04
Cladding O.D. (mils),9.894,231.16
Cladding O.D. (mils),9.968,231.17
Cladding O.D. (mils),10.042,231.15
Cladding O.D. (mils),10.116,231.13
Cladding O.D. (mils),10.134,231.09
Cladding O.D. (mils),10.171,231.05
Cladding O.D. (mils),10.19,231.01
Cladding O.D. (mils),10.227,230.97
Cladding O.D. (mils),10.282,230.93
Cladding O.D. (mils),10.356,230.9
Cladding O.D. (mils),10.375,230.82
Cladding O.D. (mils),10.394,230.78
Cladding O.D. (mils),10.468,230.8
Cladding O.D. (mils),10.542,230.81
Cladding O.D. (mils),10.597000000000001,230.85
Cladding O.D. (mils),10.69,230.87
Cladding O.D. (mils),10.782,230.9
Cladding O.D. (mils),10.819,230.97
Cladding O.D. (mils),10.838,231.08
Cladding O.D. (mils),10.856,231.03
Cladding O.D. (mils),10.912,231.12
Cladding O.D. (mils),10.968,231.2
Cladding O.D. (mils),11.005,231.37
Cladding O.D. (mils),11.079,231.42
Cladding O.D. (mils),11.134,231.46
Cladding O.D. (mils),11.208,231.5
Cladding O.D. (mils),11.282,231.48
Cladding O.D. (mils),11.338,231.44
Cladding O.D. (mils),11.412,231.47
Cladding O.D. (mils),11.485999999999999,231.53
Cladding O.D. (mils),11.542,231.58
Cladding O.D. (mils),11.579,231.65
Cladding O.D. (mils),11.616,231.71
Cladding O.D. (mils),11.652999999999999,231.75
Cladding O.D. (mils),11.69,231.79
Cladding O.D. (mils),11.708,231.83
Cladding O.D. (mils),11.727,231.88
Cladding O.D. (mils),11.764000000000001,231.96
Cladding O.D. (mils),11.838,231.97
Cladding O.D. (mils),11.875,232.02
Cladding O.D. (mils),11.949000000000002,232.05
Cladding O.D. (mils),12.042,232.12
Cladding O.D. (mils),12.097000000000001,232.18
Cladding O.D. (mils),12.134,232.24
Cladding O.D. (mils),12.227,232.29
Cladding O.D. (mils),12.282,232.34
Cladding O.D. (mils),12.338,232.39
Cladding O.D. (mils),12.394,232.49
Cladding O.D. (mils),12.412,232.53
Cladding O.D. (mils),12.468,232.58
Cladding O.D. (mils),12.56,232.66
Cladding O.D. (mils),12.616,232.71
Cladding O.D. (mils),12.671,233.01
Cladding O.D. (mils),12.708,232.92
Cladding O.D. (mils),12.745,233.07
Cladding O.D. (mils),12.782,233.11
Cladding O.D. (mils),12.856,233.16
Cladding O.D. (mils),12.931,233.19
Cladding O.D. (mils),12.985999999999999,233.24
Cladding O.D. (mils),13.023,233.31
Cladding O.D. (mils),13.097000000000001,233.34
Cladding O.D. (mils),13.171,233.34
Cladding O.D. (mils),13.282,233.34
Cladding O.D. (mils),13.356,233.33
Cladding O.D. (mils),13.431,233.29
Cladding O.D. (mils),13.56,233.34
Cladding O.D. (mils),13.597000000000001,233.63
Cladding O.D. (mils),13.69,233.81
Cladding O.D. (mils),13.708,233.91
Cladding O.D. (mils),13.745,234.03
Cladding O.D. (mils),13.800999999999998,234.13
Cladding O.D. (mils),13.838,234.22
Cladding O.D. (mils),13.856,234.28
Cladding O.D. (mils),13.875,234.35
Cladding O.D. (mils),13.949000000000002,234.39
Cladding O.D. (mils),14.023,234.4
Cladding O.D. (mils),14.06,234.31
Cladding O.D. (mils),14.079,234.27
Cladding O.D. (mils),14.097000000000001,234.23
Cladding O.D. (mils),14.116,234.15
Cladding O.D. (mils),14.134,234.06
Cladding O.D. (mils),14.152999999999999,233.84
Cladding O.D. (mils),14.171,233.52
Cladding O.D. (mils),14.19,233.46
Cladding O.D. (mils),14.208,233.2
Cladding O.D. (mils),14.227,232.97
Cladding O.D. (mils),14.245,232.79
Cladding O.D. (mils),14.264000000000001,232.28
Cladding O.D. (mils),14.300999999999998,231.67
Cladding O.D. (mils),14.319,231.59
Cladding O.D. (mils),14.338,231.36
Cladding O.D. (mils),14.356,231.14
Cladding O.D. (mils),14.375,231.1
Cladding O.D. (mils),14.449000000000002,231.0
Cladding O.D. (mils),14.485999999999999,230.92
Cladding O.D. (mils),14.523,230.88
Cladding O.D. (mils),14.597000000000001,230.85
Cladding O.D. (mils),14.671,230.85
Cladding O.D. (mils),14.764000000000001,230.88
Cladding O.D. (mils),14.838,230.91
Cladding O.D. (mils),14.949000000000002,230.93
Cladding O.D. (mils),15.023,230.92
Cladding O.D. (mils),15.116,230.97
Cladding O.D. (mils),15.227,231.02
Cladding O.D. (mils),15.356,231.02
Cladding O.D. (mils),15.431,231.0
Cladding O.D. (mils),15.542,230.99
Cladding O.D. (mils),15.597000000000001,230.95
Cladding O.D. (mils),15.671,230.88
Cladding O.D. (mils),15.764000000000001,230.87
Cladding O.D. (mils),15.838,230.86
Cladding O.D. (mils),15.912,230.88
Cladding O.D. (mils),15.968,230.93
Cladding O.D. (mils),16.042,230.97
Cladding O.D. (mils),16.116,230.97
Cladding O.D. (mils),16.134,230.93
Cladding O.D. (mils),16.19,230.89
Cladding O.D. (mils),16.245,230.85
Cladding O.D. (mils),16.301,230.81
Cladding O.D. (mils),16.338,230.77
Cladding O.D. (mils),16.355999999999998,230.73
Cladding O.D. (mils),16.375,230.69
Cladding O.D. (mils),16.449,230.67
Cladding O.D. (mils),16.523,230.63
Cladding O.D. (mils),16.597,230.63
Cladding O.D. (mils),16.894000000000002,230.68
Cladding O.D. (mils),16.968,230.68
Cladding O.D. (mils),17.079,230.71
Cladding O.D. (mils),17.171,230.71
Cladding O.D. (mils),17.245,230.71
Cladding O.D. (mils),17.319000000000003,230.71
Cladding O.D. (mils),17.355999999999998,230.67
Cladding O.D. (mils),17.430999999999997,230.68
Cladding O.D. (mils),17.505,230.69
Cladding O.D. (mils),17.579,230.69
Cladding O.D. (mils),17.653,230.71
Cladding O.D. (mils),17.764,230.77
Cladding O.D. (mils),17.838,230.79
Cladding O.D. (mils),18.023,230.85
Cladding O.D. (mils),18.097,230.86
Cladding O.D. (mils),18.116,230.82
Cladding O.D. (mils),18.19,230.81
Cladding O.D. (mils),18.264,230.78
Cladding O.D. (mils),18.319000000000003,230.74
Cladding O.D. (mils),18.394000000000002,230.67
Cladding O.D. (mils),18.505,230.67
Cladding O.D. (mils),18.616,230.67
Cladding O.D. (mils),18.708,230.69
Cladding O.D. (mils),18.782,230.7
Cladding O.D. (mils),18.855999999999998,230.7
Cladding O.D. (mils),18.949,230.72
Cladding O.D. (mils),19.042,230.75
