time,ceramic_vol,clad_vol,coolant_vol,cp_av,fuel_vol,intref_vol,norm_power,norm_power_density_avg,power,power_density_avg,tc_av,temp_av,temp_max,temp_min
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.00062735487841414,0.0024510541197894,0.0071410515712513,472.27104,0.030259589666022,0.003232028788507,599478.96930246,19811206.163698,474424.55899741,15678486.200034,27.73992,973.36687351256,1010.6204941628,954.04071486218
