time,ceramic_vol,clad_vol,coolant_vol,cp_av,fuel_vol,intref_vol,norm_power,norm_power_density_avg,power,power_density_avg,tc_av,temp_av,temp_max,temp_min
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.00062735487841413,0.0024510541197895,0.0071410515712518,472.2710400001,0.03025958966602,0.003232028788507,0,0,0,0,27.739920000004,949.81666919347,949.81667959903,949.81666344029
