time,T_out,delta_p,heat_to_channel,htc_avg,m_dot_in,p_in,p_out
0,0,0,0,0,0,0,0
1,1172.7563563122,2612.592411221,12014.935238643,1302.1270561929,0.0081524190108237,7925633.3804372,7923020.788026
