time,Tfuel_avg,dt,lambda
0,0,0,0
0.05,1149.9999939763,0.05,1.0134823093227e-14
0.1,1150.0000070847,0.05,-4.3724356986909e-15
0.15,1150.0000530086,0.05,4.1588329863501e-15
0.2,1150.0001510464,0.05,1.1377575857135e-14
0.25,1150.0003234348,0.05,2.6369105931042e-14
0.3,1150.0005948382,0.05,3.0406401692302e-14
0.35,1150.0009919752,0.05,2.8210958821833e-14
0.4,1150.0015432806,0.05,9.3019663743426e-15
0.45,1150.0022786042,0.05,1.9513040738598e-14
0.5,1150.0032289345,0.05,1.8443645537541e-14
0.55,1150.0044261487,0.05,-8.152079704007e-15
0.6,1150.0059027777,0.05,-8.2828775123436e-15
0.65,1150.0076917855,0.05,-1.4724669716201e-14
0.7,1150.0098263565,0.05,-3.2451679155512e-14
0.75,1150.0123396918,0.05,-7.5877232333654e-15
0.8,1150.0152648133,0.05,-4.5690352235039e-15
0.85,1150.0186343732,0.05,1.1733810207895e-14
0.9,1150.0224804722,0.05,-4.605329545275e-15
0.95,1150.0268344815,0.05,6.7095695671879e-15
1,1150.0317268726,0.05,1.8112029302278e-14
