time,Tfuel_avg2,power_scaling,total_power
0,1149.9999976812,2.8782837856624e+17,1000000000
0.05,1149.999985767,2.8782837856624e+17,999998163.23703
0.1,1149.9999817846,2.8782837856624e+17,1000006489.5157
0.15,1150.000004512,2.8782837856624e+17,1000022820.4828
0.2,1150.0000745988,2.8782837856624e+17,1000048855.6328
0.25,1150.0002151276,2.8782837856624e+17,1000086128.6923
0.3,1150.0004515217,2.8782837856624e+17,1000135932.9167
0.35,1150.0008110996,2.8782837856624e+17,1000199385.6378
0.4,1150.0013228029,2.8782837856624e+17,1000277445.1407
0.45,1150.0020169167,2.8782837856624e+17,1000370926.739
0.5,1150.0029248087,2.8782837856624e+17,1000480514.7704
0.55,1150.0040786959,2.8782837856624e+17,1000606773.7506
0.6,1150.0055114242,2.8782837856624e+17,1000750155.5792
0.65,1150.0072562477,2.8782837856624e+17,1000911005.0403
0.7,1150.0093466212,2.8782837856624e+17,1001089563.389
0.75,1150.0118159968,2.8782837856624e+17,1001285971.6093
0.8,1150.014697628,2.8782837856624e+17,1001500273.5248
0.85,1150.0180243844,2.8782837856624e+17,1001732417.9673
0.9,1150.0218285683,2.8782837856624e+17,1001982261.9094
0.95,1150.0261417415,2.8782837856624e+17,1002249571.8994
1,1150.0309945546,2.8782837856624e+17,1002534027.2366
