time,disp_x_max,disp_y_max,disp_z_max,strain_xx,strain_yy,strain_zz
0,0,0,0,0,0,0
1,0.0084846483082423,0.00029460584403619,0.0084846483082423,0.0058921168807238,0.0058921168807238,0.0058921168807238
