time,avg_htc,avg_tclad,avg_tcool,avg_tfuel,avg_twall,disp_x_max,disp_y_max,max_tclad,max_tcool,max_tcool_r,max_tfuel,max_thcond,max_twall,min_tclad,min_tcool,min_tfuel,min_twall,ptot_bison,ptot_scaled_bison
0,100000,900,749.99999999999,900,0,0,0,900,750,0,900,0,900,900,750,900,900,7872.5480624598,0
1,100000,762.94559124371,749.99999999999,842.95976535262,0,0,0,789.56289945108,750,0,888.87845709042,22.893435137817,770.38566634831,747.22269910204,750,788.35213384039,748.64306861005,7872.5480624598,20949.244021609
