time,avg_tcool,avg_tfuel,disp_x_max,disp_y_max,disp_z_max,eigenvalue,integrated_power,max_tclad_r,max_tcool,max_tcool_r,max_tfuel,max_tfuel_r,max_thcond_r,min_tcool,min_tfuel,power_scaling,ptot
0,699.99999999999,900,0.0098289422339933,0,0.0097956927237109,1,300000000,0,700,0,900,0,0,700,900,4.5943683218417e+17,300000000
1,711.96985588906,818.31599625462,0.0098289422339933,0.0090630103233212,0.0097956927237109,1.0181703608422,300000000,799.77046699501,771.21059067559,750,886.69281367212,932.49383904177,23.457182388028,623.15,771.78449166052,1.9594799594038e+19,300000000
