time,Pin,Pout,Tavg,Tin,Tout,Twall_avg,Twall_max,Twall_min,delta_p_core,delta_t_core,htc_avg,htc_max,htc_min,max_tcool
0,100000,100000,623.15,623.15,623.15,800,800,800,0,0,131875.93726636,131875.93726636,131875.93726636,623.15
1,545048.34693446,100000,791.8792779384,623.15,800.00001275213,800,800,800,445048.34693446,176.85001275213,121246.02376144,131875.93726636,120746.12146283,800.00001275213
