mean,standard_deviation
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2.1221319053873e-08,7.0383152858117e-08
1.9588909895883e-08,6.7857974409116e-08
1.8189702046177e-08,6.5583903412903e-08
1.6977055243098e-08,6.3522324156009e-08
1.5915989290405e-08,6.1642361460154e-08
1.4979754626263e-08,5.9919018505053e-08
1.4147546035915e-08,5.8331826649368e-08
1.3402938349815e-08,5.6863851569875e-08
1.2732791432324e-08,5.550095112268e-08
1.2126468030785e-08,5.4231213687625e-08
0.00013764299072383,0.00063070385563998
0.00013165851286628,0.00061747887303714
0.00012617274149685,0.00060505011377832
0.00012112583183697,0.00059334098603298
0.00011646714599709,0.0005822848008758
0.0001121535479972,0.00057182318965886
0.00010814806414016,0.0005619048189404
0.00010441882054912,0.00055248433925873
0.00010093819319748,0.00054352151922258
9.7682122449173e-05,0.00053498052761332
9.4629556122636e-05,0.00052682933457432
9.176199381589e-05,0.00051903920927738
8.9063111644834e-05,0.0005115842962573
8.6518451312125e-05,0.00050444125628572
8.4115160997899e-05,0.00049758896049881
8.1841778268226e-05,0.00049100822870646
7.9688047261167e-05,0.00048468160454545
7.7644763998061e-05,0.00047859316150791
7.5703644898109e-05,0.00047272833496326
7.3857214534741e-05,0.00046707377615992
7.2098709426771e-05,0.00046161722489107
7.0421995254055e-05,0.00045634739807164
6.8821495361917e-05,0.0004512538919316
6.7292128798319e-05,0.00044632709590365
6.5829256433138e-05,0.00044155811658959
6.4428633955838e-05,0.00043693871044155
6.3086370748424e-05,0.00043246122400255
6.1798893794375e-05,0.00042811854072431
6.0562915918487e-05,0.00042390403352392
5.9375407763223e-05,0.0004198115223624
5.8233572998545e-05,0.00041583523622904
5.7134826338196e-05,0.00041196977900113
5.6076773998599e-05,0.00040821009872112
5.5057196289534e-05,0.00040455145989423
5.4074032070078e-05,0.00040098941846205
5.3125364840778e-05,0.00039751979915206
5.2209410274558e-05,0.00039413867494106
5.1324505015667e-05,0.00039084234840351
5.0469096598739e-05,0.0003876273347437
4.9641734359416e-05,0.00038449034633508
4.8847519464665e-05,0.00038142745498181
4.8072162012845e-05,0.00037843739323135
4.7321034481395e-05,0.00037551654095492
4.6593018566296e-05,0.0003726622697008
4.5887063739534e-05,0.00036987208863169
4.5202182191183e-05,0.00036714363540096
4.4537444217783e-05,0.0003644746677573
4.3891974011728e-05,0.00036186305580991
4.3264945811561e-05,0.00035930677489385
4.2655580377595e-05,0.00035680389898111
4.206314176124e-05,0.00035435259458901
4.1486934339853e-05,0.00035195111514188
4.0926300092017e-05,0.00034959779574701
4.038061609079e-05,0.00034729104834914
3.9849292194859e-05,0.00034502935723164
