time,rpv_failprob_mean,rpv_failprob_std_dev
60,0,0
120,0,0
180,0,0
240,0,0
300,1.4238100143338e-11,4.5002307962595e-10
360,8.0422134443037e-08,2.2079497060924e-06
420,7.3861029790401e-07,1.9869861898437e-05
480,1.8414861736736e-06,4.6690846826196e-05
540,3.100497789323e-06,7.3910964086973e-05
600,4.0465640828888e-06,9.288690120026e-05
660,4.3284202517668e-06,9.7616108634698e-05
720,4.3291046266405e-06,9.7616083820074e-05
