time,rpv_failprob_mean,rpv_failprob_std_dev
60,0,0
120,0,0
180,0,0
240,5.0541924734304e-12,1.1301404926209e-09
300,3.6518227348423e-08,3.7872134063771e-06
360,4.4238398718082e-07,2.7715662885593e-05
420,1.6110106828483e-06,7.3171961135828e-05
480,3.197466790628e-06,0.00012652271221522
540,5.0368139180551e-06,0.00018185641722681
600,6.5190917497121e-06,0.00022228548516625
660,7.1532927452923e-06,0.00023663883806612
720,7.1850348070109e-06,0.00023670025052639
780,7.1850348070109e-06,0.00023670025052639
840,7.1850348070109e-06,0.00023670025052639
900,7.1850348070109e-06,0.00023670025052639
960,7.1850348070109e-06,0.00023670025052639
1020,7.1850348070109e-06,0.00023670025052639
1080,7.1850348070109e-06,0.00023670025052639
1140,7.1850348070109e-06,0.00023670025052639
1200,7.1850348070109e-06,0.00023670025052639
1260,7.1850348070109e-06,0.00023670025052639
1320,7.1850348070109e-06,0.00023670025052639
1380,7.1850348070109e-06,0.00023670025052639
1440,7.1850348070109e-06,0.00023670025052639
1500,7.1850348070109e-06,0.00023670025052639
1560,7.1850348070109e-06,0.00023670025052639
1620,7.1850348070109e-06,0.00023670025052639
1680,7.1850348070109e-06,0.00023670025052639
1740,7.1850348070109e-06,0.00023670025052639
1800,7.1850348070109e-06,0.00023670025052639
1860,7.1850348070109e-06,0.00023670025052639
1920,7.1850348070109e-06,0.00023670025052639
1980,7.1850348070109e-06,0.00023670025052639
2000,7.1850348070109e-06,0.00023670025052639
