axial,cpi,flaw_index,ki,r,relative_temperature,rpv_id,theta,x,y,z
3.9897116735841,2.4891455447595e-05,183396697,85.215757289955,0.00876808,85.85781485654,8617,265.037593334,-0.19081220655664,-2.1975997561412,3.9897116735841
1.7785213847281,3.1555821197182e-05,184334532,63.999305160052,0.00657606,66.240161127501,8661,90.884586839813,-0.034021099251489,2.2034134297092,1.7785213847281
3.9804622892777,1.4013295412951e-08,184628984,63.400573686861,0.00657606,72.694130655839,8675,129.34487797534,-1.397101539863,1.7041993617912,3.9804622892777
0.43970526056591,5.085738150612e-06,184661304,56.435166767471,0.00438404,60.352024145313,8677,303.65907271347,1.2201725465262,-1.8324057779538,0.43970526056591
0.41620562011083,0.0005973449978961,184976183,63.90312873087,0.00438404,56.514926745031,8692,181.83382935255,-2.2003565283299,-0.070449461393991,0.41620562011083
2,1.7652268184953e-06,186591841,38.591131171272,0.0055000699544932,29.894959448881,8768,301.24033150161,1.1423322427159,-1.8832217382494,2
2,0.00068813339917206,186591947,44.740801218933,0.0043524946728536,20.671267804524,8768,208.61316388494,-1.932595642677,-1.0542614325713,2
2.03175,7.2365961353293e-06,186592406,38.182579691023,0.0056035233817117,25.570664007417,8768,355.92730418489,2.1971411278729,-0.15644064730047,2.03175
2,1.5960413355387e-06,186596823,35.520928784482,0.0064898668336483,21.399205980374,8768,238.84837156577,-1.1399273718135,-1.8858350638914,2
2.03175,2.7721020923188e-08,186611290,32.719101205318,0.0040789370471776,17.70350177388,8768,225.37508289956,-1.5462459591965,-1.5666244433713,2.03175
2,0.00024488972541203,187474149,62.250213732572,0.005077433155431,58.212387001316,8809,314.19212119207,1.5350641444885,-1.5789754651054,2
0.6945539966129,1.0070403816398e-06,187800076,51.376901880624,0.00657606,55.40588912601,8824,119.28528766348,-1.0779468909633,1.9220350354975,0.6945539966129
2.9787993741845,3.3127472586658e-05,191245234,51.564153217834,0.00657606,49.406004756042,8986,204.09955149313,-2.0115978668402,-0.89981231350828,2.9787993741845
3.2317953519984,2.0006607148737e-07,192852948,43.66010935756,0.00876808,44.002773815814,9062,144.70459878052,-1.8003941636005,1.2745331859296,3.2317953519984
3.9339920112017,1.7628007008663e-05,192869312,45.042788853954,0.00876808,39.34208410533,9062,197.1374001184,-2.1079294670121,-0.64999026797697,3.9339920112017
1.0851467968239,0.00027223955404743,193003620,52.623126890392,0.00438404,43.375501534733,9069,178.730787217,-2.2009439185854,0.048763158394327,1.0851467968239
1.3148268045296,1.4721732580769e-06,196358169,55.967334187498,0.00876808,61.345107303063,9226,138.8650661569,-1.6613769934251,1.4510963000713,1.3148268045296
2.8551340234723,0.0001607607320514,200478749,60.946911389311,0.00657606,58.068916521534,9420,72.247320085248,0.67192032314165,2.0987403976591,2.8551340234723
3.5158355173601,2.0297374225819e-08,203729717,60.329375317637,0.00657606,69.306948254006,9573,124.52986085937,-1.2491221961231,1.8154563934641,3.5158355173601
2.968141882502,7.671423496447e-10,204108362,59.560308726569,0.00657606,69.215193223146,9591,102.62283576205,-0.48157414375936,2.1504126398158,2.968141882502
1.3876277908982,0.00087265532811387,204816161,63.602755714042,0.0042391001380544,54.193712544594,9624,120.4909026694,-1.1169628681574,1.8969153341555,1.3876277908982
2.3059684875773,7.8237504019807e-07,205494990,51.968143491945,0.004660447997184,56.538871998346,9656,95.403628707062,-0.20734278666312,2.1919758299725,2.3059684875773
1.3655878158589,5.9966854417337e-05,205954319,49.708485395186,0.0045549110957544,44.430886450961,9677,171.14865643256,-2.1754351647278,0.33877159210564,1.3655878158589
