T_fluid,id,x,y,z
929.43186786926,0,1.005,0,0
929.43186786926,0.01,1.005,0.01,0
938.48548824429,0.02,1.005,0.02,0
947.48740388768,0.03,1.005,0.03,0
956.46017332274,0.04,1.005,0.04,0
965.40723951279,0.05,1.005,0.05,0
974.33152534373,0.06,1.005,0.06,0
983.23456899856,0.07,1.005,0.07,0
992.11710222704,0.08,1.005,0.08,0
1000.9788171584,0.09,1.005,0.09,0
1009.8181856833,0.1,1.005,0.1,0
1018.6325338691,0.11,1.005,0.11,0
1027.4180929309,0.12,1.005,0.12,0
1036.1700716826,0.13,1.005,0.13,0
1044.8827396028,0.14,1.005,0.14,0
1053.5495146888,0.15,1.005,0.15,0
1062.1630545715,0.16,1.005,0.16,0
1070.7153518981,0.17,1.005,0.17,0
1079.1978357139,0.18,1.005,0.18,0
1087.6014799807,0.19,1.005,0.19,0
1095.9169191097,0.2,1.005,0.2,0
1104.1345690169,0.21,1.005,0.21,0
1112.2447511037,0.22,1.005,0.22,0
1120.2378159069,0.23,1.005,0.23,0
1128.1042629676,0.24,1.005,0.24,0
1135.8348536772,0.25,1.005,0.25,0
1143.4207143536,0.26,1.005,0.26,0
1150.8534274596,0.27,1.005,0.27,0
1158.1251095919,0.28,1.005,0.28,0
1165.2284755636,0.29,1.005,0.29,0
1172.1568885163,0.3,1.005,0.3,0
1178.9043965061,0.31,1.005,0.31,0
1185.4657563932,0.32,1.005,0.32,0
1191.8364461387,0.33,1.005,0.33,0
1198.0126667765,0.34,1.005,0.34,0
1203.9913354113,0.35,1.005,0.35,0
1209.7700705997,0.36,1.005,0.36,0
1215.34717143,0.37,1.005,0.37,0
1220.7215915367,0.38,1.005,0.38,0
1225.8929091778,0.39,1.005,0.39,0
1230.8612944747,0.4,1.005,0.4,0
1235.6281997045,0.41,1.005,0.41,0
1240.1940081131,0.42,1.005,0.42,0
1244.5600407815,0.43,1.005,0.43,0
1248.7290137425,0.44,1.005,0.44,0
1252.7035163936,0.45,1.005,0.45,0
1256.4865130833,0.46,1.005,0.46,0
1260.081308455,0.47,1.005,0.47,0
1263.4915139319,0.48,1.005,0.48,0
1266.7210155809,0.49,1.005,0.49,0
1269.7739434673,0.5,1.005,0.5,0
1272.6546425679,0.51,1.005,0.51,0
1275.3676452794,0.52,1.005,0.52,0
1277.9176455339,0.53,1.005,0.53,0
1280.3094745079,0.54,1.005,0.54,0
1282.5480778989,0.55,1.005,0.55,0
1284.638494729,0.56,1.005,0.56,0
1286.585837623,0.57,1.005,0.57,0
1288.3952745067,0.58,1.005,0.58,0
1290.0720116614,0.59,1.005,0.59,0
1291.6212780695,0.6,1.005,0.6,0
1293.0483110023,0.61,1.005,0.61,0
1294.3583609948,0.62,1.005,0.62,0
1295.5576029917,0.63,1.005,0.63,0
1296.6491321028,0.64,1.005,0.64,0
1297.6391928023,0.65,1.005,0.65,0
1298.5329023632,0.66,1.005,0.66,0
1299.3353063504,0.67,1.005,0.67,0
1300.0513861233,0.68,1.005,0.68,0
1300.6860521126,0.69,1.005,0.69,0
1301.2441375419,0.7,1.005,0.7,0
1301.7303927675,0.71,1.005,0.71,0
1302.1494801946,0.72,1.005,0.72,0
1302.5059697216,0.73,1.005,0.73,0
1302.8043347327,0.74,1.005,0.74,0
1303.0490117849,0.75,1.005,0.75,0
1303.2441939144,0.76,1.005,0.76,0
1303.3939062638,0.77,1.005,0.77,0
1303.502358584,0.78,1.005,0.78,0
1303.5735035437,0.79,1.005,0.79,0
1303.6111733602,0.8,1.005,0.8,0
1303.6190854002,0.81,1.005,0.81,0
1303.6008410395,0.82,1.005,0.82,0
1303.5599244301,0.83,1.005,0.83,0
1303.4997013251,0.84,1.005,0.84,0
1303.4233421031,0.85,1.005,0.85,0
1303.3339384809,0.86,1.005,0.86,0
1303.2347600479,0.87,1.005,0.87,0
1303.1285725506,0.88,1.005,0.88,0
1303.0181253176,0.89,1.005,0.89,0
1302.9060585705,0.9,1.005,0.9,0
1302.7948911675,0.91,1.005,0.91,0
1302.6870193108,0.92,1.005,0.92,0
1302.5847161138,0.93,1.005,0.93,0
1302.4900174293,0.94,1.005,0.94,0
1302.4051510634,0.95,1.005,0.95,0
1302.3320326539,0.96,1.005,0.96,0
1302.2723744882,0.97,1.005,0.97,0
1302.22781762,0.98,1.005,0.98,0
1302.1998904344,0.99,1.005,0.99,0
1302.1899984392,1,1.005,1,0
1302.1994227196,1.01,1.005,1.01,0
1302.2294885189,1.02,1.005,1.02,0
1302.2810913677,1.03,1.005,1.03,0
1302.3550883759,1.04,1.005,1.04,0
1302.4522760867,1.05,1.005,1.05,0
1302.5733140283,1.06,1.005,1.06,0
1302.7187295018,1.07,1.005,1.07,0
1302.8889222091,1.08,1.005,1.08,0
1303.084464286,1.09,1.005,1.09,0
1303.3054753303,1.1,1.005,1.1,0
1303.5515015562,1.11,1.005,1.11,0
1303.822513298,1.12,1.005,1.12,0
1304.1183458255,1.13,1.005,1.13,0
1304.438652871,1.14,1.005,1.14,0
1304.7829392455,1.15,1.005,1.15,0
1305.1510023589,1.16,1.005,1.16,0
1305.5421265784,1.17,1.005,1.17,0
1305.954668273,1.18,1.005,1.18,0
1306.3876098489,1.19,1.005,1.19,0
1306.8399265712,1.2,1.005,1.2,0
1307.3103939621,1.21,1.005,1.21,0
1307.7976072427,1.22,1.005,1.22,0
1308.3006132622,1.23,1.005,1.23,0
1308.8175620792,1.24,1.005,1.24,0
1309.3459206709,1.25,1.005,1.25,0
1309.883600156,1.26,1.005,1.26,0
1310.4286038421,1.27,1.005,1.27,0
1310.9787758445,1.28,1.005,1.28,0
1311.531764931,1.29,1.005,1.29,0
1312.08564855,1.3,1.005,1.3,0
1312.6375556002,1.31,1.005,1.31,0
1313.1840890819,1.32,1.005,1.32,0
1313.722031421,1.33,1.005,1.33,0
1314.2482610376,1.34,1.005,1.34,0
1314.7595509144,1.35,1.005,1.35,0
1315.252482368,1.36,1.005,1.36,0
1315.7237262263,1.37,1.005,1.37,0
1316.169520056,1.38,1.005,1.38,0
1316.5855626558,1.39,1.005,1.39,0
1316.9673643149,1.4,1.005,1.4,0
1317.3103753298,1.41,1.005,1.41,0
1317.6099271656,1.42,1.005,1.42,0
1317.8611448315,1.43,1.005,1.43,0
1318.0588928591,1.44,1.005,1.44,0
1318.1977904975,1.45,1.005,1.45,0
1318.2720904669,1.46,1.005,1.46,0
1318.275671523,1.47,1.005,1.47,0
1318.202118135,1.48,1.005,1.48,0
1318.0448278414,1.49,1.005,1.49,0
1317.7971469209,1.5,1.005,1.5,0
1317.4525491179,1.51,1.005,1.51,0
1317.0048265736,1.52,1.005,1.52,0
1316.437587717,1.53,1.005,1.53,0
