T_fluid,id,x,y,z
929.43469926523,0,0.995,0,0
929.43469926523,0.01,0.995,0.01,0
938.49221471231,0.02,0.995,0.02,0
947.49606631628,0.03,0.995,0.03,0
956.46938480803,0.04,0.995,0.04,0
965.41578815021,0.05,0.995,0.05,0
974.33827786688,0.06,0.995,0.06,0
983.23856261579,0.07,0.995,0.07,0
992.11752528912,0.08,0.995,0.08,0
1000.975032032,0.09,0.995,0.09,0
1009.8097652963,0.1,0.995,0.1,0
1018.6192822323,0.11,0.995,0.11,0
1027.4000587614,0.12,0.995,0.12,0
1036.1475559646,0.13,0.995,0.13,0
1044.8562982765,0.14,0.995,0.14,0
1053.519957502,0.15,0.995,0.15,0
1062.1314407949,0.16,0.995,0.16,0
1070.6829832702,0.17,0.995,0.17,0
1079.1662467466,0.18,0.995,0.18,0
1087.5724256466,0.19,0.995,0.19,0
1095.8923599315,0.2,0.995,0.2,0
1104.1166536555,0.21,0.995,0.21,0
1112.2357966509,0.22,0.995,0.22,0
1120.2402862013,0.23,0.995,0.23,0
1128.1207453455,0.24,0.995,0.24,0
1135.8680346329,0.25,0.995,0.25,0
1143.473354611,0.26,0.995,0.26,0
1150.9283369516,0.27,0.995,0.27,0
1158.2251228127,0.28,0.995,0.28,0
1165.3564277092,0.29,0.995,0.29,0
1172.3155927656,0.3,0.995,0.3,0
1179.096622726,0.31,0.995,0.31,0
1185.6942114834,0.32,0.995,0.32,0
1192.1037561653,0.33,0.995,0.33,0
1198.3213609859,0.34,0.995,0.34,0
1204.3438321607,0.35,0.995,0.35,0
1210.1686651995,0.36,0.995,0.36,0
1215.7940258565,0.37,0.995,0.37,0
1221.2187259433,0.38,0.995,0.38,0
1226.4421951148,0.39,0.995,0.39,0
1231.4644497056,0.4,0.995,0.4,0
1236.2867558394,0.41,0.995,0.41,0
1240.9093783329,0.42,0.995,0.42,0
1245.333485689,0.43,0.995,0.43,0
1249.5616071809,0.44,0.995,0.44,0
1253.5961775318,0.45,0.995,0.45,0
1257.4400031782,0.46,0.995,0.46,0
1261.0962334675,0.47,0.995,0.47,0
1264.5683278656,0.48,0.995,0.48,0
1267.8600243941,0.49,0.995,0.49,0
1270.9753094675,0.5,0.995,0.5,0
1273.9183892082,0.51,0.995,0.51,0
1276.6936622816,0.52,0.995,0.52,0
1279.3056942703,0.53,0.995,0.53,0
1281.7591935804,0.54,0.995,0.54,0
1284.0589888611,0.55,0.995,0.55,0
1286.2100079005,0.56,0.995,0.56,0
1288.2172579537,0.57,0.995,0.57,0
1290.0858074501,0.58,0.995,0.58,0
1291.8207690237,0.59,0.995,0.59,0
1293.4272838041,0.6,0.995,0.6,0
1294.9105069211,0.61,0.995,0.61,0
1296.2756115004,0.62,0.995,0.62,0
1297.5286549855,0.63,0.995,0.63,0
1298.6727952711,0.64,0.995,0.64,0
1299.7141070615,0.65,0.995,0.65,0
1300.6576790686,0.66,0.995,0.66,0
1301.5085074975,0.67,0.995,0.67,0
1302.2715278402,0.68,0.995,0.68,0
1302.951609119,0.69,0.995,0.69,0
1303.5535474604,0.7,0.995,0.7,0
1304.0820602467,0.71,0.995,0.71,0
1304.5417808389,0.72,0.995,0.72,0
1304.9372538298,0.73,0.995,0.73,0
1305.2729308433,0.74,0.995,0.74,0
1305.5532259427,0.75,0.995,0.75,0
1305.7823246713,0.76,0.995,0.76,0
1305.964246338,0.77,0.995,0.77,0
1306.1031742342,0.78,0.995,0.78,0
1306.2030603792,0.79,0.995,0.79,0
1306.2677333976,0.8,0.995,0.8,0
1306.3009087516,0.81,0.995,0.81,0
1306.3061880325,0.82,0.995,0.82,0
1306.2870576269,0.83,0.995,0.83,0
1306.2468874139,0.84,0.995,0.84,0
1306.1888600729,0.85,0.995,0.85,0
1306.1160734246,0.86,0.995,0.86,0
1306.0317802369,0.87,0.995,0.87,0
1305.9387837355,0.88,0.995,0.88,0
1305.839839739,0.89,0.995,0.89,0
1305.7376000217,0.9,0.995,0.9,0
1305.634597213,0.91,0.995,0.91,0
1305.5332424615,0.92,0.995,0.92,0
1305.4358248009,0.93,0.995,0.93,0
1305.3444091006,0.94,0.995,0.94,0
1305.261209879,0.95,0.995,0.95,0
1305.1881748477,0.96,0.995,0.96,0
1305.1270455323,0.97,0.995,0.97,0
1305.0794790333,0.98,0.995,0.98,0
1305.0470226805,0.99,0.995,0.99,0
1305.0311026814,1,0.995,1,0
1305.0330216459,1.01,0.995,1.01,0
1305.0541046584,1.02,0.995,1.02,0
1305.0953043978,1.03,0.995,1.03,0
1305.1574964828,1.04,0.995,1.04,0
1305.2414926577,1.05,0.995,1.05,0
1305.3479769084,1.06,0.995,1.06,0
1305.477502136,1.07,0.995,1.07,0
1305.6304936757,1.08,0.995,1.08,0
1305.8075024972,1.09,0.995,1.09,0
1306.0087126415,1.1,0.995,1.1,0
1306.2337769972,1.11,0.995,1.11,0
1306.4826242953,1.12,0.995,1.12,0
1306.7551068808,1.13,0.995,1.13,0
1307.0509129502,1.14,0.995,1.14,0
1307.3695805904,1.15,0.995,1.15,0
1307.7108585398,1.16,0.995,1.16,0
1308.0741095987,1.17,0.995,1.17,0
1308.4578849878,1.18,0.995,1.18,0
1308.8610975114,1.19,0.995,1.19,0
1309.2827114295,1.2,0.995,1.2,0
1309.721537901,1.21,0.995,1.21,0
1310.17621474,1.22,0.995,1.22,0
1310.6456930853,1.23,0.995,1.23,0
1311.1282861003,1.24,0.995,1.24,0
1311.6216563227,1.25,0.995,1.25,0
1312.1236693103,1.26,0.995,1.26,0
1312.6322956696,1.27,0.995,1.27,0
1313.1454028647,1.28,0.995,1.28,0
1313.6606850707,1.29,0.995,1.29,0
1314.1761029606,1.3,0.995,1.3,0
1314.6889830922,1.31,0.995,1.31,0
1315.1961216653,1.32,0.995,1.32,0
1315.6943079125,1.33,0.995,1.33,0
1316.1803875126,1.34,0.995,1.34,0
1316.6511373309,1.35,0.995,1.35,0
1317.1031746896,1.36,0.995,1.36,0
1317.5331194979,1.37,0.995,1.37,0
1317.9372926764,1.38,0.995,1.38,0
1318.3115700041,1.39,0.995,1.39,0
1318.6515651244,1.4,0.995,1.4,0
1318.9527601185,1.41,0.995,1.41,0
1319.2105059578,1.42,0.995,1.42,0
1319.4199695812,1.43,0.995,1.43,0
1319.5760866375,1.44,0.995,1.44,0
1319.6735551829,1.45,0.995,1.45,0
1319.7067756118,1.46,0.995,1.46,0
1319.6698392656,1.47,0.995,1.47,0
1319.5565809214,1.48,0.995,1.48,0
1319.3606697984,1.49,0.995,1.49,0
1319.07572865,1.5,0.995,1.5,0
1318.6954755766,1.51,0.995,1.51,0
1318.2138603736,1.52,0.995,1.52,0
1317.6144757569,1.53,0.995,1.53,0
1316.8966103268,1.54,0.995,1.54,0
1316.0557723726,1.55,0.995,1.55,0
1315.0876414289,1.56,0.995,1.56,0
1313.9877386141,1.57,0.995,1.57,0
1312.7513295891,1.58,0.995,1.58,0
1311.3734905076,1.59,0.995,1.59,0
1309.8491679926,1.6,0.995,1.6,0
1308.1731477153,1.61,0.995,1.61,0
1306.3399539733,1.62,0.995,1.62,0
1304.3437323365,1.63,0.995,1.63,0
1302.1781572929,1.64,0.995,1.64,0
1299.8364011839,1.65,0.995,1.65,0
1297.3111774371,1.66,0.995,1.66,0
1294.5948219795,1.67,0.995,1.67,0
1291.6793530064,1.68,0.995,1.68,0
1288.5564820393,1.69,0.995,1.69,0
1285.2175961782,1.7,0.995,1.7,0
1281.6537415934,1.71,0.995,1.71,0
1277.8556172039,1.72,0.995,1.72,0
1273.8135704238,1.73,0.995,1.73,0
1269.5175866758,1.74,0.995,1.74,0
1264.9572697736,1.75,0.995,1.75,0
1260.1218117429,1.76,0.995,1.76,0
1254.9999489172,1.77,0.995,1.77,0
1249.5798991879,1.78,0.995,1.78,0
1243.8492732186,1.79,0.995,1.79,0
1237.7949492252,1.8,0.995,1.8,0
1231.4028961031,1.81,0.995,1.81,0
1224.6579229321,1.82,0.995,1.82,0
1217.5433236048,1.83,0.995,1.83,0
1210.040372297,1.84,0.995,1.84,0
1202.1276043573,1.85,0.995,1.85,0
1193.779782529,1.86,0.995,1.86,0
1184.9664006253,1.87,0.995,1.87,0
1175.6495126731,1.88,0.995,1.88,0
1165.780576441,1.89,0.995,1.89,0
1155.2958575607,1.9,0.995,1.9,0
1144.1097664554,1.91,0.995,1.91,0
1132.1052843765,1.92,0.995,1.92,0
1119.120345019,1.93,0.995,1.93,0
1104.9286393438,1.94,0.995,1.94,0
1089.2125855016,1.95,0.995,1.95,0
1071.5241352819,1.96,0.995,1.96,0
1051.2222038677,1.97,0.995,1.97,0
1027.3620271706,1.98,0.995,1.98,0
998.37545004585,1.99,0.995,1.99,0
962.19604349982,2,0.995,2,0
