T_fluid,id,x,y,z
929.69313459072,0,0,1.005,0
929.69313459072,0.01,0.01,1.005,0
939.38151410705,0.02,0.02,1.005,0
949.39104785181,0.03,0.03,1.005,0
959.68475701955,0.04,0.04,1.005,0
970.22782288542,0.05,0.05,1.005,0
980.98610009227,0.06,0.06,1.005,0
991.92594887744,0.07,0.07,1.005,0
1003.0147268711,0.08,0.08,1.005,0
1014.2214081488,0.09,0.09,1.005,0
1025.5170202743,0.1,0.1,1.005,0
1036.8748066945,0.11,0.11,1.005,0
1048.270150109,0.12,0.12,1.005,0
1059.6803384507,0.13,0.13,1.005,0
1071.0842534806,0.14,0.14,1.005,0
1082.4620422898,0.15,0.15,1.005,0
1093.794810653,0.16,0.16,1.005,0
1105.0643603791,0.17,0.17,1.005,0
1116.2529813441,0.18,0.18,1.005,0
1127.3433015776,0.19,0.19,1.005,0
1138.3181941659,0.2,0.2,1.005,0
1149.1607367692,0.21,0.21,1.005,0
1159.8542175884,0.22,0.22,1.005,0
1170.3821803487,0.23,0.23,1.005,0
1180.7285001486,0.24,0.24,1.005,0
1190.8774817885,0.25,0.25,1.005,0
1200.8139723791,0.26,0.26,1.005,0
1210.5234805778,0.27,0.27,1.005,0
1219.9922956305,0.28,0.28,1.005,0
1229.2076004114,0.29,0.29,1.005,0
1238.1575737796,0.3,0.3,1.005,0
1246.83147872,0.31,0.31,1.005,0
1255.2197338488,0.32,0.32,1.005,0
1263.3139668843,0.33,0.33,1.005,0
1271.1070495845,0.34,0.34,1.005,0
1278.5931144131,0.35,0.35,1.005,0
1285.7675538008,0.36,0.36,1.005,0
1292.6270033359,0.37,0.37,1.005,0
1299.1693105432,0.38,0.38,1.005,0
1305.3934911173,0.39,0.39,1.005,0
1311.2996745765,0.4,0.4,1.005,0
1316.8890413177,0.41,0.41,1.005,0
1322.1637530003,0.42,0.42,1.005,0
1327.1268780768,0.43,0.43,1.005,0
1331.7823141489,0.44,0.44,1.005,0
1336.1347086563,0.45,0.45,1.005,0
1340.1893792314,0.46,0.46,1.005,0
1343.9522348672,0.47,0.47,1.005,0
1347.4296988694,0.48,0.48,1.005,0
1350.6286343939,0.49,0.49,1.005,0
1353.5562732126,0.5,0.5,1.005,0
1356.2201482039,0.51,0.51,1.005,0
1358.6280299353,0.52,0.52,1.005,0
1360.7878675849,0.53,0.53,1.005,0
1362.7077343479,0.54,0.54,1.005,0
1364.395777382,0.55,0.55,1.005,0
1365.8601722709,0.56,0.56,1.005,0
1367.1090819213,0.57,0.57,1.005,0
1368.1506197578,0.58,0.58,1.005,0
1368.9928170425,0.59,0.59,1.005,0
1369.6435941164,0.6,0.6,1.005,0
1370.1107353394,0.61,0.61,1.005,0
1370.4018674944,0.62,0.62,1.005,0
1370.5244414137,0.63,0.63,1.005,0
1370.4857165822,0.64,0.64,1.005,0
1370.2927484775,0.65,0.65,1.005,0
1369.9523784076,0.66,0.66,1.005,0
1369.4712256183,0.67,0.67,1.005,0
1368.8556814494,0.68,0.68,1.005,0
1368.111905333,0.69,0.69,1.005,0
1367.2458224387,0.7,0.7,1.005,0
1366.263122784,0.71,0.71,1.005,0
1365.1692616415,0.72,0.72,1.005,0
1363.9694610853,0.73,0.73,1.005,0
1362.6687125339,0.74,0.74,1.005,0
1361.2717801514,0.75,0.75,1.005,0
1359.783204983,0.76,0.76,1.005,0
1358.2073097088,0.77,0.77,1.005,0
1356.5482039082,0.78,0.78,1.005,0
1354.8097897409,0.79,0.79,1.005,0
1352.9957679575,0.8,0.8,1.005,0
1351.1096441694,0.81,0.81,1.005,0
1349.1547353144,0.82,0.82,1.005,0
1347.1341762688,0.83,0.83,1.005,0
1345.0509265629,0.84,0.84,1.005,0
1342.9077771667,0.85,0.85,1.005,0
1340.7073573139,0.86,0.86,1.005,0
1338.4521413369,0.87,0.87,1.005,0
1336.1444554863,0.88,0.88,1.005,0
1333.7864847078,0.89,0.89,1.005,0
1331.3802793502,0.9,0.9,1.005,0
1328.9277617806,0.91,0.91,1.005,0
1326.4307328865,0.92,0.92,1.005,0
1323.8908784459,0.93,0.93,1.005,0
1321.3097753554,0.94,0.94,1.005,0
1318.6888977091,0.95,0.95,1.005,0
1316.0296227229,0.96,0.96,1.005,0
1313.3332365057,0.97,0.97,1.005,0
1310.6009396746,0.98,0.98,1.005,0
1307.8338528155,0.99,0.99,1.005,0
1305.0330217865,1,1,1.005,0
1302.1994228626,1.01,1.01,1.005,0
1299.3339677195,1.02,1.02,1.005,0
1296.4375082552,1.03,1.03,1.005,0
1293.5108412468,1.04,1.04,1.005,0
1290.554712842,1.05,1.05,1.005,0
1287.5698228899,1.06,1.06,1.005,0
1284.5569564446,1.07,1.07,1.005,0
1281.5159592055,1.08,1.08,1.005,0
1278.4473379284,1.09,1.09,1.005,0
1275.3515714381,1.1,1.1,1.005,0
1272.2291141629,1.11,1.11,1.005,0
1269.0803996806,1.12,1.12,1.005,0
1265.9058441245,1.13,1.13,1.005,0
1262.7058494498,1.14,1.14,1.005,0
1259.4808065584,1.15,1.15,1.005,0
1256.2310982824,1.16,1.16,1.005,0
1252.9571022251,1.17,1.17,1.005,0
1249.6591934589,1.18,1.18,1.005,0
1246.337747077,1.19,1.19,1.005,0
1242.9931405998,1.2,1.2,1.005,0
1239.6257562302,1.21,1.21,1.005,0
1236.2359829575,1.22,1.22,1.005,0
1232.8242185065,1.23,1.23,1.005,0
1229.3908711262,1.24,1.24,1.005,0
1225.9363612179,1.25,1.25,1.005,0
1222.4611227957,1.26,1.26,1.005,0
1218.9656047765,1.27,1.27,1.005,0
1215.4502720963,1.28,1.28,1.005,0
1211.9156066467,1.29,1.29,1.005,0
1208.3621080292,1.3,1.3,1.005,0
1204.7902941234,1.31,1.31,1.005,0
1201.200701465,1.32,1.32,1.005,0
1197.5938854329,1.33,1.33,1.005,0
1193.9704202417,1.34,1.34,1.005,0
1190.3308987407,1.35,1.35,1.005,0
1186.6759320201,1.36,1.36,1.005,0
1183.0061488259,1.37,1.37,1.005,0
1179.3221947889,1.38,1.38,1.005,0
1175.6247314757,1.39,1.39,1.005,0
1171.9144352685,1.4,1.4,1.005,0
1168.1919960886,1.41,1.41,1.005,0
1164.4581159781,1.42,1.42,1.005,0
1160.7135075596,1.43,1.43,1.005,0
1156.9588923966,1.44,1.44,1.005,0
1153.194999282,1.45,1.45,1.005,0
1149.4225624866,1.46,1.46,1.005,0
1145.6423200021,1.47,1.47,1.005,0
1141.8550118204,1.48,1.48,1.005,0
1138.0613782905,1.49,1.49,1.005,0
1134.2621586026,1.5,1.5,1.005,0
1130.4580894466,1.51,1.51,1.005,0
1126.6499038977,1.52,1.52,1.005,0
1122.8383305778,1.53,1.53,1.005,0
1119.0240931428,1.54,1.54,1.005,0
1115.2079101359,1.55,1.55,1.005,0
1111.3904952444,1.56,1.56,1.005,0
1107.5725579801,1.57,1.57,1.005,0
1103.7548047902,1.58,1.58,1.005,0
1099.9379405827,1.59,1.59,1.005,0
1096.1226706236,1.6,1.6,1.005,0
1092.3097027311,1.61,1.61,1.005,0
1088.499749652,1.62,1.62,1.005,0
1084.6935314638,1.63,1.63,1.005,0
1080.8917777927,1.64,1.64,1.005,0
1077.0952295813,1.65,1.65,1.005,0
1073.3046400764,1.66,1.66,1.005,0
