time,Decay_heat_tot,FRR_avg,Fiss_power_tot,NI_avg,NXe_avg,T_fuel_avg,T_mod_avg,T_ref_avg,Tt_pow,Tt_pow_check,eigenvalue,flux0_avg,flux1_avg,iodine_yield_avg,power_density_max,power_scaling,scaled_fast_flux_max,scaled_thermal_flux_max,xenon_yield_avg
0,25704000,1.5245216104979e+17,374296000,0,0,900,700,700,400000000,400000000,1,9.0972125609476e+17,9.0972125609476e+17,0,0,2.9898536896588e+18,0,0,0
1,25704000,1.5249802775038e+17,374296000,0.33222673318557,0.065499916850901,900,700,700,400000000,400000000,0.99520951933404,9.4990356157157e+17,9.0259866257015e+17,0.06386243413183,10932638.405422,3.5131191916647e+18,2.1922829482883e+18,3.1477339055627e+18,0.0043604991870021
