dnp_src,id,tfuel,vel_x,vel_y,x,y,z
1.70524651858e+16,0,932.73676715425,4.7427621010581e-05,-5.8489156429572e-06,0.995,0,0
1.70524651858e+16,0.01,932.73676715425,4.7427621010581e-05,-5.8489156429572e-06,0.995,0.01,0
2.1699973640586e+16,0.02,942.12234882884,0.00013620346321681,0.00018821811038273,0.995,0.02,0
2.5830806641212e+16,0.03,950.59270298593,0.00021926662994255,0.00054698287078046,0.995,0.03,0
2.9644633662926e+16,0.04,958.39847844222,0.00029693627551944,0.0010649353902809,0.995,0.04,0
3.3228928521137e+16,0.05,965.68362950528,0.00036949492305183,0.0017334331259817,0.995,0.05,0
3.6634356998228e+16,0.06,972.54557466641,0.00043719830047983,0.0025421163163203,0.995,0.06,0
3.9894188307465e+16,0.07,979.05467651787,0.00050028271706123,0.0034813863143519,0.995,0.07,0
4.3031942664174e+16,0.08,985.26398547616,0.00055897076549221,0.0045422645416712,0.995,0.08,0
4.6065090590471e+16,0.09,991.21477909193,0.00061347544764419,0.0057161878794932,0.995,0.09,0
4.9007080495339e+16,0.1,996.93996456423,0.00066400285324804,0.0069950002290136,0.995,0.1,0
5.1868548895031e+16,0.11,1002.4662886939,0.00071075367583215,0.0083709535653493,0.995,0.11,0
5.4658089302352e+16,0.12,1007.8158366218,0.00075392387361031,0.0098366974720081,0.995,0.12,0
5.7382764742076e+16,0.13,1013.0070842594,0.00079370475009372,0.011385268917124,0.995,0.13,0
6.0048462694616e+16,0.14,1018.0556589613,0.00083028268040011,0.013010082723216,0.995,0.14,0
6.2660148734563e+16,0.15,1022.9749029049,0.00086383865608143,0.014704921276093,0.995,0.15,0
6.5222052590692e+16,0.16,1027.7762991743,0.00089454777159573,0.016463923160565,0.995,0.16,0
6.7737807710931e+16,0.17,1032.4697999138,0.00092257873387218,0.018281570775725,0.995,0.17,0
7.0210557984925e+16,0.18,1037.0640831052,0.00094809344386314,0.020152677046091,0.995,0.18,0
7.2643040734138e+16,0.19,1041.5667563255,0.00097124667504071,0.022072371401582,0.995,0.19,0
7.5037652208035e+16,0.2,1045.9845204509,0.00099218585714078,0.024036085232871,0.995,0.2,0
7.7396499956736e+16,0.21,1050.3233026399,0.0010110509626418,0.026039537032463,0.995,0.21,0
7.972144520355e+16,0.22,1054.588365436,0.0010279744869652,0.02807871741794,0.995,0.22,0
8.2014137490114e+16,0.23,1058.7843970749,0.0010430815100229,0.030149874211334,0.995,0.23,0
8.4276043274717e+16,0.24,1062.9155868387,0.0010564898255272,0.032249497721848,0.995,0.24,0
8.6508469744121e+16,0.25,1066.9856883916,0.001068310124613,0.034374306352002,0.995,0.25,0
8.871258479721e+16,0.26,1070.9980733671,0.001078646221277,0.03652123262119,0.995,0.26,0
9.0889433937567e+16,0.27,1074.9557769847,0.0010875953085502,0.038687409677334,0.995,0.27,0
9.3039954648131e+16,0.28,1078.8615370972,0.0010952482358817,0.040870158346836,0.995,0.28,0
