time,P_in,P_out,T_in,T_out,_PipeHeatRemovalRate,htc_avg,mfr,rho_in,rho_out,v_in,v_out
-250000,7000000,7000000,873.15,873.15,0,1263.647725962,0.0032437834131593,3.8241795215652,3.8241795215652,15,15
-240000,7001123.7588408,6999999.9944158,873.15,1134.8173481356,4410.2120140842,1298.0854955387,0.0032442994126803,3.8247878466443,2.9496526981254,15,19.450399357508
-230000,7001123.7522788,6999999.9944158,873.15,1134.8185340173,4410.1793680912,1298.084395529,0.0032442994096672,3.8247878430921,2.949649640426,15,19.450365981865
-220000,7001123.7544661,6999999.9944158,873.15,1134.8181387295,4410.1902499535,1298.0847621948,0.0032442994106716,3.8247878442761,2.9496506596429,15,19.450377106941
-210000,7001123.7544661,6999999.9944158,873.15,1134.8181387295,4410.1902499535,1298.0847621948,0.0032442994106716,3.8247878442761,2.9496506596429,15,19.450377106941
-200000,7001123.7544661,6999999.9944158,873.15,1134.8181387295,4410.1902499535,1298.0847621948,0.0032442994106716,3.8247878442761,2.9496506596429,15,19.450377106941
-190000,7001123.7544661,6999999.9944158,873.15,1134.8181387295,4410.1902499535,1298.0847621948,0.0032442994106716,3.8247878442761,2.9496506596429,15,19.450377106941
-180000,7001123.7544661,6999999.9944158,873.15,1134.8181387295,4410.1902499535,1298.0847621948,0.0032442994106716,3.8247878442761,2.9496506596429,15,19.450377106941
-170000,7001123.7544661,6999999.9944158,873.15,1134.8181387295,4410.1902499535,1298.0847621948,0.0032442994106716,3.8247878442761,2.9496506596429,15,19.450377106941
-160000,7001123.7544661,6999999.9944158,873.15,1134.8181387295,4410.1902499535,1298.0847621948,0.0032442994106716,3.8247878442761,2.9496506596429,15,19.450377106941
-150000,7001123.7544661,6999999.9944158,873.15,1134.8181387295,4410.1902499535,1298.0847621948,0.0032442994106716,3.8247878442761,2.9496506596429,15,19.450377106941
-140000,7001123.7544661,6999999.9944158,873.15,1134.8181387295,4410.1902499535,1298.0847621948,0.0032442994106716,3.8247878442761,2.9496506596429,15,19.450377106941
-130000,7001123.7544661,6999999.9944158,873.15,1134.8181387295,4410.1902499535,1298.0847621948,0.0032442994106716,3.8247878442761,2.9496506596429,15,19.450377106941
-120000,7001123.7544661,6999999.9944158,873.15,1134.8181387295,4410.1902499535,1298.0847621948,0.0032442994106716,3.8247878442761,2.9496506596429,15,19.450377106941
-110000,7001123.7544661,6999999.9944158,873.15,1134.8181387295,4410.1902499535,1298.0847621948,0.0032442994106716,3.8247878442761,2.9496506596429,15,19.450377106941
-100000,7001123.7544661,6999999.9944158,873.15,1134.8181387295,4410.1902499535,1298.0847621948,0.0032442994106716,3.8247878442761,2.9496506596429,15,19.450377106941
-90000,7001123.7544661,6999999.9944158,873.15,1134.8181387295,4410.1902499535,1298.0847621948,0.0032442994106716,3.8247878442761,2.9496506596429,15,19.450377106941
-80000,7001123.7544661,6999999.9944158,873.15,1134.8181387295,4410.1902499535,1298.0847621948,0.0032442994106716,3.8247878442761,2.9496506596429,15,19.450377106941
-70000,7001123.7544661,6999999.9944158,873.15,1134.8181387295,4410.1902499535,1298.0847621948,0.0032442994106716,3.8247878442761,2.9496506596429,15,19.450377106941
-60000,7001123.7544661,6999999.9944158,873.15,1134.8181387295,4410.1902499535,1298.0847621948,0.0032442994106716,3.8247878442761,2.9496506596429,15,19.450377106941
-50000,7001123.7544661,6999999.9944158,873.15,1134.8181387295,4410.1902499535,1298.0847621948,0.0032442994106716,3.8247878442761,2.9496506596429,15,19.450377106941
-40000,7001123.7544661,6999999.9944158,873.15,1134.8181387295,4410.1902499535,1298.0847621948,0.0032442994106716,3.8247878442761,2.9496506596429,15,19.450377106941
-30000,7001123.7544661,6999999.9944158,873.15,1134.8181387295,4410.1902499535,1298.0847621948,0.0032442994106716,3.8247878442761,2.9496506596429,15,19.450377106941
-20000,7001123.7544661,6999999.9944158,873.15,1134.8181387295,4410.1902499535,1298.0847621948,0.0032442994106716,3.8247878442761,2.9496506596429,15,19.450377106941
-10000,7001123.7544661,6999999.9944158,873.15,1134.8181387295,4410.1902499535,1298.0847621948,0.0032442994106716,3.8247878442761,2.9496506596429,15,19.450377106941
0,7001123.7544661,6999999.9944158,873.15,1134.8181387295,4410.1902499535,1298.0847621948,0.0032442994106716,3.8247878442761,2.9496506596429,15,19.450377106941
