time,Lambda,rho,beta-0,lambda-0,beta-1,lambda-1,beta-2,lambda-2,beta-3,lambda-3,beta-4,lambda-4,beta-5,lambda-5,n,c-0,c-1,c-2,c-3,c-4,c-5
0,0.00094001842496,-2.82683425279e-12,0.000235164830383,0.0133366264132,0.00120079824129,0.0327336917202,0.0011508697109,0.120791293291,0.00257355841641,0.3029030667,0.00106306509886,0.850011216692,0.000445118030721,2.85470288702,1,18.7581506841,39.024620557,10.1357096913,9.03845071369,1.33045085638,0.165873842978
0.5,0.00094001842496,-2.82683772224e-12,0.000235164830383,0.0133366264132,0.00120079824129,0.0327336917202,0.0011508697109,0.120791293291,0.00257355841641,0.3029030667,0.00106306509886,0.850011216692,0.000445118030721,2.85470288702,0.999999999548,18.758150684,39.0246205568,10.1357096911,9.03845071328,1.33045085623,0.165873842932
1,0.00094001842496,-2.8268316507e-12,0.000235164830383,0.0133366264132,0.00120079824129,0.0327336917202,0.0011508697109,0.120791293291,0.00257355841641,0.3029030667,0.00106306509886,0.850011216692,0.000445118030721,2.85470288702,0.999999999471,18.758150684,39.0246205565,10.1357096909,9.03845071271,1.33045085605,0.165873842904
1.5,0.000940055464209,-4.41602101803e-06,0.000235164846422,0.0133366264132,0.0012007983805,0.0327336917202,0.00115086984732,0.120791293291,0.00257355871991,0.302903066703,0.00106306522389,0.850011216742,0.000445118070076,2.85470288718,0.999609239426,18.7581376627,39.0245541528,10.1356463553,9.03831051767,1.33039477303,0.165853193692
2,0.000940091321851,-8.60057306331e-06,0.00023516486309,0.0133366264132,0.0012007985281,0.0327336917202,0.00115086999188,0.120791293291,0.00257355904259,0.302903066713,0.00106306535643,0.85001121687,0.000445118111172,2.85470288748,0.999071929909,18.7580741169,39.0242315662,10.135345036,9.03767109804,1.33016759005,0.165793633659
2.5,0.000940126341617,-1.26255385316e-05,0.000235164880323,0.0133366264132,0.00120079868163,0.0327336917203,0.00115087014224,0.120791293292,0.00257355937853,0.302903066729,0.00106306549429,0.850011217055,0.000445118153715,2.85470288784,0.998390994384,18.7579314734,39.0235100896,10.1346821095,9.0363090863,1.3297228686,0.165696743851
3,0.000940161175641,-1.66138012342e-05,0.000235164897627,0.0133366264132,0.0012007988366,0.0327336917204,0.00115087029397,0.120791293292,0.00257355971776,0.30290306675,0.00106306563341,0.85001121728,0.000445118196491,2.85470288822,0.997621731031,18.7576953728,39.0223205888,10.1336079963,9.03417525358,1.32908185426,0.165576689387
3.5,0.000940195936932,-2.05867898871e-05,0.000235164914937,0.0133366264132,0.00120079899221,0.0327336917205,0.00115087044631,0.120791293292,0.00257356005849,0.302903066775,0.00106306577305,0.850011217532,0.000445118239322,2.8547028886,0.996778390615,18.7573558408,39.02061683,10.1320963554,9.03127037662,1.32827363694,0.165440620557
4,0.000940230672949,-2.45534288399e-05,0.000235164932225,0.0133366264132,0.00120079914811,0.0327336917206,0.00115087059893,0.120791293293,0.00257356039991,0.302903066804,0.00106306591292,0.850011217801,0.000445118282137,2.85470288899,0.995869402485,18.7569047741,39.0183624958,10.1301309665,9.02761338621,1.32732377072,0.165291951251
4.5,0.000940228317022,-2.41035742361e-05,0.000235164933441,0.0133366264132,0.00120079916499,0.0327336917208,0.00115087061528,0.120791293294,0.0025735604383,0.302903066833,0.00106306592788,0.850011218033,0.000445118285552,2.85470288922,0.995287697431,18.7563479872,39.0155925407,10.1277638922,9.02336922486,1.32630804318,0.165152893397
5,0.000940227131135,-2.3881342627e-05,0.000235164934012,0.0133366264132,0.00120079917365,0.0327336917209,0.00115087062366,0.120791293294,0.00257356045793,0.302903066859,0.00106306593547,0.850011218195,0.000445118287213,2.8547028893,0.994792811238,18.7557159687,39.0124665378,10.1251598604,9.01891969534,1.32535492593,0.165042270766
