time,avg_fuel_temp,avg_mod_temp,avg_ref_temp,power_scaling,total_power,IQS_UserObject/asymptotic_period,IQS_UserObject/measured_period,IQS_UserObject/reactivity
0,0,0,0,1.0756822331183e+18,200000000,1.7976931348623e+308,1.7976931348623e+308,0
0.5,900,900,900,1.0756822331183e+18,199999999.9096,-61445989622.891,1.7976931348623e+308,-4.2390435840619e-10
1,900,900,900,1.0756822331183e+18,199999999.89428,-61445924126.574,1.7976931348623e+308,-4.239034479369e-10
1.5,900,900,899.83333333334,1.0756822331183e+18,199913970.46836,-16947.059772031,-322.53032893701,-0.00066221358531311
2,900,900,899.66666666667,1.0756822331183e+18,199798891.32764,-8718.2608488584,-311.8705176191,-0.0012897166053103
2.5,900,900,899.5,1.0756822331183e+18,199655276.99898,-5949.8672367791,-299.04537214362,-0.001893288334445
3,900,900,899.33333333334,1.0756822331183e+18,199494049.89638,-4529.8216093664,-288.36829234013,-0.0024913560718392
3.5,900,900,899.16666666667,1.0756822331183e+18,199318037.54351,-3662.2784966128,-278.78394060883,-0.003087133205494
4,900,900,899,1.0756822331183e+18,199128916.97923,-3076.214735217,-270.19355866028,-0.0036819580048802
4.5,900,900,899,1.0756822331183e+18,199013100.82187,-3132.9818105742,-1385.7045333569,-0.0036144991182137
5,900,900,899,1.0756822331183e+18,198914396.52623,-3161.8144305084,-1385.0873251397,-0.0035811739130346
5.5,900,900,899,1.0756822331183e+18,198832991.03234,-3170.2630641637,-1454.8046882268,-0.0035715255417097
6,900,900,899,1.0756822331183e+18,198758498.87291,-3174.1372632192,-1507.4949051911,-0.0035671179281999
6.5,900,900,899,1.0756822331183e+18,198688533.33339,-3176.1954912377,-1559.9953605732,-0.0035647810486191
7,900,900,899,1.0756822331183e+18,198621795.37568,-3177.5890141704,-1609.6651160035,-0.0035632008349805
7.5,900,900,899,1.0756822331183e+18,198557633.2816,-3178.6638517382,-1656.8004501508,-0.0035619827085375
8,900,900,899,1.0756822331183e+18,198495633.21489,-3179.5574564242,-1701.5402722532,-0.0035609702458027
8.5,900,900,899,1.0756822331183e+18,198435505.84905,-3180.3303829503,-1744.1623385925,-0.003560095511232
9,900,900,899,1.0756822331183e+18,198377033.15955,-3181.013173072,-1784.9235318369,-0.0035593227109619
9.5,900,900,899,1.0756822331183e+18,198320043.32322,-3181.626014238,-1824.0395132107,-0.0035586300057942
10,900,900,899,1.0756822331183e+18,198264396.66573,-3182.1809021941,-1861.6806012653,-0.0035580026354736
