time,avg_fuel_temp,avg_mod_temp,avg_ref_temp,eigenvalue,power_scaling,total_power
0,0,0,0,1,9.9704341182257e+17,200000000
1,900,900,900,1.331510106118,8.0786636779982e+17,200000000
