time,Lambda,betas_0,betas_1,betas_2,betas_3,betas_4,betas_5,lambdas_0,lambdas_1,lambdas_2,lambdas_3,lambdas_4,lambdas_5,n,precursor_0,precursor_1,precursor_2,precursor_3,precursor_4,precursor_5,rho
0,0.00094001842496,0.000235164830383,0.00120079824129,0.0011508697109,0.00257355841641,0.00106306509886,0.000445118030721,0.0133366264132,0.0327336917202,0.120791293291,0.3029030667,0.850011216692,2.85470288702,1,18.758150683999,39.024620556918,10.135709691373,9.0384507136744,1.3304508563764,0.16587384297779,-2.82683425279e-12
0.5,0.00094001842496,0.000235164830383,0.00120079824129,0.0011508697109,0.00257355841641,0.00106306509886,0.000445118030721,0.0133366264132,0.0327336917202,0.120791293291,0.3029030667,0.850011216692,2.85470288702,1,18.758150683999,39.024620556918,10.135709691373,9.0384507136744,1.3304508563764,0.16587384297779,0
1,0.00094001842496,0.000235164830383,0.00120079824129,0.0011508697109,0.00257355841641,0.00106306509886,0.000445118030721,0.0133366264132,0.0327336917202,0.120791293291,0.3029030667,0.850011216692,2.85470288702,1,18.758150683999,39.024620556918,10.135709691373,9.0384507136744,1.3304508563764,0.16587384297779,0
1.5,0.000940055464209,0.000235164846422,0.0012007983805,0.00115086984732,0.00257355871991,0.00106306522389,0.000445118070076,0.0133366264132,0.0327336917202,0.120791293291,0.302903066703,0.850011216742,2.85470288718,1.0010094598515,18.758271223761,39.025230213636,10.136269739305,9.0396040475969,1.3308358112488,0.16596846581764,7.3862979813833e-06
2,0.000940091321851,0.00023516486309,0.0012007985281,0.00115086999188,0.00257355904259,0.00106306535643,0.000445118111172,0.0133366264132,0.0327336917202,0.120791293291,0.302903066713,0.85001121687,2.85470288748,1.0023630274642,18.758554406505,39.026656686581,10.137557257933,9.0421694878482,1.3316279141354,0.16613574752427,1.4772595962767e-05
2.5,0.000940126341617,0.000235164880323,0.00120079868163,0.00115087014224,0.00257355937853,0.00106306549429,0.000445118153715,0.0133366264132,0.0327336917203,0.120791293292,0.302903066729,0.850011217055,2.85470288784,1.0039059469934,18.759022779063,39.029006304334,10.139640572896,9.0461873319143,1.332781178772,0.16635150729759,2.215889394415e-05
3,0.000940161175641,0.000235164897627,0.0012007988366,0.00115087029397,0.00257355971776,0.00106306563341,0.000445118196491,0.0133366264132,0.0327336917204,0.120791293292,0.30290306675,0.85001121728,2.85470288822,1.0055963762184,18.759693452402,39.032356941587,10.142559552721,9.0516419868726,1.3342464466295,0.16660163310217,2.9545191925533e-05
3.5,0.000940195936932,0.000235164914937,0.00120079899221,0.00115087044631,0.00257356005849,0.00106306577305,0.000445118239322,0.0133366264132,0.0327336917205,0.120791293292,0.302903066775,0.850011217532,2.8547028886,1.0074190218502,18.760581506283,39.036775523497,10.146342888605,9.0585015698295,1.3359831007767,0.1668788060803,3.6931489906917e-05
4,0.000940230672949,0.000235164932225,0.00120079914811,0.00115087059893,0.00257356039991,0.00106306591292,0.000445118282137,0.0133366264132,0.0327336917206,0.120791293293,0.302903066804,0.850011217801,2.85470288899,1.0093660271892,18.761700936752,39.042322920318,10.151013065459,9.0667289754903,1.3379594947699,0.16717923865856,4.43177878883e-05
4.5,0.000940228317022,0.000235164933441,0.00120079916499,0.00115087061528,0.0025735604383,0.00106306592788,0.000445118285552,0.0133366264132,0.0327336917208,0.120791293294,0.302903066833,0.850011218033,2.85470288922,1.0104065174375,18.762942525713,39.048436308073,10.156019244803,9.0751139436382,1.3397602210383,0.16740472103081,4.43177878883e-05
5,0.000940227131135,0.000235164934012,0.00120079917365,0.00115087062366,0.00257356045793,0.00106306593547,0.000445118287213,0.0133366264132,0.0327336917209,0.120791293294,0.302903066859,0.850011218195,2.8547028893,1.0112089908916,18.764275739268,39.054956238072,10.161204188259,9.0833513510234,1.3413427468702,0.16757599276327,4.43177878883e-05
5.5,0.000940226783027,0.000235164933996,0.00120079917648,0.00115087062633,0.00257356046455,0.0010630659378,0.000445118287396,0.0133366264133,0.0327336917211,0.120791293295,0.302903066881,0.850011218306,2.85470288933,1.0119276465937,18.765689445787,39.06182293378,10.166508815781,9.0913599074575,1.3427385393575,0.16771666953341,4.43177878883e-05
6,0.000940226620303,0.000235164933891,0.00120079917797,0.00115087062771,0.00257356046809,0.00106306593894,0.000445118287322,0.0133366264133,0.0327336917212,0.120791293295,0.3029030669,0.850011218381,2.85470288934,1.0126026638918,18.767177666128,39.069003267914,10.17190100876,9.099117608357,1.3439858998801,0.16784046708611,4.43177878883e-05
6.5,0.000940226531592,0.000235164933764,0.00120079917889,0.00115087062854,0.00257356047032,0.0010630659396,0.000445118287169,0.0133366264133,0.0327336917213,0.120791293295,0.302903066917,0.850011218432,2.85470288935,1.0132475832712,18.768736158771,39.076473228897,10.17735836238,9.1066215804234,1.3451171259809,0.16795436804234,4.43177878883e-05
7,0.000940226470374,0.000235164933643,0.00120079917958,0.00115087062916,0.00257356047199,0.00106306594007,0.00044511828701,0.0133366264133,0.0327336917215,0.120791293296,0.302903066931,0.850011218466,2.85470288935,1.013868687154,18.770361495108,39.084213171684,10.182863402845,9.1138768548878,1.3461573947352,0.16806186659015,4.43177878883e-05
7.5,0.00094022642261,0.000235164933534,0.00120079918015,0.00115087062967,0.00257356047335,0.00106306594045,0.000445118286862,0.0133366264133,0.0327336917216,0.120791293296,0.302903066943,0.85001121849,2.85470288934,1.0144697681087,18.772050743139,39.092206159425,10.188401849299,9.1208923271579,1.3471258848252,0.16816477354629,4.43177878883e-05
8,0.000940226382669,0.000235164933436,0.00120079918064,0.0011508706301,0.00257356047451,0.00106306594076,0.000445118286728,0.0133366264133,0.0327336917218,0.120791293297,0.302903066954,0.850011218506,2.85470288934,1.015053489444,18.773801321896,39.100437205143,10.19396177492,9.1276788953979,1.3480371139096,0.16826409522382,4.43177878883e-05
8.5,0.00094022634808,0.000235164933349,0.00120079918106,0.00115087063047,0.00257356047552,0.00106306594104,0.000445118286608,0.0133366264134,0.0327336917219,0.120791293297,0.302903066963,0.850011218517,2.85470288934,1.0156218749247,18.775610919247,39.108892836383,10.19953310177,9.1342484329006,1.3489020737077,0.16836044380567,4.43177878883e-05
9,0.000940226317505,0.000235164933271,0.00120079918144,0.0011508706308,0.00257356047641,0.00106306594128,0.0004451182865,0.0133366264134,0.032733691722,0.120791293297,0.302903066971,0.850011218525,2.85470288934,1.0161765322903,18.777477438283,39.117560808673,10.205107254666,9.1406131638862,1.3497291160591,0.1684542284153,4.43177878883e-05
9.5,0.000940226290117,0.000235164933201,0.00120079918178,0.00115087063109,0.0025735604772,0.00106306594149,0.000445118286403,0.0133366264134,0.0327336917221,0.120791293298,0.302903066977,0.85001121853,2.85470288934,1.0167187764268,18.779398959442,39.126429901402,10.210676906236,9.146785268617,1.3505246238739,0.16854574590987,4.43177878883e-05
10,0.000940226265348,0.000235164933138,0.00120079918209,0.00115087063136,0.00257356047792,0.00106306594168,0.000445118286315,0.0133366264134,0.0327336917223,0.120791293298,0.302903066983,0.850011218534,2.85470288934,1.0172497060367,18.781373712443,39.135489765331,10.216235780943,9.1527766318919,1.3512935124883,0.16863522578718,4.43177878883e-05
