time,avg_fuel_temp,avg_mod_temp,avg_ref_temp,power_scaling,total_power,IQS_UserObject/asymptotic_period,IQS_UserObject/measured_period,IQS_UserObject/reactivity
0,0,0,0,1.0756822331183e+18,200000000,1.7976931348623e+308,1.7976931348623e+308,0
0.25,900,900,900,1.0756822331183e+18,200000000,-61445924126.574,1.7976931348623e+308,-4.2390292766873e-10
0.5,900,900,900,1.0756822331183e+18,200000000,-61445924126.574,1.7976931348623e+308,-4.2390318780281e-10
0.75,900,900,900,1.0756822331183e+18,200000000,-61445924126.574,1.7976931348623e+308,-4.2390318780281e-10
1,900,900,900,1.0756822331183e+18,200000000,-61445924126.574,1.7976931348623e+308,-4.2390318780281e-10
1.25,900,900,900,1.0756822331183e+18,200000000,-61445924126.574,1.7976931348623e+308,-4.2390318780281e-10
1.5,900,900,900,1.0756822331183e+18,200000000,-61445924126.574,1.7976931348623e+308,-4.2390318780281e-10
1.75,900,900,900,1.0756822331183e+18,200000000,-61445924126.574,1.7976931348623e+308,-4.2390318780281e-10
2,900,900,900,1.0756822331183e+18,200000000,-61445924126.574,1.7976931348623e+308,-4.2390318780281e-10
2.25,900,900,900,1.0756822331183e+18,200000000,-61445924126.574,1.7976931348623e+308,-4.2390318780281e-10
2.5,900,900,900,1.0756822331183e+18,200000000,-61445924126.574,1.7976931348623e+308,-4.2390318780281e-10
2.75,900,900,900,1.0756822331183e+18,200000000,-61445924126.574,1.7976931348623e+308,-4.2390318780281e-10
3,900,900,900,1.0756822331183e+18,200000000,-61445924126.574,1.7976931348623e+308,-4.2390318780281e-10
3.25,900,900,900,1.0756822331183e+18,200000000,-61445924126.574,1.7976931348623e+308,-4.2390318780281e-10
3.5,900,900,900,1.0756822331183e+18,200000000,-61445924126.574,1.7976931348623e+308,-4.2390318780281e-10
3.75,900,900,900,1.0756822331183e+18,200000000,-61445924126.574,1.7976931348623e+308,-4.2390318780281e-10
4,900,900,900,1.0756822331183e+18,200000000,-61445924126.574,1.7976931348623e+308,-4.2390318780281e-10
4.25,900,900,900,1.0756822331183e+18,200000000,-61445924126.574,1.7976931348623e+308,-4.2390318780281e-10
4.5,900,900,900,1.0756822331183e+18,200000000,-61445924126.574,1.7976931348623e+308,-4.2390318780281e-10
4.75,900,900,900,1.0756822331183e+18,200000000,-61445924126.574,1.7976931348623e+308,-4.2390318780281e-10
5,900,900,900,1.0756822331183e+18,200000000,-61445924126.574,1.7976931348623e+308,-4.2390318780281e-10
