time,Bypassrho,Bypassv,Core_inlet_T,Core_inlet_T_reversal,Core_inlet_mdot,Core_inlet_pressure,Core_inlet_rho,Core_inlet_v,Core_outlet_T,Core_outlet_mdot,Core_outlet_p,Core_outlet_rho,Core_outlet_v,DHXTubeBot,DHXTubeTop,DHX_flow,DHX_q,DHXshellBot,DHXshellTop,core_inlet:massflow,core_inlet:pressure,core_inlet:temperature,core_inlet:velocity,core_outlet:massflow,core_outlet:pressure,core_outlet:temperature,core_outlet:velocity,cover_gas1:pressure,cover_gas2:pressure,Branch030:pressure,Branch030:rho,Branch030:temperature,Branch030:velocity,Branch260:pressure,Branch260:rho,Branch260:temperature,Branch260:velocity,Branch270:pressure,Branch270:rho,Branch270:temperature,Branch270:velocity,Branch280:pressure,Branch280:rho,Branch280:temperature,Branch280:velocity,Branch501:pressure,Branch501:rho,Branch501:temperature,Branch501:velocity,Branch502:pressure,Branch502:rho,Branch502:temperature,Branch502:velocity,Branch601:pressure,Branch601:rho,Branch601:temperature,Branch601:velocity,Branch602:pressure,Branch602:rho,Branch602:temperature,Branch602:velocity,Branch603:pressure,Branch603:rho,Branch603:temperature,Branch603:velocity,Branch604:pressure,Branch604:pump_head,Branch604:rho,Branch604:temperature,Branch604:velocity,Branch605:pressure,Branch605:rho,Branch605:temperature,Branch605:velocity,Branch606:pressure,Branch606:rho,Branch606:temperature,Branch606:velocity,Branch607:pressure,Branch607:rho,Branch607:temperature,Branch607:velocity,Branch609:pressure,Branch609:rho,Branch609:temperature,Branch609:velocity,Branch610:pressure,Branch610:rho,Branch610:temperature,Branch610:velocity,Branch611:pressure,Branch611:rho,Branch611:temperature,Branch611:velocity,Branch612:pressure,Branch612:rho,Branch612:temperature,Branch612:velocity,Branch613:pressure,Branch613:rho,Branch613:temperature,Branch613:velocity,Branch614:pressure,Branch614:rho,Branch614:temperature,Branch614:velocity,Branch615:pressure,Branch615:rho,Branch615:temperature,Branch615:velocity,Diode608:pressure,Diode608:pump_head,Diode608:rho,Diode608:temperature,Diode608:velocity,Pump:pressure,Pump:pump_head,Pump:rho,Pump:temperature,Pump:velocity,pool1:level,pool1:pressure,pool1:rho,pool1:temperature,pool1:velocity,pool1:volume,pool2:level,pool2:pressure,pool2:rho,pool2:temperature,pool2:velocity,pool2:volume
-40,1986.7052,1.993,823.15,850,2878.0627008,200000,2011.52,1.43079,950,976,145485.2923,1962.72,0.49726909594848,830,830,53.961792719868,-4299875.8943736,870,870,2878.0627008,593416,823.15,1.43079,2808.2401488,145485.2923,923.15,1.43079,200000,90000,170000,1939.8572,970,2.04,100000,1939.8572,970,2.052,250000,1986.7052,874,1.784,340000,1986.7052,874,0.388,100000,1939.8572,970,2.052,100000,1986.7052,874,1.796,460000,1939.8572,970,1.783,520000,1939.8572,970,1.207,250000,1986.7052,874,2.818,310000,0,1986.7052,874,1.796,310000,1986.7052,874,1.796,190000,1986.7052,874,1.796,180000,1986.7052,874,1.796,130000,1986.7052,874,0.767,100000,1986.7052,874,1.796,100000,1986.7052,874,1.796,100000,1986.7052,874,1.796,100000,1986.7052,874,1.796,100000,1986.7052,874,1.796,100000,1986.7052,874,1.796,230000,0,1986.7052,874,0.767,270000,490000,1939.8572,970,1.783,0.4,100000,1997.0996,852.7,0,0.9,0.4,100000,1939.8572,970,0,0.9
-35,1946.0178027333,-1.9488266664836,882.90701495971,850,2026.8750183512,200000,1982.3585766997,1.022456301385,950,976,185571.95412448,1949.6172000002,0.50061109432144,873.41303662179,842.4738882892,-47.473133503826,865073.61193762,871.97667819519,909.65506507194,2026.8750183512,200000.00000467,882.90701495971,1.022456301385,976.00000000015,185571.95412448,949.99999999963,0.50061109432152,200000,90000,179963.16870049,1949.1850492136,950.88555489012,1.9834710061316,109604.9386357,1946.9233708427,955.52014171579,1.4158894850534,121534.03699311,1986.0607053226,875.32068581428,2.9478326414101,207733.7489735,1981.9392994491,883.76618965353,0.7700910476263,98800.007009989,1940.482018673,968.7196338669,3.3763711221205,218590.03379976,1990.1270364301,866.98804010216,0.05467811949483,583622.59354724,1939.8576769153,969.9990227146,2.9334380747383,651890.77974947,1939.8572734016,969.99984958689,1.9859804290498,129096.52549169,1983.025119185,881.54114921103,4.5305237331455,180042.36009498,0,1981.6751379664,884.30750416719,4.5305237331546,191298.87669742,1976.0456900842,895.84325802415,2.8875638314514,63384.151174941,1978.6906006439,890.42335933625,2.8875638314738,58753.510794252,1984.8497629679,877.80212506585,2.8875638315221,76971.002639465,1969.0797102739,910.11780681586,0.68215359745612,286027.16777535,2002.0899528815,842.47386704604,0.029391140676539,218694.42237021,1986.7200203918,873.96963034465,0.054630836867075,168145.92180472,1986.7057344515,873.99890481249,0.054630836864233,218964.44995367,1997.5396089868,851.79834224006,0.026519237626339,219072.99680961,1986.7246950778,873.96005107,0.026519237634047,335063.72317086,1986.705202964,873.9999939262,0.026519237542724,123951.80247586,0,1987.6925810868,871.97667810091,0.68058765025118,585020.12083689,490000,1939.8585696638,969.99719331191,2.933438074774,0.4,207828.63043211,1997.0996,852.7,0,0.9,0.4,97604.240224022,1939.8572,970,0,0.9
-30,1949.8151441256,-1.9442890803426,892.00478775127,850,2019.1348925322,200000,1977.9188635774,1.0208380787068,950,976,185597.12057992,1949.6171999864,0.50061109432498,873.22162140891,848.03428075472,-47.185747587088,2745431.2060476,870.18163114594,960.47417979407,2019.1348925322,199999.99983128,892.00478775127,1.0208380787068,975.99999995849,185597.12057992,950.00000002789,0.5006110943037,200000,90000,179987.53870928,1949.5958012406,950.04384991683,1.9830365923028,109606.2196791,1949.4956966637,950.24898224652,1.4164295863538,121521.39374112,1977.1108378907,893.66057809292,2.9432212609963,207713.40084426,1977.3230195597,893.22577959069,0.76877496737215,98817.97891251,1943.6265808781,962.27585885634,3.3715057068667,218592.74478319,1994.1810637814,858.68060700541,0.016285678143495,583694.2360148,1939.9279357052,969.85504978433,2.9292166695783,651980.89821356,1939.874246742,969.96506815174,1.9831224995872,129502.98884341,1985.9492106554,875.54915849307,4.523392481393,180629.73225265,0,1985.9316922565,875.58505685153,4.5233924949823,191922.50069078,1985.7008081382,876.05818004462,2.8830186657492,63474.448545996,1983.863723079,879.82269860861,2.8830186715505,58964.618938845,1976.6764938665,894.55062732272,2.8830186822484,76993.946386572,1944.643805584,960.1913820001,0.68654395636978,286058.90798265,1999.9318625528,846.8961832934,0.0095036191861357,218614.16222827,1986.733630564,873.94174064756,0.0067582155382809,168007.78320118,1986.7112838593,873.98753307516,0.006758249263877,219126.97713844,1997.6691382945,851.53291333088,0.012517069942115,219140.90078993,1987.0010691056,873.39371084918,0.012517068497716,335004.82241925,1987.0834307976,873.22493689012,0.012517200179067,123841.60883855,0,1988.5685667079,870.18162559861,0.68143797789984,585044.71749312,490000,1940.0102567284,969.68635916319,2.9292167004254,0.4,207828.63042604,1997.0996,852.7,0,0.9,0.4,97604.24022099,1939.8572,970,0,0.9
-25,1949.6174211233,-1.9444071684847,895.19248252527,850,2018.4262118202,200000,1976.3632685277,1.0212830019473,950,976,185599.34326376,1949.6172000207,0.50061109431618,869.82621394442,854.64104318192,-47.189778514206,3062333.2294594,867.96976252274,949.9839358603,2018.4262118202,199999.99995124,895.19248252527,1.0212830019473,976.00000005392,185599.34326376,949.99999995764,0.50061109434384,200000,90000,179989.72118193,1949.6162846585,950.00187569987,1.9830157297463,109605.58826019,1949.6144307068,950.00567478122,1.4164010564834,121455.75934038,1985.8423740321,875.76808599983,2.9454060435305,207710.37585369,1977.0880107514,893.7073550176,0.76958038339467,98804.663550081,1943.6702208541,962.18643267605,3.3734751670109,218592.91615924,1995.5715460453,855.83125810395,0.0094266113516328,583661.31466693,1941.2699051219,967.10511245504,2.9309401420199,651983.13111363,1940.4517013172,968.78175959585,1.9842892885728,129272.89049267,1985.365989658,876.74428348769,4.5260890703416,180363.40029429,0,1985.3979021381,876.6788890612,4.5260890647569,191658.83507443,1985.5627784053,876.34102785801,2.8847373628468,63164.906098919,1985.9059394897,875.63782891446,2.8847373652428,58606.09662453,1986.5606837714,874.29613981263,2.8847373608844,77092.786392073,1949.5660656073,950.10478359161,0.68486907240023,286088.51261366,2003.1538169588,840.2938177073,0.0042359603777788,218579.5854179,1986.6583834408,874.09593557216,0.0051834352330273,167948.71178039,1986.7086634424,873.99290278196,0.0051834376798042,219190.46707891,1995.4064940385,856.16947942929,0.0080797397464736,219166.34989157,1986.994718036,873.40672533611,0.0080797378162136,334980.17405402,1988.7418253072,869.82658748533,0.0080797429057848,123842.38513714,0,1989.6479564285,867.96976141709,0.67917383695379,585019.71910821,490000,1941.9642714758,965.68223058245,2.9309401413338,0.4,207828.63042187,1997.0996,852.7,0,0.9,0.4,97604.240210277,1939.8572,970,0,0.9
-20,1949.6170988367,-1.9439462066771,883.12448259622,850,2026.133202352,200000,1982.252452493,1.0221368119907,950,976,185599.0372727,1949.6172000002,0.50061109432144,873.60721657523,880.99586443734,-47.12728397034,3316641.9463355,865.9749071303,949.98092749089,2026.133202352,199999.99999817,883.12448259622,1.0221368119907,975.99999999867,185599.0372727,949.99999999961,0.50061109432076,200000,90000,179989.41341065,1949.6171640104,950.00007374908,1.9830148349463,109605.22025256,1949.6170600224,950.00028683926,1.4165149952442,121474.17931878,1985.8059587081,875.84270756535,2.9479061312323,207732.60555107,1982.1002075111,883.4364600183,0.76991084931063,98800.065122107,1943.7017519381,962.12181979894,3.3741443436935,218592.60734079,1996.0605525422,854.82919561018,0.019897139442627,583640.60467955,1943.8842508556,961.74784660745,2.9315224105904,652056.28953585,1943.1350055128,963.28318542451,1.9846834963575,129339.96528372,1985.4780487087,876.51465428552,4.5309858001025,180391.46641077,0,1985.4822849184,876.50597352784,4.5309858001022,191703.33781336,1985.451560623,876.5689331495,2.8878583331641,63220.815415605,1985.351260381,876.77446643246,2.8878583331746,58652.124188398,1985.550398854,876.36639579103,2.8878583331915,77213.269507121,1949.6296854205,949.97441512198,0.68393976491931,286110.21760659,1983.2912211729,880.99585825218,0.015001083586738,218564.42504817,1986.6142520237,874.18636880379,0.01990483173981,167922.94639264,1986.7299037266,873.94937760939,0.019904831681022,219196.14057387,2004.8833532262,836.74968601187,0.010731589999775,219156.68575679,1986.7242354875,873.96099285339,0.010731595585124,334949.93123862,1987.8409904711,871.67256051002,0.010731595479936,123868.62178522,0,1990.6214453219,865.97490712733,0.67777663576586,585006.7525873,490000,1943.9590666553,961.59453554239,2.9315224106115,0.4,207828.63043211,1997.0996,852.7,0,0.9,0.4,97604.240224001,1939.8572,970,0,0.9
-15,1949.6171957365,-1.9439650779956,885.34668590512,850,2028.1002435118,200000,1981.1680172783,1.0236891701381,950,976,185598.77802696,1949.6171999978,0.50061109432207,874.0719302154,895.23911661422,-47.046628057153,3480882.5907991,865.44391952805,950.01563239536,2028.1002435118,200000.0000823,885.34668590512,1.0236891701381,976.00000000449,185598.77802696,950.0000000046,0.50061109432437,200000,90000,179989.15412771,1949.6171985943,950.00000288059,1.983014799588,109604.92165658,1949.6171942498,950.00001178323,1.4165103420963,121507.03368977,1985.513829036,876.44133394257,2.9530499704291,207729.91078635,1981.1648320182,885.35321307738,0.77113284096845,98779.100501513,1943.6985119481,962.12845912282,3.3772969733195,218591.51647937,1990.8194146206,865.5692323349,0.038614257226053,583622.61132237,1943.6556292051,962.21633359618,2.9342613820175,652049.11178015,1943.8518547041,961.81423216378,1.98653782015,129388.03117521,1985.4819582713,876.50664288664,4.5393079804566,180391.31551072,0,1985.4732263582,876.52453615122,4.5393079818507,191743.81960882,1985.4651586982,876.54106824147,2.8931625382582,63257.409541029,1985.4867525138,876.49681861921,2.8931625373623,58690.142152839,1985.428658311,876.61586411671,2.8931625377731,77362.790507209,1949.616535082,950.00136253679,0.68277384281306,286157.30000111,1976.3407428913,895.23864161619,0.036812709133176,218563.63570796,1986.7145274577,873.9808863571,0.038692304279837,167921.95558098,1986.697782782,874.01519921725,0.038692297547441,219184.7384938,2016.8810678299,812.16420526661,0.032240397723252,219147.18177145,1986.6990211788,874.01266151895,0.032240406228092,334941.88391239,1986.9807890738,873.4352682913,0.032240407324147,123926.81679428,0,1990.8805673628,865.44391933858,0.67630406114353,584992.20799155,490000,1943.6560544531,962.21546218626,2.9342613812145,0.4,207828.63043287,1997.0996,852.7,0,0.9,0.4,97604.24022319,1939.8572,970,0,0.9
-10,1949.6172001696,-1.943958123837,885.26550344008,850,2028.4258936355,200000,1981.2076343212,1.0238330695361,950,976,185598.79341328,1949.6171999988,0.50061109432179,874.10990944756,902.32212602986,-46.985261780592,3441639.673789,883.17823882888,950.00261984074,2028.4258936355,200000.0001625,885.26550344008,1.0238330695361,976.00000001125,185598.79341328,950.00000000237,0.50061109432756,200000,90000,179989.16953854,1949.617199687,950.00000064149,1.9830147935801,109604.94628473,1949.6171994968,950.00000103115,1.4165120491873,121503.70107079,1985.4833587562,876.50377304055,2.9534959002968,207730.07613021,1981.2078995489,885.26495994085,0.77124214526799,98775.480986699,1943.6981875365,962.12912390052,3.3778469248617,218589.99220539,1987.8913142858,871.56943793886,0.055002085725708,583622.36686465,1943.7114616917,962.10192276298,2.9347391612058,652051.35605727,1943.6833603166,962.159507548,1.9868612808053,129351.03596816,1985.5632104504,876.34014251976,4.5402074549167,180356.98992847,0,1985.5496712559,876.36788677079,4.540207457653,191718.59822508,1985.5276139277,876.41308621363,2.8937358282663,63238.232656273,1985.4893208043,876.4915557289,2.8937358301932,58679.447132713,1985.4727149886,876.52558403973,2.8937358276048,77477.500596893,1949.6171740648,950.00005314583,0.68188302826776,286213.62495191,1972.8841704147,902.32178193709,0.055015538754995,218566.14759227,1986.7480503767,873.912191851,0.054993897356199,167926.70970339,1986.7071265476,873.99605215646,0.054993892598499,219166.93125088,2019.3278194211,807.15037003869,0.050308986169982,219134.89077546,1986.8380374085,873.72779219579,0.050309000603461,334937.39202915,1986.7104736826,873.98919327342,0.050308998165676,123965.18716921,0,1982.2262154712,883.17824698516,0.67548909196065,584989.44571119,490000,1943.7037231179,962.11778049614,2.9347391552889,0.4,207828.63042668,1997.0996,852.7,0,0.9,0.4,97604.240224807,1939.8572,970,0,0.9
-5,1949.6171994962,-1.9439795815983,885.83941709147,850,2028.0108533929,200000,1980.9275644594,1.0237683041916,950,976,185598.71009069,1949.6171999988,0.50061109432181,874.1176573229,908.06243416497,-46.931036321179,3038976.7475527,906.36210801581,950.00601094403,2028.0108533929,199999.99998893,885.83941709147,1.0237683041916,975.9999999958,185598.71009069,950.00000000254,0.50061109431966,200000,90000,179989.08612939,1949.6171999163,950.00000017152,1.9830147983424,109604.88398961,1949.6171997601,950.00000049153,1.4165067733092,121507.40026585,1985.1548232091,877.17700162072,2.9532926672543,207728.91374557,1980.909092376,885.87726972129,0.77118781157277,98776.918868177,1943.6987274169,962.12801758838,3.3776310678394,218588.20679593,1987.98983548,871.3675502458,0.069427319313707,583623.01933362,1943.6971837263,962.13118088871,2.9345516246215,652050.83074208,1943.6981988058,962.12910080787,1.9867343181308,129362.35794297,1985.5894155118,876.28644362342,4.5398743583185,180369.71487564,0,1985.5925181572,876.28008574336,4.5398743593799,191729.17986119,1985.59289464,876.27931426236,2.8935235236321,63242.289721183,1985.5725835186,876.3209354128,2.8935235243487,58681.738208668,1985.5346679958,876.39863115615,2.8935235245901,77577.767393889,1949.6171994198,950.00000118896,0.68109606159459,286257.13535582,1970.0827938649,908.06230765398,0.069419723740711,218566.5421343,1986.774019942,873.85897552869,0.068448492322654,167927.77147608,1986.7072323705,873.99583530641,0.068448493914195,219141.3418013,2020.5196183954,804.70815902577,0.064893402465522,219112.56803526,1986.6921422222,874.02675774149,0.064893411893331,334919.66879725,1986.7054674807,873.99945188391,0.064893414469823,124033.31134599,0,1970.9124875526,906.362115671,0.67544204633648,584990.52592602,490000,1943.6980137688,962.12947998189,2.9345516237806,0.4,207828.63043155,1997.0996,852.7,0,0.9,0.4,97604.240223553,1939.8572,970,0,0.9
0,1949.6171999751,-1.9439852064309,886.03109398961,850,2027.9586106525,200000,1980.8340261331,1.023790274146,950,976,185598.69843318,1949.6172000009,0.50061109432127,874.41567155297,912.60223569417,-46.914034606841,2730324.7136487,908.6307268861,950.01320071955,2027.9586106525,199999.99998011,886.03109398961,1.023790274146,976.00000000463,185598.69843318,949.99999999823,0.50061109432364,200000,90000,179989.07450121,1949.6172000123,949.99999997471,1.9830147982278,109604.86729603,1949.6172000712,949.99999985407,1.4165053894268,121507.63801563,1985.17616373,877.13327104503,2.9533695851353,207728.60902405,1980.8377139686,886.02353694969,0.77121167593967,98776.644113409,1943.6987713359,962.12792759042,3.3776728366759,218586.43400652,1988.8807715017,869.54186167689,0.0812388025432,583622.84869492,1943.6982962744,962.12890107711,2.9345879135632,652050.8539183,1943.6983175612,962.12885745666,1.9867588867651,129360.85983438,1985.577114186,876.31165125829,4.539928595101,180367.73526432,0,1985.5764675604,876.31297631061,4.5399285936324,191727.42776172,1985.5777732284,876.31030076152,2.8935580908713,63240.765259804,1985.5883259022,876.28867642995,2.8935580904369,58680.058621163,1985.5939868232,876.27707618204,2.8935580899982,77609.190419027,1949.6171998744,950.00000025729,0.680849320826,286280.20053466,1967.867348563,912.60215458403,0.081223139087358,218564.50561628,1986.8037503596,873.79805254189,0.079900655604201,167924.64600181,1986.7075452553,873.99519414897,0.079900658735599,219109.49711372,2021.3338123675,803.03972875512,0.077050714473403,219080.64703827,1986.750842135,873.90647103476,0.077050724988378,334887.52076855,1986.705285229,873.99982535048,0.077050722999027,124042.04229795,0,1969.8054028229,908.63073192021,0.67576382447541,584990.319693,490000,1943.6985188899,962.12844489777,2.9345879136912,0.4,207828.63043147,1997.0996,852.7,0,0.9,0.4,97604.240224363,1939.8572,970,0,0.9
5,1949.6171999866,-1.9439848560088,886.0154069457,850,2027.9717314578,200000,1980.8416814105,1.0237929413994,950,976,185598.70971276,1949.6171999997,0.50061109432158,874.35685166412,916.18207269648,-46.896299811594,2504419.3979773,913.09508998662,950.01172056816,2027.9717314578,200000.0000022,886.0154069457,1.0237929413994,975.99999999793,185598.70971276,950.00000000069,0.50061109432051,200000,90000,179989.08577704,1949.6171999592,950.00000008354,1.9830147984508,109604.88143547,1949.617199992,950.00000001644,1.4165054755218,121508.20164413,1985.1212160761,877.24586869661,2.9533726747474,207728.6267576,1980.8376691898,886.02362870934,0.77121095559428,98776.712448844,1943.6988824972,962.12769980091,3.3776629927376,218584.57436817,1990.6049471659,866.00871482403,0.091984501541045,583622.89866215,1943.6987887733,962.12789185793,2.9345793616993,652050.89317805,1943.6987346183,962.12800283127,1.9867530967896,129361.32772995,1985.5802274129,876.30527169493,4.5399152232265,180368.33554784,0,1985.5804970614,876.30471913653,4.5399152237486,191727.98075024,1985.580233235,876.30525976443,2.8935495685177,63241.56898221,1985.5769768571,876.31193266997,2.8935495684783,58680.95292605,1985.5777338625,876.3103814294,2.8935495681059,77642.250300073,1949.6172000225,949.99999995382,0.68059194106067,286284.22845286,1966.1203750946,916.18201824867,0.091956821556054,218561.0608225,1986.85694638,873.68904430325,0.090514604969352,167919.05528464,1986.7100635855,873.99003363617,0.090514604745722,219071.9266846,2021.9147201523,801.84934395019,0.088085423330218,219040.87326726,1986.8352679771,873.73346726,0.088085433232261,334845.10099489,1986.705281629,873.99983272751,0.088085430969953,124053.80806358,0,1967.62679407,913.09509411883,0.67592324955937,584990.37092155,490000,1943.6987671673,962.12793613255,2.9345793606973,0.4,207828.63043117,1997.0996,852.7,0,0.9,0.4,97604.240224181,1939.8572,970,0,0.9
