time,T_pipe_ave,T_reac_ave,T_reac_bot,T_reac_max,T_reac_top,T_ref_ave,T_ref_max,T_ref_wall,c1_inlet,c1_outlet,c2_inlet,c2_outlet,c3_inlet,c3_outlet,c4_inlet,c4_outlet,c5_inlet,c5_outlet,c6_inlet,c6_outlet,flow,heat-input-pipe-pp,heat-input-ref-pp,heat-loss-pipe,heat-loss-reflector,max_v,pdrop,reactor-power,lambda
10000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-06
10000000.005,899.99989906533,900.00021885285,899.99999999433,900.00027365562,900.00004877992,899.9999985878,900.0000000009,899.9999904065,3.5568600659714e-10,3.5568600659714e-10,3.5568600659714e-10,3.5568600659714e-10,3.5568600659714e-10,3.5568600659714e-10,3.5568600659714e-10,3.5568600659714e-10,3.5568600659714e-10,3.5568600659714e-10,3.5568600659714e-10,3.5568600659714e-10,1.166294415632,0,0,2049.4578092749,1980.1735161602,0.19957737350167,2474.645504343,24776.135636578,-5.3701109915014e-16
10000000.01,899.99979814154,900.00043770055,899.99999996831,900.00054731069,900.00009991905,899.99996019406,900.00000000269,899.99972959273,7.1130530520275e-10,7.1130530520275e-10,7.1130530520275e-10,7.1130530520275e-10,7.1130530520275e-10,7.1130530520275e-10,7.1130530520275e-10,7.1130530520275e-10,7.1130530520275e-10,7.1130530520275e-10,7.1130530520275e-10,7.1130530520275e-10,2.3323700957598,0,0,2049.4560918603,53834.136438046,0.35351615051984,3383.7007191781,24776.135636578,1.8428867774019e-15
10000000.015,899.99969723628,900.00065653921,899.99999990738,900.00082096484,900.00015356745,899.99992180041,900.00000000537,899.99946878661,1.0657409377657e-09,1.0657409377657e-09,1.0657409377657e-09,1.0657409377657e-09,1.0657409377657e-09,1.0657409377657e-09,1.0657409377657e-09,1.0657409377657e-09,1.0657409377657e-09,1.0657409377657e-09,1.0657409377657e-09,1.0657409377657e-09,3.4945645349339,0,0,2049.4543755481,53834.072575086,0.48253786602127,4039.6067666016,24776.135636578,-4.59982825484e-15
