time,T_pipe_ave,T_reac_ave,T_reac_bot,T_reac_max,T_reac_top,T_ref_ave,T_ref_max,T_ref_wall,c1_inlet,c1_outlet,c2_inlet,c2_outlet,c3_inlet,c3_outlet,c4_inlet,c4_outlet,c5_inlet,c5_outlet,c6_inlet,c6_outlet,flow,heat-input-pipe-pp,heat-input-ref-pp,heat-loss-pipe,heat-loss-reflector,max_v,pdrop,reactor-power,lambda
0,899.99909305809,900.00196896177,899.99999808381,900.0026692144,900.00054608127,899.99969285068,900.0000000243,899.99791375181,0,0,0,0,0,0,0,0,0,0,0,0,10.081094435075,0,0,2049.4441419959,53833.806780523,1.1290891455599,5990.6678102972,24776.135636578,4.2322478651339e-15
0.005,899.99899251022,900.00218763339,899.9999976433,900.00304929423,900.00061811782,899.99965445723,900.00000002938,899.99765299875,0,0,0,0,0,0,0,0,0,0,0,0,11.110276611078,0,0,2049.4424441731,53833.627949092,1.1192919616506,6537.7250395465,24776.135636578,-1.5793746511909e-14
0.01,899.99889204776,900.00240626673,899.99999714569,900.00343330459,900.00069324099,899.99961606383,900.00000003503,899.99739225331,0,0,0,0,0,0,0,0,0,0,0,0,12.177672633762,0,0,2049.4407503818,53833.564101435,1.1484825955402,7233.6563571673,24776.135636578,1.0488166035491e-14
0.015,899.99879167973,900.00262485877,899.99999660051,900.00381491988,900.00077138054,899.99957767047,900.00000004124,899.99713151549,0,0,0,0,0,0,0,0,0,0,0,0,13.238159943471,0,0,2049.4390609916,53833.5002557,1.1903616036916,7680.1976901636,24776.135636578,-5.6506630165033e-15
0.02,899.99869141479,900.00284340698,899.99999601686,900.00418924142,900.00085248481,899.99953927715,900.00000004801,899.99687078529,0,0,0,0,0,0,0,0,0,0,0,0,14.290842468898,0,0,2049.4373763234,53833.436411887,1.2283657565875,8081.5769037371,24776.135636578,1.0814242852694e-14
0.025,899.99859126308,900.00306190922,899.99999540385,900.00455208781,900.00093649287,899.99950088388,900.00000005535,899.99661006272,0,0,0,0,0,0,0,0,0,0,0,0,15.335351452627,0,0,2049.4356966823,53833.372569995,1.2631370992997,8471.7174835084,24776.135636578,4.0132588336153e-15
