time,fuel_temp_avg,fuel_temp_max,fuel_temp_min,heatpipe_surface_temp_avg,mod_temp_avg,mod_temp_max,mod_temp_min,monolith_temp_avg,monolith_temp_max,monolith_temp_min,power_density
-250000,0,0,0,0,0,0,0,0,0,0,0
-240000,1150.0000001034,1150.0000026892,1149.9999898975,1149.9994732579,1150.0000002266,1150.0000020094,1149.9999994743,1150.000000176,1150.0000032546,1149.9999877855,0
-230000,1150.0000000955,1150.0000026727,1149.9999899594,1149.9994683715,1150.0000002185,1150.0000019675,1149.9999994852,1150.0000001686,1150.0000032365,1149.9999878534,0
-220000,1150.0000000955,1150.0000026727,1149.9999899594,1149.9994683715,1150.0000002185,1150.0000019675,1149.9999994852,1150.0000001686,1150.0000032365,1149.9999878534,0
-210000,1150.0000000955,1150.0000026727,1149.9999899594,1149.9994683715,1150.0000002185,1150.0000019675,1149.9999994852,1150.0000001686,1150.0000032365,1149.9999878534,0
-200000,1150.0000000955,1150.0000026727,1149.9999899594,1149.9994683715,1150.0000002185,1150.0000019675,1149.9999994852,1150.0000001686,1150.0000032365,1149.9999878534,0
-190000,1150.0000000955,1150.0000026727,1149.9999899594,1149.9994683715,1150.0000002185,1150.0000019675,1149.9999994852,1150.0000001686,1150.0000032365,1149.9999878534,0
-180000,1150.0000000955,1150.0000026727,1149.9999899594,1149.9994683715,1150.0000002185,1150.0000019675,1149.9999994852,1150.0000001686,1150.0000032365,1149.9999878534,0
-170000,1150.0000000955,1150.0000026727,1149.9999899594,1149.9994683715,1150.0000002185,1150.0000019675,1149.9999994852,1150.0000001686,1150.0000032365,1149.9999878534,0
-160000,1150.0000000955,1150.0000026727,1149.9999899594,1149.9994683715,1150.0000002185,1150.0000019675,1149.9999994852,1150.0000001686,1150.0000032365,1149.9999878534,0
-150000,1150.0000000955,1150.0000026727,1149.9999899594,1149.9994683715,1150.0000002185,1150.0000019675,1149.9999994852,1150.0000001686,1150.0000032365,1149.9999878534,0
-140000,1150.0000000955,1150.0000026727,1149.9999899594,1149.9994683715,1150.0000002185,1150.0000019675,1149.9999994852,1150.0000001686,1150.0000032365,1149.9999878534,0
-130000,1150.0000000955,1150.0000026727,1149.9999899594,1149.9994683715,1150.0000002185,1150.0000019675,1149.9999994852,1150.0000001686,1150.0000032365,1149.9999878534,0
-120000,1150.0000000955,1150.0000026727,1149.9999899594,1149.9994683715,1150.0000002185,1150.0000019675,1149.9999994852,1150.0000001686,1150.0000032365,1149.9999878534,0
-110000,1150.0000000955,1150.0000026727,1149.9999899594,1149.9994683715,1150.0000002185,1150.0000019675,1149.9999994852,1150.0000001686,1150.0000032365,1149.9999878534,0
-100000,1150.0000000955,1150.0000026727,1149.9999899594,1149.9994683715,1150.0000002185,1150.0000019675,1149.9999994852,1150.0000001686,1150.0000032365,1149.9999878534,0
-90000,1150.0000000955,1150.0000026727,1149.9999899594,1149.9994683715,1150.0000002185,1150.0000019675,1149.9999994852,1150.0000001686,1150.0000032365,1149.9999878534,0
-80000,1150.0000000955,1150.0000026727,1149.9999899594,1149.9994683715,1150.0000002185,1150.0000019675,1149.9999994852,1150.0000001686,1150.0000032365,1149.9999878534,0
-70000,1150.0000000955,1150.0000026727,1149.9999899594,1149.9994683715,1150.0000002185,1150.0000019675,1149.9999994852,1150.0000001686,1150.0000032365,1149.9999878534,0
-60000,1150.0000000955,1150.0000026727,1149.9999899594,1149.9994683715,1150.0000002185,1150.0000019675,1149.9999994852,1150.0000001686,1150.0000032365,1149.9999878534,0
-50000,1150.0000000955,1150.0000026727,1149.9999899594,1149.9994683715,1150.0000002185,1150.0000019675,1149.9999994852,1150.0000001686,1150.0000032365,1149.9999878534,0
-40000,1150.0000000955,1150.0000026727,1149.9999899594,1149.9994683715,1150.0000002185,1150.0000019675,1149.9999994852,1150.0000001686,1150.0000032365,1149.9999878534,0
-30000,1150.0000000955,1150.0000026727,1149.9999899594,1149.9994683715,1150.0000002185,1150.0000019675,1149.9999994852,1150.0000001686,1150.0000032365,1149.9999878534,0
-20000,1150.0000000955,1150.0000026727,1149.9999899594,1149.9994683715,1150.0000002185,1150.0000019675,1149.9999994852,1150.0000001686,1150.0000032365,1149.9999878534,0
-10000,1150.0000000955,1150.0000026727,1149.9999899594,1149.9994683715,1150.0000002185,1150.0000019675,1149.9999994852,1150.0000001686,1150.0000032365,1149.9999878534,0
0,1150.0000000955,1150.0000026727,1149.9999899594,1149.9994683715,1150.0000002185,1150.0000019675,1149.9999994852,1150.0000001686,1150.0000032365,1149.9999878534,0
