time,fuel_temp_avg,fuel_temp_max,fuel_temp_min,heatpipe_surface_temp_avg,mod_temp_avg,mod_temp_max,mod_temp_min,monolith_temp_avg,monolith_temp_max,monolith_temp_min,power_density
-250000,0,0,0,0,0,0,0,0,0,0,0
-240000,1259.5752558052,1338.5084133082,1193.4395123594,1210.8234619419,1235.2582573862,1260.0095129519,1190.6586036201,1241.0788809923,1338.3535296846,1182.6669736669,225058.45570093
-230000,1149.7789004184,1361.9077298604,736.08321839025,1092.2213637965,1170.3940658386,1295.9670253995,1016.6607635234,1140.0220255026,1361.2887319568,698.8205194138,225058.45570093
-220000,1087.0190615005,1317.5327182709,698.37463583813,1034.6107428202,1103.3760120085,1268.3092091298,946.97900658189,1076.8060637744,1316.4674209706,664.45899560069,225058.45570093
-210000,1046.42847539,1270.5308085193,669.63325300678,997.4765276033,1060.2170947203,1222.934309374,931.91833038054,1035.9328957503,1262.742414069,638.14359133579,225058.45570093
-200000,1025.5281315719,1235.5578653205,651.24805671181,977.03483840779,1038.0424949467,1187.5871284987,909.43779214701,1014.9047252799,1227.8124742216,621.27896817376,225058.45570093
-190000,1016.2777368096,1216.3100769547,641.11048827729,967.24129523627,1028.2304087931,1168.6789724489,889.85791979102,1005.6047569681,1212.5871900117,611.97121599661,225058.45570093
-180000,1012.6050907555,1208.4376260922,636.47160741122,963.04586269931,1024.3345940124,1160.4359252962,881.03085887039,1001.9148321364,1206.8891238383,607.71206844032,225058.45570093
-170000,1011.2590784858,1206.2902382314,634.58846273301,961.399272761,1022.9064684848,1157.2580443568,877.47506261263,1000.5631215144,1204.9254485329,605.983353016,225058.45570093
-160000,1010.7932455745,1205.5781477693,633.90851963145,960.79598397435,1022.4168271471,1156.2726167744,876.25584175634,1000.0959698762,1204.2889004777,605.3600199205,225058.45570093
-150000,1010.6395369104,1205.3530133216,633.66463603733,960.58634029383,1022.2539418686,1156.0613197976,875.80190462587,999.94175427964,1204.0908638663,605.13634221782,225058.45570093
-140000,1010.5906005154,1205.2841840463,633.58303748783,960.51655332796,1022.2020970445,1155.9970162684,875.65084960456,999.89267244856,1204.0312409319,605.0615291456,225058.45570093
-130000,1010.5754439547,1205.2636465004,633.55684165177,960.49411896364,1022.1860434149,1155.9778967095,875.60260574592,999.87747522941,1204.0136572084,605.03751990913,225058.45570093
-120000,1010.5708505389,1205.2576289236,633.54867708276,960.48710584189,1022.1811790048,1155.9723099572,875.58763237898,999.87287062935,1204.008552135,605.03003904759,225058.45570093
-110000,1010.5694825086,1205.2558901836,633.54618974288,960.48496227607,1022.1797304719,1155.970699176,875.58308644431,999.87149955653,1204.0070877873,605.02776055926,225058.45570093
-100000,1010.5690808217,1205.2553932472,633.54544560911,960.48431898445,1022.1793051963,1155.9702395963,875.58173033038,999.87109704819,1204.0066717188,605.02707904651,225058.45570093
-90000,1010.5689642484,1205.2552524547,633.54522624756,960.48412881733,1022.179181789,1155.9701095647,875.58133151705,999.87098025424,1204.0065543938,605.02687817899,225058.45570093
-80000,1010.5689307457,1205.2552128465,633.54516236343,960.48407329996,1022.1791463249,1155.9700730235,875.58121560302,999.87094669244,1204.0065215133,605.02681968911,225058.45570093
-70000,1010.5689211956,1205.2552017686,633.54514394598,960.4840572611,1022.1791362163,1155.9700628125,875.58118224119,999.87093712654,1204.0065123454,605.02680282872,225058.45570093
-60000,1010.5689184921,1205.2551986853,633.54513868127,960.48405266827,1022.1791333549,1155.9700599724,875.58117271823,999.87093441883,1204.0065098002,605.02679800966,225058.45570093
-50000,1010.5689177312,1205.2551978307,633.54513718702,960.48405136282,1022.1791325496,1155.9700591857,875.58117001845,999.87093365677,1204.0065090959,605.02679664199,225058.45570093
-40000,1010.5689175182,1205.2551975946,633.54513676554,960.4840509942,1022.1791323241,1155.9700589681,875.58116925763,999.87093344347,1204.0065089019,605.02679625623,225058.45570093
-30000,1010.5689175182,1205.2551975946,633.54513676554,960.4840509942,1022.1791323241,1155.9700589681,875.58116925763,999.87093344347,1204.0065089019,605.02679625623,225058.45570093
-20000,1010.5689175182,1205.2551975946,633.54513676554,960.4840509942,1022.1791323241,1155.9700589681,875.58116925763,999.87093344347,1204.0065089019,605.02679625623,225058.45570093
-10000,1010.5689175182,1205.2551975946,633.54513676554,960.4840509942,1022.1791323241,1155.9700589681,875.58116925763,999.87093344347,1204.0065089019,605.02679625623,225058.45570093
0,1010.5689175182,1205.2551975946,633.54513676554,960.4840509942,1022.1791323241,1155.9700589681,875.58116925763,999.87093344347,1204.0065089019,605.02679625623,225058.45570093
