time,center_duct_heat_loss_00,center_duct_heat_loss_01,center_duct_heat_loss_02,center_duct_heat_loss_03,center_duct_heat_loss_04,center_duct_heat_loss_05,center_duct_heat_loss_06,center_duct_heat_loss_07,center_duct_heat_loss_08,center_duct_heat_loss_09,center_duct_heat_loss_10,center_duct_heat_loss_11,center_duct_heat_loss_12,center_duct_heat_loss_13,center_duct_heat_loss_14,center_duct_heat_loss_15,center_duct_heat_loss_16,center_duct_heat_loss_17,center_duct_heat_loss_18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-48339.807238857,7930.9340202537,7983.3761362039,7931.1937810428,7950.8435926525,7950.3819252986,7970.4557130088,15.206224994921,73.611663700935,17.792919554137,79.819638537266,4.2085159547434,137.50183841077,0.85067253002994,89.119535420564,10.676892679998,114.13675677796,-2.2433476296251,112.43611988897
