time,DP_SubchannelDelta,Mean_Temp,Total_Net_Power_Through_Duct,Total_coolant_power,temp-1,temp-2,temp-3,temp-4,temp-5,temp-6,temp-7,temp-8
0,0,0,-48346.795058493,0,0,0,0,0,0,0,0,0
1,442498.62992279,708.06295500954,-48346.795058493,1952760.5535506,700.02410211068,709.66100081823,716.36628830302,720.17129192491,720.17128011231,717.54958136874,707.80668966661,700.00419334118
