time,T_out,T_out_weighted,mdot_in,mdot_out,upcomer_outlet
0,0,0,0,0,348
0.1,373.1580443111,0.79507664871945,1.0659316287161e-05,8.7773953737099e-05,348
0.3,382.79727530356,0.81561466897804,1.0482282350057e-05,-2.0597561800376e-05,348
0.7,392.12202538952,0.83548263420488,1.0730644004947e-05,1.4115481221453e-05,348
1.5,399.58450651035,0.85138271882355,1.0667793815791e-05,1.1816819194662e-05,348
3.1,403.18908708082,0.85906289049263,1.0647220267713e-05,1.036612647884e-05,348
6.3,402.60662846161,0.85782186338886,1.0654332197755e-05,1.0084066014657e-05,348
12.7,400.666470847,0.85368802777222,1.0654718905972e-05,1.0442603517381e-05,348
25.5,399.89965596647,0.85205419831391,1.0654481227224e-05,1.0666670690116e-05,348
51.1,399.92989815832,0.8521186344447,1.0654482390929e-05,1.0672320598705e-05,348
102.3,399.97936662729,0.85222403542726,1.0654474580926e-05,1.0658274787933e-05,348
204.7,399.99600190018,0.85225947970408,1.0654492212309e-05,1.0657009096342e-05,348
409.5,399.99515033766,0.85225766530538,1.0654491911108e-05,1.0657215552795e-05,348
819.1,399.99513036426,0.85225762274865,1.0654491222591e-05,1.0657226060665e-05,348
1319.1,399.99519474635,0.85225775992564,1.0654490257607e-05,1.0657223365916e-05,348
1819.1,399.9951948507,0.85225776014797,1.0654489245523e-05,1.0657222457227e-05,348
2319.1,399.99519485016,0.85225776014682,1.0654488183945e-05,1.0657221548757e-05,348
2819.1,399.99519487557,0.85225776020097,1.0654487191595e-05,1.065722070996e-05,348
3319.1,399.99519491286,0.85225776028041,1.0654486218413e-05,1.0657219883101e-05,348
3819.1,399.9951949601,0.85225776038108,1.0654485242819e-05,1.0657219072585e-05,348
4319.1,399.99519501262,0.85225776049296,1.0654484186663e-05,1.0657218227143e-05,348
4819.1,399.9951950639,0.85225776060223,1.065448314567e-05,1.0657217400845e-05,348
5319.1,399.99519510449,0.85225776068872,1.0654482060701e-05,1.0657216547732e-05,348
5819.1,399.99543378492,0.85225826923795,1.0654480174751e-05,1.0657017956639e-05,348
6319.1,399.99496871222,0.8522572783215,1.0654471254986e-05,1.0656402742749e-05,348
6819.1,399.99475539306,0.85225682380877,1.0654472516938e-05,1.0656637715366e-05,348
7319.1,399.99477026604,0.85225685549817,1.0654472603234e-05,1.0656638247996e-05,348
7819.1,399.99476696125,0.85225684845675,1.0654472660928e-05,1.0656638217419e-05,348
8319.1,399.9947680672,0.85225685081318,1.0654472688827e-05,1.0656638191985e-05,348
8819.1,399.99476800434,0.85225685067924,1.0654472770116e-05,1.0656638245547e-05,348
9319.1,399.99476823561,0.852256851172,1.065447287605e-05,1.0656638278621e-05,348
9819.1,399.99476839246,0.85225685150621,1.0654472968027e-05,1.0656638331682e-05,348
10319.1,399.99476856814,0.85225685188051,1.0654473019035e-05,1.0656638355813e-05,348
10819.1,399.99476873885,0.85225685224425,1.0654473058056e-05,1.0656638359276e-05,348
11319.1,399.99476891051,0.85225685260998,1.0654473196035e-05,1.0656638462295e-05,348
11819.1,399.99741087955,0.85226248177415,1.0654477023054e-05,1.0656060776987e-05,348
12319.1,399.99762668913,0.85226294159316,1.0654478107736e-05,1.0656097343436e-05,348
12819.1,399.99755158634,0.8522627815739,1.065447925572e-05,1.0656144134631e-05,348
13319.1,399.99754953693,0.85226277720728,1.0654480046408e-05,1.0656144350505e-05,348
13819.1,399.99754820268,0.85226277436443,1.0654480947685e-05,1.0656144685698e-05,348
14319.1,399.99754690603,0.8522627716017,1.0654481786374e-05,1.06561451535e-05,348
14819.1,399.99754576727,0.85226276917537,1.0654482650773e-05,1.0656145735545e-05,348
15319.1,399.99754479266,0.8522627670988,1.0654483437587e-05,1.0656146405717e-05,348
15819.1,399.99754398889,0.85226276538623,1.0654484307305e-05,1.0656147298564e-05,348
16319.1,399.99754337504,0.85226276407832,1.0654485174296e-05,1.0656148321984e-05,348
16819.1,399.99754295417,0.85226276318158,1.0654486035762e-05,1.06561494362e-05,348
17319.1,399.99524132751,0.85225785917471,1.0654490510638e-05,1.0657118971362e-05,348
17819.1,399.99460021846,0.85225649318291,1.0654494893616e-05,1.0658384269099e-05,348
18319.1,399.99543649313,0.85225827500824,1.0654490001248e-05,1.0657847953167e-05,348
18819.1,399.99544344699,0.85225828982463,1.0654487791692e-05,1.0657844398335e-05,348
19319.1,399.99544588057,0.85225829500979,1.0654485522512e-05,1.0657842984464e-05,348
