time,T_out,T_out_weighted,mdot_in,mdot_out,upcomer_outlet
0,0,0,0,0,348
0.1,371.73402176342,1.116903719156,1.5026739608649e-05,0.00011817733980515,348
0.3,379.95704111717,1.1416104190037,1.4782543189863e-05,-2.9921447250852e-05,348
0.7,388.35097972341,1.1668306590108,1.5134790451725e-05,1.9702850290516e-05,348
1.5,396.01090253159,1.1898454915847,1.5042536555772e-05,1.7112920404965e-05,348
3.1,401.16114150264,1.2053197842901,1.5013123930391e-05,1.5128231959493e-05,348
6.3,402.46263927023,1.2092302353437,1.5023820600102e-05,1.4395811383084e-05,348
12.7,401.18358380824,1.205387213939,1.5024328024867e-05,1.4660159232158e-05,348
25.5,400.08195697287,1.2020772906135,1.5023969952677e-05,1.4998718291484e-05,348
51.1,399.89498894561,1.2015155306647,1.5023985926369e-05,1.5049867497052e-05,348
102.3,399.95672368003,1.2017010174656,1.5023987851647e-05,1.5029931670464e-05,348
204.7,399.97388025134,1.2017525657156,1.5023987620371e-05,1.502650899006e-05,348
409.5,399.97318804609,1.2017504859313,1.5023987385853e-05,1.5026804597448e-05,348
819.1,399.97300302805,1.2017499300302,1.5023986635967e-05,1.502684046825e-05,348
1319.1,399.97306776345,1.2017501245327,1.5023985744312e-05,1.5026836821853e-05,348
1819.1,399.97306857635,1.2017501269751,1.5023984740197e-05,1.5026835889864e-05,348
2319.1,399.97306876637,1.2017501275461,1.5023983657365e-05,1.5026835006887e-05,348
2819.1,399.97306890287,1.2017501279562,1.5023982682769e-05,1.5026834160175e-05,348
3319.1,399.97306895214,1.2017501281042,1.5023981683272e-05,1.502683334098e-05,348
3819.1,399.97306891127,1.2017501279814,1.5023980625532e-05,1.5026832489067e-05,348
4319.1,399.97306877647,1.2017501275764,1.5023979587337e-05,1.502683162232e-05,348
4819.1,399.97306853343,1.2017501268462,1.5023978643117e-05,1.5026830884702e-05,348
5319.1,399.9730681692,1.2017501257518,1.502397757842e-05,1.5026830065782e-05,348
5819.1,399.97337742151,1.2017510549244,1.5023975521114e-05,1.502654959965e-05,348
6319.1,399.97317060977,1.2017504335425,1.5023963501804e-05,1.5025678723583e-05,348
6819.1,399.97281951104,1.2017493786391,1.5023965248112e-05,1.5026012267909e-05,348
7319.1,399.97285957223,1.201749499006,1.502396523639e-05,1.5026012413747e-05,348
7819.1,399.97284997813,1.2017494701798,1.5023965280627e-05,1.5026012491693e-05,348
8319.1,399.97285276803,1.2017494785623,1.5023965317696e-05,1.5026012432882e-05,348
8819.1,399.97285231747,1.2017494772086,1.5023965294253e-05,1.5026012413635e-05,348
9319.1,399.97285269018,1.2017494783284,1.5023965415996e-05,1.502601245188e-05,348
9819.1,399.97285285299,1.2017494788176,1.5023965403252e-05,1.5026012452917e-05,348
10319.1,399.97285306853,1.2017494794652,1.5023965436966e-05,1.5026012413157e-05,348
10819.1,399.97285327,1.2017494800705,1.5023965477144e-05,1.5026012432398e-05,348
11319.1,399.97285347447,1.2017494806848,1.5023965561134e-05,1.5026012432158e-05,348
11819.1,399.97569221213,1.2017580098925,1.5023970240659e-05,1.502519508442e-05,348
12319.1,399.97589673844,1.2017586244076,1.5023971358295e-05,1.5025246195791e-05,348
12819.1,399.97580439177,1.2017583469449,1.5023972499291e-05,1.5025312085666e-05,348
13319.1,399.97580222432,1.2017583404326,1.5023973436091e-05,1.5025312251475e-05,348
13819.1,399.97580097141,1.2017583366682,1.5023974258788e-05,1.502531233566e-05,348
14319.1,399.97579964043,1.2017583326691,1.5023975051455e-05,1.5025312646069e-05,348
14819.1,399.9757983795,1.2017583288806,1.5023975953669e-05,1.502531323398e-05,348
15319.1,399.97579722524,1.2017583254125,1.5023976808218e-05,1.5025313942064e-05,348
15819.1,399.97579619319,1.2017583223116,1.5023977623632e-05,1.5025314856212e-05,348
16319.1,399.97579527078,1.2017583195402,1.5023978485698e-05,1.5025315953107e-05,348
16819.1,399.97579448329,1.2017583171741,1.5023979392397e-05,1.502531723334e-05,348
17319.1,399.97315517456,1.2017503871662,1.5023985801132e-05,1.5026688407667e-05,348
17819.1,399.97205468616,1.2017470806634,1.5023992825562e-05,1.5028479400683e-05,348
18319.1,399.97308172086,1.2017501664688,1.5023986749725e-05,1.5027722033612e-05,348
18819.1,399.97309173397,1.201750196554,1.5023984529283e-05,1.5027717260583e-05,348
19319.1,399.97309308838,1.2017502006234,1.5023982399862e-05,1.5027716185831e-05,348
