time,TF-1306,TF-1308,TF-1318,TF-1320,TF-1322,TF-1332,TF-1334,TF-1336,TF-1504,TF-1506,TF-1508,TF-1518,TF-1520,TF-1522,TF-1532,TF-1534,TF-1536,TF-1704,TF-1708,TF-1718,TF-1732,TF-1734,TF-1736,TS-1301,TS-1302,TS-1303,TS-1305,TS-1307,TS-1309,TS-1310,TS-1311,TS-1312,TS-1313,TS-1314,TS-1315,TS-1317,TS-1319,TS-1321,TS-1323,TS-1324,TS-1326,TS-1327,TS-1328,TS-1329,TS-1333,TS-1337,TS-1338,TS-1341,TS-1342,TS-1343,TS-1501,TS-1502,TS-1503,TS-1505,TS-1507,TS-1509,TS-1510,TS-1512,TS-1513,TS-1514,TS-1515,TS-1517,TS-1521,TS-1523,TS-1524,TS-1526,TS-1527,TS-1528,TS-1529,TS-1535,TS-1537,TS-1538,TS-1541,TS-1542,TS-1543,TS-1701,TS-1702,TS-1703,TS-1705,TS-1707,TS-1709,TS-1710,TS-1711,TS-1712,TS-1713,TS-1714,TS-1715,TS-1716,TS-1717,TS-1719,TS-1723,TS-1724,TS-1725,TS-1727,TS-1728,TS-1729,TS-1731,TS-1733,TS-1735,TS-1737,TS-1738,TS-1739,TS-1740,TS-1741,TS-1742,TS-1743,TS-7301,TS-7302,TS-7303,T_out_bulk,mdot_in_total,mdot_out_total,picard_its,upcomer_outlet_main
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,373.15
0.1,369.964882345,369.96489749493,369.96487458897,369.9648616013,369.96490774862,369.96493833109,369.96484666348,369.964894245,369.20815377408,369.18114889309,369.18115999485,369.18114399877,369.1811348262,369.18116716943,369.20820559885,369.18112382556,369.18115769622,368.36919817588,368.36918552694,368.36917545254,368.36920606651,368.36916190887,368.36918407626,399.99999999709,400.00000125254,400.00015749196,400.00166544125,400.00149212007,399.99999399913,400.00001084938,400.00037200456,400.00134701268,399.99998589765,399.99999096913,399.9999909528,400.00161184951,400.00168010361,400.00166850174,400.00000083177,400.00001073975,399.99963640635,399.99999011659,399.99998637894,399.99998719507,400.00218066401,400.00000048097,400.00000274844,399.9999856268,399.99998502592,399.9999883704,399.99999999787,400.00000106065,400.00013300569,400.00141803737,400.00127046351,399.99999490037,400.00001084997,400.00115068831,399.99998799265,399.99999231238,399.99999229846,400.0013724142,400.00142064023,400.00000072226,400.00001074033,399.99968740787,399.99999158515,399.99998840277,399.99998909768,399.99935373917,400.00000042214,400.00000274919,399.99998776235,399.99998725073,399.99999009835,399.99999999846,400.00000084826,400.00010784992,400.00112232128,400.0010060491,399.99999596743,400.00001084061,400.00025240519,400.00091177855,399.99999050142,399.99999388852,399.99999387749,400.00000123079,400.00108661655,400.0011326929,400.00000057855,400.00001073107,399.99978735017,399.99999333688,399.99999081694,399.99999136721,400.00033779154,400.00124047422,399.99948856797,400.00000033691,400.00000274702,400.00023087173,399.99992107492,399.99999030984,399.99998990459,399.99999215995,300.01085170931,300.01085226329,300.01083006295,372.39122244333,0.0053134098892402,0.074655484480102,4,373.15
0.3,375.95092642377,375.9509641125,375.95090772637,375.95087341166,375.95098943811,375.95106722906,375.950835876,375.95095549167,373.9170089588,373.84166307517,373.84168708332,373.84165071396,373.84162871232,373.84170345806,373.91712980675,373.84160483848,373.8416815664,371.37674856953,371.37672474473,371.3767055027,371.37676371217,371.37667951139,371.37672194377,399.99999999479,400.00000196327,399.99994580777,400.00282726197,400.00259600188,399.99998997613,400.00003289304,400.00052650808,400.00230777323,399.99997682661,399.99998531258,399.99998528902,400.0027821748,400.00288398051,400.00283214529,400.00000125779,400.00003215577,399.99943392664,399.99998399398,399.99997783197,399.9999793068,400.00366862662,400.00000076783,400.00000911423,399.99997661228,399.99997558615,399.99998112357,399.99999999632,400.00000162783,399.99995080246,400.00236487919,400.00217221856,399.9999916416,400.00003289397,400.00194204282,399.99998062612,399.99998772803,399.99998770835,400.00232775848,400.00236893193,400.00000108529,400.00003215671,399.99951956064,399.9999866222,399.99998147037,399.99998270515,399.9990975595,400.00000067427,400.00000911561,399.99998045086,399.99997959247,399.99998422239,399.99999999764,400.00000123368,399.99995713196,400.00176327064,400.00162277657,399.99999381986,400.000032867,400.0003344252,400.00147429954,399.99998558738,399.99999082386,399.99999080927,400.00000181613,400.00173788076,400.00180088369,400.00000087533,400.00003213037,399.99967929722,399.99999004486,399.99998620734,399.99998713157,400.00063165635,400.00193273512,399.99933397606,400.0000005593,400.00000910864,400.00044309347,399.99987153271,399.99998544857,399.99998480782,399.99998825823,300.03013285031,300.03013421786,300.03007641192,381.51630921,0.0049351077994562,-0.0091368534163213,3,373.15
0.7,383.62216838092,383.62223920283,383.62212569958,383.62203256035,383.62229074625,383.62248585901,383.62195897109,383.62221655212,380.81897053591,380.71355562833,380.71360808408,380.71352876582,380.71346107773,380.71364433167,380.8192759391,380.7134061837,380.71359172587,377.44892967363,377.44885372907,377.44880265161,377.44898747609,377.44871607071,377.44884288188,399.99999999355,400.00000171179,399.99886669602,400.00314437499,400.00306772245,399.99998950015,400.000058688,400.00032139609,400.00263625671,399.99997675825,399.99998566533,399.99998565036,400.00322605817,400.00329735507,400.00314910901,400.00000098039,400.00005529825,399.99951225295,399.99998460985,399.99997837045,399.99998021742,400.00398742257,400.00000066587,400.00001978294,399.99997719256,399.99997605503,399.99998173119,399.99999999542,400.0000014858,399.99905008675,400.00273496266,400.00266356575,399.99999087522,400.00005868906,400.0023078172,399.99997972028,399.9999874833,399.99998746996,400.00280262167,400.00273915741,400.00000090172,400.00005529939,399.99956378304,399.99998655197,399.99998110928,399.99998271001,399.99944855855,400.000000622,400.00001978478,399.9999800801,399.99997909065,399.99998404004,399.99999999726,400.00000120418,399.99927078058,400.00216576792,400.0021066468,399.99999279515,400.00005864266,400.00024191745,400.00185662074,399.99998389245,399.99998999788,399.99998998704,400.00000186193,400.00221729514,400.00226830343,400.00000078208,400.00005525583,399.99966187841,399.99998929132,399.99998496541,399.9999862287,400.00106906195,400.00232820227,399.99954991646,400.00000055019,400.00001977013,400.00075993476,399.99984888729,399.99998414589,399.99998336216,399.99998729487,300.06031120857,300.0603137958,300.0602019588,390.79526488585,0.004981431294339,0.0072678735963978,3,373.12357648085
1.5,392.07411993432,392.0742054097,392.07405159233,392.07384800579,392.07427370486,392.07467590217,392.07374944333,392.07416311698,389.32498455567,389.21984926688,389.21992311594,389.21980622442,389.21964221036,389.21997543699,389.32556808154,389.21955677426,389.21988935688,386.71272620136,386.71255431379,386.71246352991,386.71289115831,386.71225640218,386.71252773337,399.99999999528,399.99999992945,399.99616261293,400.00168431701,400.0020693923,399.99999643383,400.00004297155,399.99971993471,400.00164975581,399.99999404425,399.99999718942,399.99999720295,400.00204310926,400.001977262,400.00168407681,399.99999980817,400.00003546251,400.00000748995,399.99999758051,399.99999584601,399.99999709767,400.00191580716,399.9999999008,400.00002380552,399.99999564224,399.99999511726,399.99999685148,399.99999999688,400.00000004654,399.99668350468,400.00164447523,400.00196644781,399.99999625336,400.00004297312,400.00158828243,399.99999337046,399.9999966376,399.99999664801,400.00195498918,400.00164477947,399.99999989711,400.00003546425,399.99997448577,399.99999690061,399.99999500519,399.99999619026,400.00077259701,399.99999995617,400.00002380763,399.99999475201,399.9999942299,399.99999608664,399.99999999898,400.00000015846,399.99733425145,400.00150746778,400.0017505138,399.99999628436,400.00004294192,399.99985757233,400.00142952717,399.99999311615,399.99999629981,399.99999630664,400.00000048111,400.00175329158,400.00171936115,399.9999999634,400.00003543922,399.99990765483,399.99999642785,399.99999448959,399.99999553952,400.00155928818,400.00150290903,400.00054421975,399.9999999903,400.00002379159,400.0011103029,399.9999265355,399.99999420364,399.99999371603,399.99999558037,300.10258278387,300.10258704296,300.10240223167,398.4973216898,0.0049975544177525,0.0058416798258127,3,373.03789488096
3.1,398.97933689608,398.979357666,398.97925685717,398.97897162799,398.97938723248,398.97996352911,398.97892741977,398.97933354173,397.31183591442,397.25183361076,397.2518623748,397.25177769923,397.25152764024,397.25188751032,397.31251040629,397.25147740147,397.25184106309,396.54449521733,396.54447055313,396.54439282875,396.54499022184,396.54410972686,396.54445062475,400.00000000176,399.99999782496,399.99185123511,399.99805298705,399.99896137341,400.00000969803,399.9998472092,399.99941625616,399.99913787437,400.00002336354,400.00001528603,400.00001531602,399.99866625547,399.99840970735,399.99804124592,399.99999863755,399.99985719795,400.00062661861,400.00001727282,400.0000233656,400.00002223606,399.99715554454,399.99999877848,399.99994771198,400.00002463201,400.00002555994,400.00002015834,400.0000000027,399.99999814498,399.99264812236,399.99844979533,399.99926805536,400.00000806138,399.99984721498,399.99937854194,400.00001966966,400.00001293713,400.00001296371,399.99901085119,399.99843971672,399.99999877239,399.99985720352,400.00054964265,400.00001468046,400.00001979606,400.0000189066,400.00202867925,399.9999988863,399.99994771568,400.00002086945,400.00002163231,400.00001710951,400.00000000549,399.99999852479,399.99376725897,399.99889737544,399.99957821246,400.00000607789,399.99984734675,399.99956846981,399.99960972347,400.00001509522,400.00001005497,400.00001007673,399.99999798947,399.99937200299,399.99918535226,399.99999895701,399.99985732702,400.00039800027,400.00001141744,400.00001533323,400.00001471179,400.00150797095,399.99856526907,400.00167334954,399.99999904429,399.99994776497,400.00108907736,400.00014352399,400.00001616506,400.00001673261,400.00001328219,300.16393649346,300.1639431369,300.16365908942,402.5151263825,0.0050021909834894,0.0049134541227199,3,372.84162021293
6.3,401.90075434079,401.90066627926,401.90066952394,401.90054138875,401.90062989278,401.90097902815,401.9006139377,401.90075309807,401.74589401362,401.74726073736,401.74719496294,401.74719076946,401.74706599394,401.7471649709,401.74609479903,401.74711659244,401.74727119248,401.71518351622,401.71525049657,401.71523690645,401.71556892752,401.71513017662,401.715314434,400.00000000608,399.99999942056,399.98831334696,399.99392544716,399.99480864314,400.00001130436,399.9992739745,400.00014898299,399.99640198673,400.00002233134,400.00001246039,400.00001244841,399.9944509543,399.99415466799,399.99390181843,399.99999903026,399.99939213147,400.00054008862,400.0000126391,400.00001873254,400.00001577013,399.99238759778,399.99999902314,399.99954622918,400.00001968506,400.00002116754,400.00001526611,400.00000000722,399.99999940636,399.98902552653,399.99439954174,399.99525172262,400.00001069703,399.99927400008,399.99669380967,400.00002129937,400.00001199496,400.00001198554,399.99491192561,399.99437729599,399.99999906421,399.99939215331,400.00051952698,400.00001224927,400.00001804692,400.00001531501,399.99976428092,399.99999905816,399.9995462458,400.00001896802,400.00002035269,400.00001476031,400.00000001345,399.99999942333,399.99032999073,399.99522007096,399.99597623696,400.00000941586,399.99927461457,400.00006789775,399.99718172304,400.00001884732,400.00001075513,400.0000107485,399.9999984238,399.99567895844,399.99542913448,399.99999919726,399.99939266971,400.00036732515,400.00001102138,400.00001614142,400.00001380673,399.99982260944,399.99476045451,399.99990483266,399.99999919614,399.99954663371,400.00007294169,400.00024373482,400.0000169682,400.00001816681,400.00001324884,300.27367754757,300.2736883338,300.27324428894,402.39450395033,0.005000227990204,0.0046945659696437,3,372.43192514317
12.7,401.28803674844,401.28794595459,401.28796057965,401.2881124599,401.28795633842,401.28772528247,401.2881740374,401.28808928062,401.44590294474,401.44727465153,401.44719728977,401.44720246322,401.44733468974,401.44720714496,401.44558135998,401.44738465916,401.44733077548,400.63575581028,400.63601843742,400.63601030457,400.63579129381,400.63610135825,400.63614405481,399.99999999398,400.00000266874,399.98853149592,399.99185277182,399.99216277603,399.99999103577,399.99870089283,400.00028574854,399.99520920071,399.99997671049,399.99998531758,399.99998530007,399.99203842016,399.99189408828,399.99183004776,400.00000123412,399.99895262121,399.99938289693,399.99998286974,399.9999767749,399.99997855331,399.99091709212,400.00000151863,399.99860193979,399.99997578124,399.99997450126,399.99998007309,399.99999999634,400.00000242967,399.98893511787,399.9921451806,399.99247288002,399.99999216325,399.99870098189,399.99539227564,399.99997932087,399.99998690626,399.99998688969,399.99234117963,399.99212267791,400.00000113169,399.99895269425,399.99944208806,399.99998464232,399.9999792399,399.99998077554,399.99338815754,400.00000140671,399.99860202558,399.99997835974,399.99997723006,399.9999821576,400.00000001159,400.00000207165,399.9897684853,399.99297559823,399.99330411007,399.99999367434,399.99870214203,400.00023400182,399.99594466127,399.99998306245,399.99998917749,399.999989163,400.00000198028,399.99317440202,399.99303293345,400.00000097603,399.99895363433,399.99901267237,399.99998728243,399.99998285741,399.99998407799,399.99673046062,399.99282387542,399.99428968956,400.00000121844,399.9986032553,399.9983352411,399.99975782348,399.99998213709,399.99998121696,399.99998524253,300.49390791014,300.4939277189,300.49323599686,400.70516060781,0.005000198935857,0.0048725754742451,4,371.61023872185
25.5,400.09324385108,400.0932866748,400.09343583967,400.09332932525,400.09336077204,400.0931525082,400.09328693569,400.09330338136,399.86378331458,399.84870017298,399.84873922297,399.84888437622,399.84876800296,399.8488108769,399.86376000264,399.84872628239,399.84876684459,398.77577579209,398.7760167617,398.77614044386,398.77568581926,398.7758936053,398.77607356759,399.99999999646,399.99999754538,399.99113556126,399.99183950186,399.99178592552,399.99999684314,400.00024036906,399.99804323804,399.99536106495,399.99999578519,399.99999985195,399.99999991217,399.99183145152,399.99178484345,399.99182148621,400.00000069406,400.00017740729,399.99786454706,400.00000583204,400.00000544184,400.00000715671,399.99176580465,400.00000028273,399.99848867373,400.00000590919,400.00000668403,400.00000699923,399.99999999813,399.99999774787,399.9911528545,399.99191946936,399.99188893145,399.9999967434,400.00024170433,399.99548517908,399.99999534409,399.99999944536,399.99999950208,399.99192482802,399.99190130574,400.0000006789,400.00017851333,399.99797154768,400.00000506244,400.00000452272,400.00000619931,399.98944356183,400.00000029179,399.99849061884,400.00000494039,400.00000564353,400.00000609569,400.00000002663,399.99999813802,399.99055237374,399.99201474527,399.99206803204,399.99999694163,400.00024322068,399.99837814507,399.99582977086,399.99999529938,399.99999916367,399.99999921408,399.99999930489,399.99207057125,399.99200293601,400.00000062931,400.00017979068,399.99709122434,400.00000412267,400.00000349987,400.00000503359,399.99410628083,399.99208225224,399.99008694431,400.00000028543,399.99849427492,399.99687586498,399.99872804681,400.00000385775,400.00000446399,400.000004989,300.93165559717,300.9317853434,300.93305334822,399.94103335808,0.0050003000945655,0.0049993910237224,4,370.01179384774
51.1,399.81772638328,399.8179863865,399.81929351691,399.81770640053,399.81800530053,399.81919086876,399.81767359884,399.8179456661,399.53906475728,399.52378796004,399.52406680435,399.52531230181,399.52376325387,399.52409789194,399.53992638669,399.52372334216,399.52404484397,398.53056575807,398.53010810032,398.53110983165,398.53055649384,398.52954390026,398.53012444093,399.99999999964,400.00000074568,399.99246449135,399.9922780842,399.99205428823,400.00001651265,400.00342924973,399.99534007659,399.9956154785,400.00002861481,399.99998981306,399.99998982146,399.99208955841,399.99224493919,399.99209075665,399.99999557855,400.00394702489,399.99686055554,399.99999188619,400.00001787294,400.00000378361,399.99242839433,399.99999852357,400.00250625504,400.00001988417,400.00003999681,400.00000845138,400.00000000111,400.00000068355,399.9918631358,399.99185509474,399.99165912174,400.00001600686,400.00342621948,399.99565468137,400.00002763849,399.9999899604,399.99998997095,399.99168521034,399.991667609,399.99999572598,400.00394193003,399.99698083622,399.99999221484,400.00001754365,400.00000386183,399.99019113114,399.99999860444,400.0025110963,400.00001952465,400.00003919253,400.00000842681,400.00000005523,400.00000062803,399.9888885527,399.98999248834,399.98991388823,400.00001530676,400.0034194292,399.99567630902,399.99544467145,400.00002592593,399.99998981922,399.99998983582,400.00000244912,399.98989542375,399.99000922379,399.99999603096,400.00393178595,399.9953051976,399.99999264768,400.0000171701,400.00000404533,399.99138880275,399.98999944737,399.9885157657,399.99999887231,400.00251598106,399.99540286278,399.99753479456,400.0000191434,400.0000383993,400.00000853926,301.76988789484,301.77074469057,301.79500217219,399.93474700801,0.0050003267892051,0.0050071969300212,5,367.03637695807
