time,T_out,T_out_weighted,mdot_in,mdot_out,upcomer_outlet
0,0,0,0,0,348
0.1,378.23530890354,0.31480258751855,4.168915887151e-06,4.0028210854361e-05,348
0.3,392.23284569608,0.32645263894805,4.0941353875395e-06,-7.5847994370768e-06,348
0.7,402.90058308038,0.33533132174813,4.1890775570617e-06,5.0164239930448e-06,348
1.5,407.36113919449,0.33904381123137,4.1681352858284e-06,3.8375615833541e-06,348
3.1,405.19745329553,0.3372429906746,4.1604825983312e-06,3.6116147856647e-06,348
6.3,401.09264899366,0.33382659092273,4.1626194725331e-06,3.9392200032181e-06,348
12.7,399.6548198828,0.33262989586584,4.1628043667322e-06,4.1711818608433e-06,348
25.5,399.85093715718,0.33279312289403,4.1627301680041e-06,4.1831912632258e-06,348
51.1,399.98576048712,0.33290533540335,4.1627298716938e-06,4.1669281502507e-06,348
102.3,399.99645185272,0.33291423375174,4.1627245926532e-06,4.1651771512348e-06,348
204.7,399.99059426297,0.33290935852099,4.1627133694885e-06,4.1654223319084e-06,348
409.5,399.99979784082,0.3329170185941,4.1627354992511e-06,4.1654226517013e-06,348
819.1,399.99987395131,0.33291708194033,4.1627347634474e-06,4.1654206233728e-06,348
1319.1,399.99993160666,0.33291712992648,4.1627338517672e-06,4.1654193488682e-06,348
1819.1,399.9999313775,0.33291712973575,4.1627329974382e-06,4.1654185690738e-06,348
2319.1,399.99993127256,0.33291712964841,4.1627321586501e-06,4.1654178021433e-06,348
2819.1,399.99993122129,0.33291712960573,4.1627313782004e-06,4.1654170638998e-06,348
3319.1,399.99993121433,0.33291712959994,4.1627306202422e-06,4.1654163585249e-06,348
3819.1,399.99993124618,0.33291712962645,4.1627296774719e-06,4.1654155638968e-06,348
4319.1,399.99993129734,0.33291712966903,4.1627284867761e-06,4.1654146517343e-06,348
4819.1,399.99993136107,0.33291712972207,4.1627271451735e-06,4.1654136681152e-06,348
5319.1,399.99993143116,0.33291712978041,4.162725516517e-06,4.1654124656244e-06,348
5819.1,400.0000379878,0.33291721846675,4.1627237462657e-06,4.1653345791901e-06,348
6319.1,399.99912001778,0.33291645444676,4.1627176327497e-06,4.1650942612816e-06,348
6819.1,399.99915109901,0.33291648031545,4.1627182416655e-06,4.1651851082819e-06,348
7319.1,399.99912335126,0.33291645722119,4.1627184232038e-06,4.1651856266933e-06,348
7819.1,399.9991303365,0.33291646303496,4.162718606121e-06,4.1651856660199e-06,348
8319.1,399.99912885882,0.33291646180509,4.1627187725631e-06,4.1651857763285e-06,348
8819.1,399.99912941203,0.33291646226552,4.1627189240313e-06,4.1651858742417e-06,348
9319.1,399.99912947385,0.33291646231698,4.1627190871614e-06,4.1651859868953e-06,348
9819.1,399.99912965419,0.33291646246708,4.1627192460162e-06,4.1651860877265e-06,348
10319.1,399.99912980589,0.33291646259334,4.1627194220999e-06,4.1651862026525e-06,348
10819.1,399.99912996427,0.33291646272516,4.162719582634e-06,4.1651863110288e-06,348
11319.1,399.99913012116,0.33291646285573,4.1627197110813e-06,4.1651863802036e-06,348
11819.1,400.00139496534,0.33291834786962,4.1627243812728e-06,4.1649636800596e-06,348
12319.1,400.00163231834,0.33291854541684,4.1627257092738e-06,4.1649786866127e-06,348
12819.1,400.0015899707,0.33291851017121,4.1627268753074e-06,4.1649973016995e-06,348
13319.1,400.00158860357,0.33291850903335,4.1627277929657e-06,4.1649978558313e-06,348
13819.1,400.001587542,0.33291850814981,4.1627285887898e-06,4.1649983647632e-06,348
14319.1,400.00158652944,0.33291850730707,4.1627292340783e-06,4.1649988635156e-06,348
14819.1,400.00158562378,0.33291850655329,4.1627298872698e-06,4.1649994308539e-06,348
15319.1,400.00158490327,0.33291850595362,4.1627305982147e-06,4.1650000908966e-06,348
15819.1,400.00158439705,0.33291850553229,4.1627312882755e-06,4.165000774331e-06,348
16319.1,400.00158411128,0.33291850529445,4.1627320484329e-06,4.1650015819722e-06,348
16819.1,400.00158405892,0.33291850525087,4.1627328184693e-06,4.1650024333821e-06,348
17319.1,399.99990545749,0.33291710816271,4.1627344280681e-06,4.1653794476262e-06,348
17819.1,400.00010675002,0.33291727569706,4.1627350784293e-06,4.1658698497905e-06,348
18319.1,400.00058176513,0.3329176710488,4.1627323141372e-06,4.1656604411118e-06,348
18819.1,400.00058442074,0.33291767325904,4.1627302912672e-06,4.1656583370301e-06,348
19319.1,400.00058698449,0.33291767539283,4.1627272727576e-06,4.165656217243e-06,348
