time,avg_htc,avg_tclad,avg_tcool,avg_tfuel,avg_twall,disp_x_max,disp_y_max,max_tclad,max_tcool,max_tfuel,max_thcond,max_twall,min_tclad,min_tcool,min_tfuel,min_twall,ptot_bison,ptot_scaled_bison
0,100000,899.99999999999,750,900,0,0,0,900,750,900,0,900,900,750,900,900,10841.583240157,0
1,100000,764.74670519114,750,859.43924737526,0,0,0,798.90335053492,750,912.95594362742,23.212309394182,773.41289322658,745.59011642114,750,795.64946339036,747.92153280831,10841.583240157,28849.995081221
