time,avg_tcool,avg_tfuel,disp_x_max,disp_y_max,disp_z_max,eigenvalue,max_tcool,max_tfuel,min_tcool,min_tfuel,power_scaling,ptot
0,700,900,0,0,0,1,700,900,700,900,3.3425853063502e+16,4545454.5
1,700,900,0,0,0,1.5452725931372,700,900,700,900,1.2135907222353e+16,4545454.5
