Time,Xg,Yg,Zg
0,-0.000613068,0.004980572,0.005720837
0.006324555,-0.00145513,0.0043622,0.005444109
0.012649111,-0.002225998,0.003751732,0.004960615
0.018973666,-0.002864326,0.003155879,0.00412147
0.025298221,-0.003326863,0.002579431,0.002878995
0.031622777,-0.003593746,0.002025177,0.001304624
0.037947332,-0.003669889,0.001494383,-0.000423059
0.044271887,-0.003582185,0.000987373,-0.00205709
0.050596443,-0.003373017,0.00050364,-0.003337985
0.056920998,-0.003091359,4.11E-05,-0.00405286
0.063245553,-0.002783338,-0.000405559,-0.004083483
0.069570109,-0.002484336,-0.000846802,-0.003432041
0.075894664,-0.002214332,-0.001299562,-0.002219388
0.082219219,-0.00197738,-0.001786678,-0.00065759
0.088543774,-0.00176493,-0.002333685,0.000995113
0.09486833,-0.001561601,-0.002962855,0.00248492
0.101192885,-0.001351287,-0.00368543,0.003606302
0.10751744,-0.001121455,-0.004493959,0.00422961
0.113841996,-0.000864217,-0.005357143,0.004308487
0.120166551,-0.000574028,-0.006219424,0.003869131
0.126491106,-0.000243276,-0.007006518,0.002988404
0.132815662,0.000141966,-0.007636511,0.001770036
0.139140217,0.000603537,-0.008034383,0.000327126
0.145464772,0.001168434,-0.008146474,-0.001224619
0.151789328,0.001861536,-0.007951043,-0.002763749
0.158113883,0.002695481,-0.007461861,-0.004155621
0.164438438,0.003660831,-0.006723658,-0.005248748
0.170762994,0.004720121,-0.005800689,-0.005882354
0.177087549,0.005808654,-0.004761902,-0.005908579
0.183412104,0.006842972,-0.00366741,-0.005226903
0.18973666,0.007735508,-0.002560672,-0.003822383
0.196061215,0.00841173,-0.00146893,-0.001795554
0.20238577,0.008824943,-0.000411551,0.00062825
0.208710326,0.008964305,0.000587094,0.003118281
0.215034881,0.00885351,0.001485621,0.005287238
0.221359436,0.008540456,0.002220145,0.006761792
0.227683992,0.008081115,0.002709195,0.00725975
0.234008547,0.007522724,0.002869417,0.006655347
0.240333102,0.006891735,0.00263854,0.005015634
0.246657657,0.006190369,0.001998807,0.002597329
0.252982213,0.005402714,0.000992997,-0.000196967
0.259306768,0.004508009,-0.00027348,-0.00289411
0.265631323,0.003496206,-0.001647052,-0.00504042
0.271955879,0.00238,-0.002954633,-0.006286098
0.278280434,0.001198678,-0.00403936,-0.00644578
0.284604989,1.20E-05,-0.004793584,-0.005523629
0.290929545,-0.001114097,-0.005179629,-0.003700529
0.2972541,-0.00212523,-0.005232188,-0.001290015
0.303578655,-0.002993296,-0.005041761,0.001324041
