time,condenser_boundary_integral,evaporator_boundary_integral,heat_pipe:T_avg_wick_ann,heat_pipe:condenser_pool_length,heat_pipe:initial_T_avg_wick_ann,heat_pipe:mass_flow_rate,heat_pipe:mass_total,heat_pipe:mass_vapor,heat_pipe:power_evap,heat_pipe:refill,heat_pipe:rho_liquid_solid_avg,heat_pipe:startup_front,refill,heat_pipe:mass_evap
-50000,0,0,900,0,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-49999.9,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-49999.7,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-49999.3,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-49998.5,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-49996.9,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-49993.7,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-49987.3,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-49974.5,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-49948.9,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-49897.7,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-49795.3,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-49590.5,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-49180.9,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-48361.7,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-47542.5,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-46723.3,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-45904.1,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-45084.9,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-44265.7,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-43446.5,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-42627.3,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-41808.1,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-40988.9,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-40169.7,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-39350.5,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
