time,Lambda,rho,beta-0,lambda-0,beta-1,lambda-1,beta-2,lambda-2,beta-3,lambda-3,beta-4,lambda-4,beta-5,lambda-5,n,c-0,c-1,c-2,c-3,c-4,c-5
0,1.52631378225e-05,-6.91375170222e-09,0.000212379665914,0.0133664622992,0.00116163114516,0.0325094178436,0.00114965427795,0.121279178592,0.0027295585148,0.307771810275,0.00128468135481,0.868511195589,0.000530149149044,2.91720336076,1,1041.00455476,2341.07447214,621.065188275,581.058346747,96.911691565,11.9065937981
0.03,1.52850512721e-05,0.000196106544326,0.000212443821846,0.0133664476883,0.00116164850446,0.0325095851771,0.00114940962327,0.121278913,0.0027297008938,0.307770933087,0.00128470400897,0.868506052934,0.00053004445467,2.91718572535,1.0279124839,1041.00921096,2341.10101493,621.091823247,581.123373029,96.942148785,11.9187235537
0.06,1.53084871376e-05,0.000385294304713,0.000212507995193,0.0133664330793,0.00116166601803,0.0325097525457,0.00114916526507,0.12127864742,0.00272984359349,0.307770055963,0.0012847268927,0.868500910158,0.000529939835336,2.91716810158,1.05920704818,1041.0260837,2341.19362715,621.183156311,581.342732391,97.0440547304,11.9585308822
