time,dp,eigenvalue,integrated_power,power_scaling
0,90,0,83402.220353913,4.0659626506497e+31
1,90,1.0913778635033,83333.333333333,4.7709725629793e+14
2,90,1.0923989319031,83333.333333333,4.7606171619963e+14
3,90,1.0923893186564,83333.333333333,4.7606739663647e+14
4,90,1.092388454639,83333.333333333,4.7606788273783e+14
