time,Lambda,rho,beta-0,lambda-0,beta-1,lambda-1,beta-2,lambda-2,beta-3,lambda-3,beta-4,lambda-4,beta-5,lambda-5,n,c-0,c-1,c-2,c-3,c-4,c-5
0,1.49706923567e-05,-2.14408835096e-08,0.000210656053781,0.0133664,0.00115864956252,0.03251545,0.00115542020168,0.121281,0.0027227062706,0.3077885,0.00128170116621,0.868506,0.000525181883699,2.9167,1,1052.7314678,2380.23834522,636.36355828,590.889831851,98.5761995416,12.0275200373
0.03,1.49919132141e-05,0.000199607244449,0.000210745518265,0.013366378,0.0011587178589,0.032515675,0.00115515944746,0.1212807,0.002723133872,0.30778759,0.00128166217824,0.86850582,0.000525054167971,2.9166774,1.02843881942,1052.73514552,2380.26334852,636.390707111,590.957308505,98.6076052104,12.0399845178
0.06,1.50144981723e-05,0.000392042935903,0.000210835022262,0.013366356,0.00115878637899,0.0325159,0.0011548989213,0.1212804,0.00272356199509,0.30778668,0.00128162343948,0.86850564,0.000524926556041,2.9166548,1.0602819634,1052.75147152,2380.35695446,636.48541992,591.18539886,98.7129597725,12.080905711
0.09,1.50385056194e-05,0.000596455710835,0.000210924409192,0.013366334,0.00115885426228,0.032516125,0.00115463776561,0.1212801,0.00272398861729,0.30778577,0.0012815839982,0.86850546,0.00052479865812,2.9166322,1.09638781872,1052.78154188,2380.52509457,636.653382341,591.586708596,98.8969115547,12.1505008295
