time,dp,integrated_power,power_scaling
0,90,83333.333333333,5.1990880812629e+14
0.03,90.6,85613.605020153,5.1990880812629e+14
0.06,91.2,88164.295300142,5.1990880812629e+14
0.09,91.8,91057.038956363,5.1990880812629e+14
