time,dp,eigenvalue,integrated_power,power_scaling
0,90,0,83402.220353913,4.0659626506497e+31
1,90,1.0913778674211,83333.333333333,4.7709726085087e+14
2,90,1.0916878148819,83333.333333333,4.7624351827293e+14
3,90,1.0916662389209,83333.333333333,4.7625236914286e+14
4,90,1.0916653979449,83333.333333333,4.7625289681715e+14
