time,IPyC_stress,OPyC_stress,SiC_stress,actual_strength_SiC_crackedIPyC,ave_gas_temp,buffer_void_volume,failure_indicator_IPyC,failure_indicator_SiC,failure_indicator_SiC_crackedIPyC,failure_indicator_kernel_migration,failure_indicator_pd_penetration,fis_gas_released,fluence_at_failure,frate_value,gap_volume,gas_pressure,initial_moles,ipyc_cracking,kernel_migration_distance,kernel_th_density,kernel_void_volume,kernel_volume,max_burnup,max_fluence,particle_power,pd_penetration,pres_ipyc_avg,pres_ipyc_max,pres_ipyc_min,pres_opyc_avg,pres_opyc_max,pres_opyc_min,pres_sic_avg,pres_sic_max,pres_sic_min,sic_failure_due_to_ipyc_cracking,sic_failure_due_to_pressure,sic_failure_overall,strain_ipyc,strain_opyc,strain_sic,strength_IPyC,strength_OPyC,strength_SiC,stress_SiC_crackedIPyC,weibull_failure_probability_IPyC,weibull_failure_probability_SiC
0,0,0,0,0,298,4.6739917368408e-11,0,0,0,0,0,0,0,-0,0,0,0,0,0,11212.648688763,8.841704746149e-13,-4.0194387258038e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000000,-2208693.3494164,-1957936.6549366,-14566655.230162,1318314765.4479,824.14852422913,4.7476586319702e-11,0,0,0,0,0,-2.7439276100077e-24,0,-0,-4.0238174906004e-13,0,0,0,2.6579130765249e-15,11212.648688763,1.5138431339554e-12,-4.0194387258038e-11,-3.7937103984346e-16,3.832e+22,-2.4340646078084e-15,7.3537451564301e-12,-1014499.9361011,-671833.23768141,-1400972.0199918,-1852122.1115404,-1607004.3291888,-2122521.1250138,-9848534.4974675,-9848528.0019152,-9848540.1467135,0,0,0,0.002873683677993,0.0027697806877108,0.00258324616878,1.7976931348623e+308,1.7976931348623e+308,1.7976931348623e+308,18054159.398763,0,0
20000000,3491122.2308135,2793025.9608685,-19580572.352925,1318314765.4479,837.29075880926,4.7370517029354e-11,0,0,0,0,0,-8.2776690958361e-24,0,-0,-2.8088095236588e-13,-3.8601143359112e-10,0,0,7.9083995370082e-15,11212.648688763,1.5284619292225e-12,-4.0824059917379e-11,-1.1381131195304e-15,1.1496e+23,-2.4721959002391e-15,5.2101586173529e-09,2842104.6534716,3219204.4294645,2416795.4139078,1407210.620434,1677319.9703258,1109243.326481,-12816354.737629,-12816341.509471,-12816366.037343,0,0,0,0.002733521014144,0.0026442386086617,0.0026523068885776,1.7976931348623e+308,1.7976931348623e+308,1.7976931348623e+308,24137863.800893,1.1102230246252e-16,0
30000000,8280963.8788505,5900285.1692038,-35307723.500922,1318314765.4479,837.27013436691,4.7242683987452e-11,0,0,0,0,0,-1.3854057661827e-23,0,-0,-1.5691719147086e-13,-1.1822698137786e-09,0,0,1.3153369148364e-14,11212.648688763,1.5272878357362e-12,-4.0838678712646e-11,-1.914684522252e-15,1.916e+23,-2.473081175388e-15,1.100046258904e-08,6077256.9514708,6479059.1314956,5624093.8289854,2918163.5027472,3206285.5037236,2600331.2621138,-23015023.855426,-23014980.009551,-23015061.309168,0,0,0,0.0025276040948421,0.0024066322930024,0.0026607160442731,1.7976931348623e+308,1.7976931348623e+308,1.7976931348623e+308,43495853.54755,1.3467005288703e-13,1.1102230246252e-16
40000000,13571968.123778,9758197.0116531,-45660038.77602,1318314765.4479,837.27023022719,4.711460296498e-11,0,0,0,0,0,-1.9431094927918e-23,0,-0,-2.690857393774e-14,-1.9786360147215e-09,0,0,1.8398364365438e-14,11212.648688763,1.526209314157e-12,-4.0837504619159e-11,-2.6857267517728e-15,2.6824e+23,-2.4730100754262e-15,1.6789804961907e-08,9646506.3755703,10072365.119165,9166227.6667422,5289573.706992,5595236.3494937,4952401.3658054,-29583939.358179,-29583864.281063,-29584003.486969,0,0,0,0.002307497018831,0.0021798584378837,0.0026673060386537,197498213.66648,1.7976931348623e+308,1.7976931348623e+308,56193466.859031,1.0488276913634e-11,1.7763568394003e-15
50000000,18586313.428006,13297604.293257,-55831408.856919,1318314765.4479,837.27023022998,4.698628584282e-11,0,0,0,0,0,-2.5007729742607e-23,0,-0,1.0361429533417e-13,-2.7750709756038e-09,0,0,2.3643359582828e-14,11212.648688763,1.5251971365126e-12,-4.083642609758e-11,-3.4565977584132e-15,3.4488e+23,-2.4729447630434e-15,2.2579151818033e-08,13161083.278233,13610354.597617,12654424.87115,7610323.6659443,7933053.4883087,7254337.6784011,-36037409.050438,-36037295.154711,-36037506.336169,0,0,0,0.0020839530308762,0.0019506881172504,0.0026737846441682,197277259.69134,190492248.15958,1.7976931348623e+308,68668927.432367,1.9835222353493e-10,1.3100631690577e-14
60000000,23308768.082474,16747329.711797,-65816222.657821,1318314765.4479,837.27023022998,4.6857775875365e-11,0,0,0,0,0,-3.0583997009507e-23,0,-0,2.3461531384876e-13,-3.5713810910243e-09,0,0,2.8888354800218e-14,11212.648688763,1.5242475193505e-12,-4.0835413919936e-11,-4.2274493080462e-15,4.2152e+23,-2.472883468272e-15,2.8368498674167e-08,16622197.987244,17094249.485522,16089882.662867,9882786.816812,10222119.687674,9508503.2410292,-42371556.816703,-42371396.961753,-42371693.358296,0,0,0,0.0018570133505261,0.0017191967726,0.0026801509221461,199039588.27723,191814068.35265,1.7976931348623e+308,80915256.372619,1.8086649955507e-09,5.6843418860808e-14
70000000,27954706.246829,20124898.079759,-75617276.626747,1318314765.4479,837.27023022998,4.6729113638812e-11,0,0,0,0,0,-3.6159927449125e-23,0,-0,3.6605188734988e-13,-4.3675567515537e-09,0,0,3.4133350017609e-14,11212.648688763,1.5233567906429e-12,-4.0834464302774e-11,-4.9982823771685e-15,4.9816e+23,-2.472825961996e-15,3.4157845530301e-08,20030423.154588,20524633.865841,19473160.750561,12107837.344556,12463318.317669,11715762.015516,-48588196.12973,-48587983.587907,-48588377.673378,0,0,0,0.0016267355954515,0.0014854370324994,0.002686406388202,200226280.47142,192711327.8805,1.7976931348623e+308,92935896.768717,1.0564984442851e-08,1.8229862064345e-13
80000000,32529075.794372,23431628.312551,-85237290.889714,1318314765.4479,837.27023022998,4.660033732991e-11,0,0,0,0,0,-4.1735549521169e-23,0,-0,4.9788369732163e-13,-5.1635877653165e-09,0,0,3.9378345234999e-14,11212.648688763,1.5225214920747e-12,-4.0833573574066e-11,-5.7690981110131e-15,5.748e+23,-2.4727720218474e-15,3.9947192386435e-08,23386329.961757,23902090.250253,22804817.471169,14286340.94209,14657524.14326,13876969.593232,-54689089.4288,-54688817.87046,-54689321.380712,0,0,0,0.001393176705532,0.0012494607662819,0.0026925525270937,201103505.43331,193382537.13507,1.7976931348623e+308,104734197.25197,4.5707273077511e-08,4.7783998979867e-13
90000000,37032662.681536,26668816.209183,-94678949.355837,1318314765.4479,837.27023022998,4.6471482904158e-11,0,0,0,0,0,-4.731088957609e-23,0,-0,6.300725321387e-13,-5.9594638549671e-09,0,0,4.4623340452389e-14,11212.648688763,1.5217383668928e-12,-4.0832738275498e-11,-6.5398975865484e-15,6.5144e+23,-2.4727214383998e-15,4.5736539242569e-08,26690485.154134,27227196.60744,26085406.832654,16419148.0771,16805596.587202,15992966.466863,-60675975.254454,-60675638.73287,-60676262.693725,0,0,0,0.0011563930310838,0.0010113189986838,0.0026985908067092,201795350.99868,193919175.89491,719072092.92737,116313461.71051,1.5930400154573e-07,1.0834666497317e-12
