FRD,id,tfuel,x,y,z
8.5869599603961e+17,0,932.83180358262,1.005,0,0
1.1688815035914e+18,0.01,932.83180358262,1.005,0.01,0
1.4744919119108e+18,0.02,942.77642622154,1.005,0.02,0
1.7772954800036e+18,0.03,952.60670321167,1.005,0.03,0
2.0772969652801e+18,0.04,962.34622656523,1.005,0.04,0
2.3744974029167e+18,0.05,971.9992267021,1.005,0.05,0
2.6688914642006e+18,0.06,981.56919056296,1.005,0.06,0
2.960469508172e+18,0.07,991.05801422481,1.005,0.07,0
3.2492186611813e+18,0.08,1000.4667123667,1.005,0.08,0
3.5351240974175e+18,0.09,1009.7952511046,1.005,0.09,0
3.81817017991e+18,0.1,1019.0424372421,1.005,0.1,0
4.0983412767807e+18,0.11,1028.2060672354,1.005,0.11,0
4.3756224374805e+18,0.12,1037.2830369763,1.005,0.12,0
4.6499999179333e+18,0.13,1046.2694599494,1.005,0.13,0
4.9214615794994e+18,0.14,1055.1607825434,1.005,0.14,0
5.1899971837954e+18,0.15,1063.9518909244,1.005,0.15,0
5.4555986011264e+18,0.16,1072.6372084853,1.005,0.16,0
5.7182599451053e+18,0.17,1081.2107856986,1.005,0.17,0
5.9779776423369e+18,0.18,1089.6663852322,1.005,0.18,0
6.2347504433441e+18,0.19,1097.9975649382,1.005,0.19,0
6.4885793796378e+18,0.2,1106.1977603669,1.005,0.2,0
6.7394676716644e+18,0.21,1114.2603672934,1.005,0.21,0
6.987420592904e+18,0.22,1122.1788237106,1.005,0.22,0
7.232445296056e+18,0.23,1129.9466900052,1.005,0.23,0
7.4745506076028e+18,0.24,1137.5577256568,1.005,0.24,0
7.7137467980382e+18,0.25,1145.0059607244,1.005,0.25,0
7.9500453347569e+18,0.26,1152.2857605658,1.005,0.26,0
8.1834586243426e+18,0.27,1159.3918825564,1.005,0.27,0
8.4139997509308e+18,0.28,1166.3195239806,1.005,0.28,0
8.6416822162109e+18,0.29,1173.0643606823,1.005,0.29,0
8.8665196860915e+18,0.3,1179.6225764461,1.005,0.3,0
9.088525748185e+18,0.31,1185.9908834024,1.005,0.31,0
9.3077136831958e+18,0.32,1192.1665340077,1.005,0.32,0
9.5240962527017e+18,0.33,1198.1473253321,1.005,0.33,0
9.7376855050724e+18,0.34,1203.931596499,1.005,0.34,0
9.9484926003354e+18,0.35,1209.518220182,1.005,0.35,0
1.0156527654648e+19,0.36,1214.9065890722,1.005,0.36,0
1.03617996042e+19,0.37,1220.0965982019,1.005,0.37,0
1.0564316088343e+19,0.38,1225.088623961,1.005,0.38,0
1.0764083351179e+19,0.39,1229.8835005716,1.005,0.39,0
1.0961106161289e+19,0.4,1234.4824947851,1.005,0.4,0
1.1155386126259e+19,0.41,1238.8879468582,1.005,0.41,0
1.1346926750107e+19,0.42,1243.1011091651,1.005,0.42,0
1.1535729011949e+19,0.43,1247.1240074869,1.005,0.43,0
1.1721790095608e+19,0.44,1250.9598621588,1.005,0.44,0
1.1905106718827e+19,0.45,1254.6116940928,1.005,0.45,0
1.2085673948143e+19,0.46,1258.0827936409,1.005,0.46,0
1.2263485210743e+19,0.47,1261.3766948829,1.005,0.47,0
1.2438532315558e+19,0.48,1264.4971507809,1.005,0.48,0
1.2610805482465e+19,0.49,1267.4481093799,1.005,0.49,0
1.2780293378689e+19,0.5,1270.2336911217,1.005,0.5,0
1.2946983161575e+19,0.51,1272.8581673156,1.005,0.51,0
1.3110860527178e+19,0.52,1275.3259397823,1.005,0.52,0
1.3271909763458e+19,0.53,1277.6415216735,1.005,0.53,0
1.3430113808173e+19,0.54,1279.8095194533,1.005,0.54,0
1.358545431039e+19,0.55,1281.8346160173,1.005,0.55,0
1.373791169531e+19,0.56,1283.7215549143,1.005,0.56,0
1.3887465231659e+19,0.57,1285.4751256337,1.005,0.57,0
1.4034093101777e+19,0.58,1287.1001499115,1.005,0.58,0
1.4177772473267e+19,0.59,1288.6014690117,1.005,0.59,0
1.4318479572564e+19,0.6,1289.9839319309,1.005,0.6,0
1.4456189759704e+19,0.61,1291.2523844931,1.005,0.61,0
1.4590877554272e+19,0.62,1292.4116752299,1.005,0.62,0
1.4722514185998e+19,0.63,1293.4674484203,1.005,0.63,0
1.4851078603515e+19,0.64,1294.4226516391,1.005,0.64,0
1.4976540462699e+19,0.65,1295.2829898338,1.005,0.65,0
1.5098871886776e+19,0.66,1296.0531712051,1.005,0.66,0
1.5218044634376e+19,0.67,1296.7378373899,1.005,0.67,0
1.5334030133938e+19,0.68,1297.3415706878,1.005,0.68,0
1.5446799559143e+19,0.69,1297.8688886642,1.005,0.69,0
1.5556323903949e+19,0.7,1298.3242390334,1.005,0.7,0
1.5662574057418e+19,0.71,1298.7119949817,1.005,0.71,0
1.5765520876889e+19,0.72,1299.0364509016,1.005,0.72,0
1.5865135260895e+19,0.73,1299.3018185049,1.005,0.73,0
1.5961388220453e+19,0.74,1299.5122233068,1.005,0.74,0
1.6054250914819e+19,0.75,1299.6717258869,1.005,0.75,0
1.6143695063851e+19,0.76,1299.7841938772,1.005,0.76,0
1.6229692382173e+19,0.77,1299.853448245,1.005,0.77,0
1.6312214808607e+19,0.78,1299.8833256046,1.005,0.78,0
1.6391234927937e+19,0.79,1299.8774829222,1.005,0.79,0
1.6466725847766e+19,0.8,1299.8394715007,1.005,0.8,0
1.6538661250189e+19,0.81,1299.7727391527,1.005,0.81,0
1.6607015450859e+19,0.82,1299.6806287587,1.005,0.82,0
1.6671763456574e+19,0.83,1299.5663768224,1.005,0.83,0
1.6732881022002e+19,0.84,1299.4331119984,1.005,0.84,0
1.6790345199697e+19,0.85,1299.2837370157,1.005,0.85,0
1.6844133607188e+19,0.86,1299.1211124656,1.005,0.86,0
1.6894222882678e+19,0.87,1298.9484331578,1.005,0.87,0
1.6940593090324e+19,0.88,1298.7681978781,1.005,0.88,0
1.6983224583335e+19,0.89,1298.5829594405,1.005,0.89,0
1.7022098668752e+19,0.9,1298.3951777692,1.005,0.9,0
1.7057197729423e+19,0.91,1298.2072005017,1.005,0.91,0
