FRD,id,tfuel,x,y,z
8.5446731582327e+17,0,932.9410266342,0,0.995,0
1.1631194160325e+18,0.01,932.9410266342,0.01,0.995,0
1.4670025921239e+18,0.02,943.48994634996,0.02,0.995,0
1.7678180326897e+18,0.03,954.30169807934,0.03,0.995,0
2.0655115071371e+18,0.04,965.32899414226,0.04,0.995,0
2.3600359917248e+18,0.05,976.52765016231,0.05,0.995,0
2.6513526126024e+18,0.06,987.85541770257,0.06,0.995,0
2.939430986522e+18,0.07,999.27204846273,0.07,0.995,0
3.2242489134695e+18,0.08,1010.7398864653,0.08,0.995,0
3.5057916106703e+18,0.09,1022.2244777452,0.09,0.995,0
3.7840507455673e+18,0.1,1033.6949289528,0.1,0.995,0
4.0590234722542e+18,0.11,1045.1239573804,0.11,0.995,0
4.3307115882029e+18,0.12,1056.4876906742,0.12,0.995,0
4.5991208545246e+18,0.13,1067.765309819,0.13,0.995,0
4.8642604781823e+18,0.14,1078.9386204659,0.14,0.995,0
5.1261427326886e+18,0.15,1089.9916141004,0.15,0.995,0
5.3847826871219e+18,0.16,1100.9100572136,0.16,0.995,0
5.6401980135956e+18,0.17,1111.6811289452,0.17,0.995,0
5.8924088465922e+18,0.18,1122.2931159903,0.18,0.995,0
6.1414376715088e+18,0.19,1132.7351664732,0.19,0.995,0
6.3873092237833e+18,0.2,1142.997100412,0.2,0.995,0
6.6300503837519e+18,0.21,1153.0692721008,0.21,0.995,0
6.8696900557752e+18,0.22,1162.9424784788,0.22,0.995,0
7.1062590237978e+18,0.23,1172.6079069052,0.23,0.995,0
7.3397897784242e+18,0.24,1182.0571155155,0.24,0.995,0
7.5703163136553e+18,0.25,1191.2820393851,0.25,0.995,0
7.79787389382e+18,0.26,1200.2750160127,0.26,0.995,0
8.0224987933938e+18,0.27,1209.0288241148,0.27,0.995,0
8.2442280140625e+18,0.28,1217.5367303444,0.28,0.995,0
8.4630989843081e+18,0.29,1225.7925392646,0.29,0.995,0
8.6791492479165e+18,0.3,1233.7906426799,0.3,0.995,0
8.8924161475989e+18,0.31,1241.5260652097,0.31,0.995,0
9.1029365102782e+18,0.32,1248.9945037395,0.32,0.995,0
9.3107463398464e+18,0.33,1256.192359089,0.33,0.995,0
9.5158805230254e+18,0.34,1263.1167588624,0.34,0.995,0
9.7183725529314e+18,0.35,1269.7655709874,0.35,0.995,0
9.9182542742784e+18,0.36,1276.1374079028,0.36,0.995,0
1.0115555653186e+19,0.37,1282.2316217155,0.37,0.995,0
1.0310304574041e+19,0.38,1288.0482909235,0.38,0.995,0
1.0502526664463e+19,0.39,1293.5881995049,0.39,0.995,0
1.0692245149413e+19,0.4,1298.8528092975,0.4,0.995,0
1.0879480734209e+19,0.41,1303.8442266706,0.41,0.995,0
1.1064251515899e+19,0.42,1308.5651645126,0.42,0.995,0
1.1246572922197e+19,0.43,1313.0189005408,0.43,0.995,0
1.1426457676277e+19,0.44,1317.2092328994,0.44,0.995,0
1.1603915785853e+19,0.45,1321.1404339408,0.45,0.995,0
1.1778954554744e+19,0.46,1324.8172030104,0.46,0.995,0
1.1951578614573e+19,0.47,1328.2446189633,0.47,0.995,0
1.2121789974871e+19,0.48,1331.4280930532,0.48,0.995,0
1.2289588089044e+19,0.49,1334.373322743,0.49,0.995,0
1.2454969934172e+19,0.5,1337.0862468992,0.5,0.995,0
1.2617930102853e+19,0.51,1339.5730027493,0.51,0.995,0
1.2778460904472e+19,0.52,1341.8398849056,0.52,0.995,0
1.2936552474702e+19,0.53,1343.893306685,0.53,0.995,0
1.3092192890869e+19,0.54,1345.7397638925,0.54,0.995,0
1.3245368291964e+19,0.55,1347.3858011744,0.55,0.995,0
1.3396063001529e+19,0.56,1348.837980998,0.56,0.995,0
1.354425965236e+19,0.57,1350.102855269,0.57,0.995,0
1.3689939311639e+19,0.58,1351.186939561,0.58,0.995,0
1.3833081605535e+19,0.59,1352.0966898992,0.59,0.995,0
1.3973664842292e+19,0.6,1352.8384820192,0.6,0.995,0
1.4111666133373e+19,0.61,1353.4185929999,0.61,0.995,0
1.4247061511436e+19,0.62,1353.8431851562,0.62,0.995,0
1.4379826045095e+19,0.63,1354.1182920687,0.63,0.995,0
1.4509933949877e+19,0.64,1354.249806618,0.64,0.995,0
1.4637358694902e+19,0.65,1354.2434708877,0.65,0.995,0
1.4762073105279e+19,0.66,1354.1048677993,0.66,0.995,0
1.4884049459822e+19,0.67,1353.8394143418,0.67,0.995,0
1.5003259584131e+19,0.68,1353.4523562619,0.68,0.995,0
1.5119674938847e+19,0.69,1352.9487640862,0.69,0.995,0
1.5233266703206e+19,0.7,1352.3335303533,0.7,0.995,0
1.5344005853708e+19,0.71,1351.6113679418,0.71,0.995,0
1.5451863237984e+19,0.72,1350.7868093875,0.72,0.995,0
1.5556809644231e+19,0.73,1349.8642070915,0.73,0.995,0
1.5658815865774e+19,0.74,1348.8477343249,0.74,0.995,0
1.5757852761136e+19,0.75,1347.7413869441,0.75,0.995,0
1.5853891309989e+19,0.76,1346.5489857297,0.76,0.995,0
1.5946902664655e+19,0.77,1345.274179269,0.77,0.995,0
1.6036858197682e+19,0.78,1343.9204473014,0.78,0.995,0
1.6123729545841e+19,0.79,1342.491104452,0.79,0.995,0
1.6207488650287e+19,0.8,1340.9893042825,0.8,0.995,0
1.6288107793443e+19,0.81,1339.4180435965,0.81,0.995,0
1.6365559633055e+19,0.82,1337.7801669437,0.82,0.995,0
1.6439817232897e+19,0.83,1336.0783712775,0.83,0.995,0
1.6510854090911e+19,0.84,1334.3152107314,0.84,0.995,0
1.6578644164824e+19,0.85,1332.4931014881,0.85,0.995,0
1.6643161894938e+19,0.86,1330.6143267217,0.86,0.995,0
1.6704382224694e+19,0.87,1328.6810416003,0.87,0.995,0
1.6762280619024e+19,0.88,1326.6952783368,0.88,0.995,0
1.6816833080169e+19,0.89,1324.6589512746,0.89,0.995,0
1.6868016161719e+19,0.9,1322.5738619908,0.9,0.995,0
1.691580698062e+19,0.91,1320.4417043991,0.91,0.995,0
1.69601832274e+19,0.92,1318.2640698262,0.92,0.995,0
1.7001123174986e+19,0.93,1316.0424520391,0.93,0.995,0
1.7038605686048e+19,0.94,1313.7782522008,0.94,0.995,0
1.7072610219194e+19,0.95,1311.472783736,0.95,0.995,0
1.7103116834129e+19,0.96,1309.1272770959,0.96,0.995,0
1.7130106195785e+19,0.97,1306.7428844165,0.97,0.995,0
1.7153559577746e+19,0.98,1304.3206840691,0.98,0.995,0
1.7173458864817e+19,0.99,1301.8616851064,0.99,0.995,0
1.7189786554877e+19,1,1299.3668316045,1,0.995,0
1.7202525760261e+19,1.01,1296.8370069033,1.01,0.995,0
1.7211660208447e+19,1.02,1294.2730377421,1.02,0.995,0
1.7217174242476e+19,1.03,1291.6756982889,1.03,0.995,0
1.7219052820979e+19,1.04,1289.0457140586,1.04,0.995,0
1.7217281518056e+19,1.05,1286.3837657177,1.05,0.995,0
1.7211846522981e+19,1.06,1283.6904927757,1.06,0.995,0
