FRD,id,tfuel,x,y,z
8.5446162428924e+17,0,932.95246091184,0,1.005,0
1.1631109462812e+18,0.01,932.95246091184,0.01,1.005,0
1.4669807276774e+18,0.02,943.53069137276,0.02,1.005,0
1.7677735210322e+18,0.03,954.3803979152,0.03,1.005,0
2.0654337564624e+18,0.04,965.45267763011,0.04,1.005,0
2.3599134647372e+18,0.05,976.70198951841,0.05,1.005,0
2.6511731696539e+18,0.06,988.0849086795,0.06,1.005,0
2.9391821830014e+18,0.07,999.5601544549,0.07,1.005,0
3.2239182525236e+18,0.08,1011.0891655605,0.08,1.005,0
3.5053667543394e+18,0.09,1022.6366976353,0.09,1.005,0
3.7835196898777e+18,0.1,1034.1711688666,0.1,1.005,0
4.0583746930298e+18,0.11,1045.6646954875,0.11,1.005,0
4.3299341639551e+18,0.12,1057.0928765362,0.12,1.005,0
4.5982045719407e+18,0.13,1068.4344227197,0.13,1.005,0
4.8631959243692e+18,0.14,1079.6707152773,0.14,1.005,0
5.1249213772555e+18,0.15,1090.785356759,0.15,1.005,0
5.3833969561577e+18,0.16,1101.7637520341,0.16,1.005,0
5.6386413565986e+18,0.17,1112.5927399969,0.17,1.005,0
5.8906757965481e+18,0.18,1123.2602846587,0.18,1.005,0
6.1395238977614e+18,0.19,1133.7552271496,0.19,1.005,0
6.3852115767117e+18,0.2,1144.0670959961,0.2,1.005,0
6.6277669300178e+18,0.21,1154.1859706907,0.21,1.005,0
6.8672201027575e+18,0.22,1164.1023922714,0.22,1.005,0
7.1036031319514e+18,0.23,1173.8073139676,0.23,1.005,0
7.3369497604701e+18,0.24,1183.2920847358,0.24,1.005,0
7.5672952198566e+18,0.25,1192.5484585963,0.25,1.005,0
7.7946759830757e+18,0.26,1201.5686230134,0.26,1.005,0
8.0191294901317e+18,0.27,1210.3452401044,0.27,1.005,0
8.2406938516109e+18,0.28,1218.8714951393,0.28,1.005,0
8.4594075356151e+18,0.29,1227.1411475785,0.29,1.005,0
8.6753090448897e+18,0.3,1235.1485807141,0.3,1.005,0
8.8884365906459e+18,0.31,1242.8888468118,0.31,1.005,0
9.0988277697669e+18,0.32,1250.3577054375,0.32,1.005,0
9.3065192513696e+18,0.33,1257.5516533816,0.33,1.005,0
9.5115464783841e+18,0.34,1264.4679452386,0.34,1.005,0
9.713943388712e+18,0.35,1271.104604251,0.35,1.005,0
9.9137421598234e+18,0.36,1277.4604234823,0.36,1.005,0
1.0110972979687e+19,0.37,1283.5349577414,0.37,1.005,0
1.030566384627e+19,0.38,1289.328506954,0.38,1.005,0
1.0497840396516e+19,0.39,1294.8420918635,0.39,1.005,0
1.0687525765624e+19,0.4,1300.0774230651,0.4,1.005,0
1.0874740476186e+19,0.41,1305.0368644366,0.41,1.005,0
1.1059502356496e+19,0.42,1309.7233920404,0.42,1.005,0
1.124182648697e+19,0.43,1314.1405495441,0.43,1.005,0
1.1421725172861e+19,0.44,1318.2924011523,0.44,1.005,0
1.1599207941441e+19,0.45,1322.183482967,0.45,1.005,0
1.1774281561858e+19,0.46,1325.8187536046,0.46,1.005,0
1.1946950085016e+19,0.47,1329.2035448059,0.47,1.005,0
1.2117214901697e+19,0.48,1332.3435126763,0.48,1.005,0
1.2285074816294e+19,0.49,1335.2445901003,0.49,1.005,0
1.2450526134198e+19,0.5,1337.9129407839,0.5,1.005,0
1.2613562760484e+19,0.51,1340.354915291,0.51,1.005,0
