time,advection_energy_balance,area_pp_reactor_inlet,barrel_avg_temperature,barrel_max_temperature,bed_solid_avg_temperature,bypass_mfr,core_delta_p,dt_max_pp,outlet_mfr,ref_avg_temperature,ref_max_temperature,rpv_avg_temperature,rpv_convection_diffusion,rpv_max_temperature,rpv_radiation,rpv_side_temp,rpv_tot_out,set_inlet_mfr,total_balance_percent,total_power
0,-249608560.63221,2.5509732347149,465.86543734883,548.65657217418,864.84466531124,-1.1563155600421,130280.09066004,0,95.999999967676,593.11954241402,1067.2816790651,426.7322339613,990.57188391289,474.30289859604,310891.64833177,424.75130948659,311882.22021568,96,0.28132863520059,250000000
10,-249616745.04138,2.5509732347149,465.86543817414,548.65658440587,864.8332739502,-1.156306789587,130278.38411201,1,95.999761685916,593.11952596654,1067.2816796372,426.73223453352,990.57188836243,474.30290553304,310891.65096157,424.75131004397,311882.22284994,96,0.21649277151892,249846094.74733
30,-249632161.35323,2.5509732347149,465.86543982422,548.65660886648,864.80878665819,-1.1562926779379,130275.72178274,20,95.999780992607,593.11944204634,1067.2817286637,426.73223567782,990.57189726053,474.30291940594,310891.65622063,424.75131115862,311882.22811789,96,0.21225296283022,249850911.53219
70,-249685703.77371,2.5509732347149,465.86544312228,548.6566577766,864.91594834514,-1.1563590096346,130288.40989012,23.298969072165,96.000388993126,593.11978432309,1067.282344641,426.7322379659,990.5719150528,474.30294714734,310891.66673652,424.75131338743,311882.23865157,96,0.44006059313187,250473973.01788
