time,Burnup_avg,Tfluid_avg,Tfuel_avg,Tfuel_max,Tmod_avg,Tmod_max,Tsolid_avg,Tsolid_max,UnscaledTotalPower,decay_heat,dt,integrated_pebble_decay_heat,power_peak,power_scaling,prompt_power,total_power,total_prompt_power
0,2.8779339903123e+14,653.5561232115,903.93018541436,1118.8231829445,889.83724956067,1116.6207996086,672.5893064777,1109.1290232953,1.1924620840383e-10,15507728.892362,0,15502528.43882,2.0045835792552,2.0965027177498e+18,234497471.56118,250000000,234497471.56118
10,2.8779339903123e+14,653.5561232115,903.95438929567,1118.8264178682,889.85995283107,1116.6263232188,672.5893064777,1109.1290232953,1.1916439807271e-10,15509503.066971,10,15509503.066971,2.0032867229057,2.0965027177498e+18,234336591.68036,249846094.74733,234336591.68036
30,2.8779339903123e+14,653.55490971552,903.92197179111,1118.8446489338,889.83763054812,1116.6460058289,672.58657986365,1109.1536675101,1.1916855811109e-10,15506139.143237,20,15506139.143237,2.0033918616784,2.0965027177498e+18,234344772.38896,249850911.53219,234344772.38896
70,2.8779339903123e+14,653.55142505753,903.89651490382,1118.8853880114,889.81218062571,1116.6868694648,672.58080093294,1109.1949958302,1.1948563577253e-10,15505667.93224,40,15505667.93224,2.0085052713327,2.0965027177498e+18,234968305.08564,250473973.01788,234968305.08564
