time,Tfluid_core,Tfuel_avg,Tfuel_max,Tmod_avg,Tmod_max,Tsolid_core,UnscaledTotalPower,decay_heat,dt,dt_max_pp,integrated_pebble_decay_heat,max_T_solid,power_peak,power_scaling,prompt_power,total_power,total_prompt_power
0.95,653.5561232115,903.93018541436,1118.8231829445,889.83724956067,1116.6207996086,672.5893064777,1.1924620840383e-10,15507728.892362,0,0,15502528.43882,1109.1290232953,2.0045835792552,2.0965027177498e+18,234497471.56118,250000000,234497471.56118
1,653.5561232115,903.95438929567,1118.8264178682,889.85995283107,1116.6263232188,672.5893064777,1.1924620840383e-10,15507756.195673,0.05,1,15507756.195673,1109.1290232953,2.0044444881983,2.0965027177498e+18,234483028.07565,249990784.27132,234483028.07565
1.1,653.55612530131,903.95261627597,1118.8260184215,889.85905705956,1116.6260433171,672.58930548812,1.1924620840383e-10,15507801.428734,0.1,1,15507801.428734,1109.1291656329,2.0042544935863,2.0965027177498e+18,234459007.51617,249966808.9449,234459007.51617
1.2,653.4101411298,903.93616025142,1118.8197297279,889.84423342029,1116.6199873837,672.58619223874,1.1924620840383e-10,15507827.569152,0.1,1,15507827.569152,1109.1239043272,2.0042508504281,2.0965027177498e+18,234457808.73295,249965636.3021,234457808.73295
1.4,653.28782647628,903.91580920833,1118.8116819342,889.82419546957,1116.6119725712,672.58153581909,1.1924620840383e-10,15507881.097411,0.2,1,15507881.097411,1109.1159905533,2.004464614963,2.0965027177498e+18,234480883.81117,249988764.90858,234480883.81117
1.8,653.1920045789,903.87274388636,1118.793433506,889.7802726512,1116.5936812428,672.57097899914,1.1924620840383e-10,15508046.525568,0.4,1,15508046.525568,1109.097538841,2.0053996776275,2.0965027177498e+18,234591591.05033,250099637.5759,234591591.05033
