time,advection_energy_balance,area_pp_reactor_inlet,barrel_avg_temperature,barrel_max_temperature,bed_solid_avg_temperature,bypass_mfr,core_delta_p,outlet_mfr,ref_avg_temperature,ref_max_temperature,rpv_avg_temperature,rpv_convection_diffusion,rpv_max_temperature,rpv_radiation,rpv_side_temp,rpv_tot_out,set_inlet_mfr,total_balance_percent,total_power
0,-102.31404702916,2.5509732347149,523.15,523.15,523.15,0,1.862645149231e-09,5.380331529211e-05,523.15,523.15,523.15,0,523.15,0,523.15,0,0,99.999959074382,250000000
0.5,-141755319.68458,2.5509732347149,465.86391288292,548.63416446268,865.25015588493,-0.69415391848399,36739.63406794,51.255717711786,593.11757329948,1067.2566186611,426.73115259841,990.56347144419,474.28972896247,310886.6679862,424.75025518214,311877.23145765,48,43.422623018751,250000000
1,-228895943.00805,2.5509732347149,465.86391293128,548.63416516689,865.27350559553,-1.0143950603304,124362.37878215,92.129206682871,593.1176078617,1067.25661739,426.73115263088,990.56347169656,474.28972935331,310886.66813509,424.75025521374,311877.23160679,96,8.5663736894215,250000000
2,-248275919.68655,2.5509732347149,465.86391302802,548.6341665753,865.27692030082,-1.1232321210984,129820.71433027,95.787178467296,593.11767871443,1067.2566128481,426.73115269583,990.56347220129,474.28973013498,310886.66843286,424.75025527692,311877.23190506,96,0.81438301814311,250000000
4,-249584896.68657,2.5509732347149,465.86391322149,548.63416939209,865.27520020501,-1.1448208230971,130260.28430691,96.030861372949,593.11782330174,1067.2565977315,426.73115282572,990.56347321074,474.28973169833,310886.6690284,424.7502554033,311877.23250161,96,0.29079221837446,250000000
8,-249881322.65872,2.5509732347149,465.8639136084,548.6341750256,865.26635460303,-1.1587764240813,130377.32834572,96.066451443872,593.11810451261,1067.2565613357,426.7311530855,990.56347522962,474.28973482499,310886.67021947,424.75025565605,311877.2336947,96,0.17222182998929,250000000
16,-249757293.0007,2.5509732347149,465.86391438215,548.63418629227,865.25779108224,-1.1622341507841,130359.12887578,96.026592498788,593.11861865657,1067.2565075239,426.73115360504,990.56347926726,474.2897410782,310886.67260154,424.75025616153,311877.23608081,96,0.22183369415262,250000000
32,-249660631.12637,2.5509732347149,465.86391592937,548.63420882429,865.25041071043,-1.1584269107372,130326.80661442,96.002303887017,593.11953681482,1067.2564880464,426.73115464407,990.5634873421,474.28975358418,310886.67736543,424.75025717244,311877.24085277,96,0.26049844579436,250000000
64,-249688715.50928,2.5509732347149,465.86391902259,548.634253883,865.22803369838,-1.1568398876981,130322.71496973,96.000092611663,593.12104392302,1067.2568773794,426.73115672187,990.56350348994,474.28977859438,310886.6868922,424.75025919405,311877.25039569,96,0.24926469644562,250000000
128,-249735792.42579,2.5509732347149,465.86392520412,548.63434397896,865.16081790022,-1.1565179502057,130315.1899038,95.999804007974,593.12301473871,1067.2595984034,426.73116087651,990.56353577828,474.28982860766,310886.70594168,424.75026323638,311877.26947746,96,0.23043393747446,250000000
256,-249737410.78626,2.5509732347149,465.86393754896,548.63452408449,865.03101676653,-1.1564197327316,130300.83731184,95.999852918603,593.12447774758,1067.2692028996,426.73116918177,990.56360032506,474.28992860559,310886.74402411,424.75027131745,311877.30762444,96,0.22978660854552,250000000
512,-249674541.42034,2.5509732347149,465.86396221824,548.63488393669,864.9083548233,-1.1563464500741,130287.27160802,95.99993835034,593.12444143878,1067.2841619395,426.73118577583,990.56372929354,474.29012848051,310886.82011984,424.75028746432,311877.38384914,96,0.25493438540504,250000000
1024,-249626101.26773,2.5509732347149,465.86401188698,548.63560220493,864.85622843409,-1.156316683986,130281.47488558,95.999986902744,593.12339985506,1067.2904852511,426.73121890759,990.5639867746,474.29052775273,310886.97205871,424.75031969864,311877.53604549,96,0.2743105073248,250000000
2048,-249611842.68038,2.5509732347149,465.86411242706,548.63703110366,864.84602364267,-1.1563129223796,130280.29208835,95.999998505937,593.12205410072,1067.28397977,426.73128493665,990.56449977967,474.29132334429,310887.27480563,424.75038390469,311877.83930541,96,0.28001406356895,250000000
4096,-249609131.40335,2.5509732347149,465.86430995203,548.63984638331,864.84487390546,-1.1563143569505,130280.13056182,95.999999836906,593.12052866064,1067.2760995024,426.73141548525,990.56551407848,474.29289600058,310887.87343067,424.75051085322,311878.43894475,96,0.28109881423975,250000000
8192,-249608546.86446,2.5509732347149,465.86468420271,548.64539566547,864.84465107001,-1.1563155438714,130280.08836629,95.999999968202,593.11921767679,1067.2749930151,426.73167300441,990.56751626433,474.2960200005,310889.05636771,424.75076162556,311879.62388397,96,0.28133310376784,250000000
16384,-249608546.86446,2.5509732347149,465.86468420271,548.64539566547,864.84465107001,-1.1563155438714,130280.08836629,95.999999968202,593.11921767679,1067.2749930151,426.73167300441,990.56751626433,474.2960200005,310889.05636771,424.75076162556,311879.62388397,96,0.28133310376784,250000000
32768,-249608546.86446,2.5509732347149,465.86468420271,548.64539566547,864.84465107001,-1.1563155438714,130280.08836629,95.999999968202,593.11921767679,1067.2749930151,426.73167300441,990.56751626433,474.2960200005,310889.05636771,424.75076162556,311879.62388397,96,0.28133310376784,250000000
65536,-249608546.86446,2.5509732347149,465.86468420271,548.64539566547,864.84465107001,-1.1563155438714,130280.08836629,95.999999968202,593.11921767679,1067.2749930151,426.73167300441,990.56751626433,474.2960200005,310889.05636771,424.75076162556,311879.62388397,96,0.28133310376784,250000000
131072,-249608546.86446,2.5509732347149,465.86468420271,548.64539566547,864.84465107001,-1.1563155438714,130280.08836629,95.999999968202,593.11921767679,1067.2749930151,426.73167300441,990.56751626433,474.2960200005,310889.05636771,424.75076162556,311879.62388397,96,0.28133310376784,250000000
262144,-249608546.86446,2.5509732347149,465.86468420271,548.64539566547,864.84465107001,-1.1563155438714,130280.08836629,95.999999968202,593.11921767679,1067.2749930151,426.73167300441,990.56751626433,474.2960200005,310889.05636771,424.75076162556,311879.62388397,96,0.28133310376784,250000000
524288,-249608546.86446,2.5509732347149,465.86468420271,548.64539566547,864.84465107001,-1.1563155438714,130280.08836629,95.999999968202,593.11921767679,1067.2749930151,426.73167300441,990.56751626433,474.2960200005,310889.05636771,424.75076162556,311879.62388397,96,0.28133310376784,250000000
1000000,-249608546.86446,2.5509732347149,465.86468420271,548.64539566547,864.84465107001,-1.1563155438714,130280.08836629,95.999999968202,593.11921767679,1067.2749930151,426.73167300441,990.56751626433,474.2960200005,310889.05636771,424.75076162556,311879.62388397,96,0.28133310376784,250000000
