time,Burnup_avg,Tfluid_avg,Tfuel_avg,Tfuel_max,Tmod_avg,Tmod_max,Tsolid_avg,Tsolid_max,UnscaledTotalPower,avg_power_density,decay_heat,eigenvalue,integrated_pebble_decay_heat,power_peak,power_scaling,prompt_power,total_power
0,2.6207e+14,500,500,500,500,500,500,500,1.3897950765193e-10,3215251.3755938,0.39687036499252,1,0,1.0000004278342,1.7988263465872e+18,250000000,250000000
1,2.8779339938057e+14,653.55059272446,903.93021576793,1118.8232278285,889.83727971076,1116.6208444971,672.58133488605,1109.1225766961,1.1924620958267e-10,3215251.3755938,15502528.449847,0.99351067770078,15502528.449847,2.0067344360989,2.0965026970244e+18,250000000,250000000
2,2.8779339938057e+14,653.55059272446,903.93021576793,1118.8232278285,889.83727971076,1116.6208444971,672.58133488605,1109.1225766961,1.1924620958267e-10,3215251.3755938,15502528.449847,0.99351067770078,15502528.449847,2.0067344360989,2.0965026970244e+18,250000000,250000000
