dnp_src,id,x,y,z
1.525419904197e+16,0,1.005,0,0
1.525419904197e+16,0.01,1.005,0.01,0
1.9905313856409e+16,0.02,1.005,0.02,0
2.4568164242868e+16,0.03,1.005,0.03,0
2.9252482690374e+16,0.04,1.005,0.04,0
3.3949008579826e+16,0.05,1.005,0.05,0
3.8642727731463e+16,0.06,1.005,0.06,0
4.3318328195627e+16,0.07,1.005,0.07,0
4.7962773792551e+16,0.08,1.005,0.08,0
5.2565767364288e+16,0.09,1.005,0.09,0
5.7119499179127e+16,0.1,1.005,0.1,0
6.1618266853017e+16,0.11,1.005,0.11,0
6.6058039700344e+16,0.12,1.005,0.12,0
7.0436068734223e+16,0.13,1.005,0.13,0
7.4750561151169e+16,0.14,1.005,0.14,0
7.9000418383725e+16,0.15,1.005,0.15,0
8.3185030550577e+16,0.16,1.005,0.16,0
8.7304118736169e+16,0.17,1.005,0.17,0
9.1357616776156e+16,0.18,1.005,0.18,0
9.5345584949597e+16,0.19,1.005,0.19,0
9.9268148891066e+16,0.2,1.005,0.2,0
1.0312545798688e+17,0.21,1.005,0.21,0
1.0691765844832e+17,0.22,1.005,0.22,0
1.1064487716842e+17,0.23,1.005,0.23,0
1.143072132697e+17,0.24,1.005,0.24,0
1.179047349686e+17,0.25,1.005,0.25,0
1.2143747999089e+17,0.26,1.005,0.26,0
1.2490545824184e+17,0.27,1.005,0.27,0
1.283086558233e+17,0.28,1.005,0.28,0
1.3164703978921e+17,0.29,1.005,0.29,0
1.34920563222e+17,0.3,1.005,0.3,0
1.3812917037696e+17,0.31,1.005,0.31,0
1.4127280173779e+17,0.32,1.005,0.32,0
1.443513988937e+17,0.33,1.005,0.33,0
1.4736490918525e+17,0.34,1.005,0.34,0
1.5031329010833e+17,0.35,1.005,0.35,0
1.5319651345851e+17,0.36,1.005,0.36,0
1.5601456920348e+17,0.37,1.005,0.37,0
1.5876746909942e+17,0.38,1.005,0.38,0
1.6145525003038e+17,0.39,1.005,0.39,0
1.6407797712662e+17,0.4,1.005,0.4,0
1.6663612275454e+17,0.41,1.005,0.41,0
1.6912938292926e+17,0.42,1.005,0.42,0
1.7155770756903e+17,0.43,1.005,0.43,0
1.7392156959653e+17,0.44,1.005,0.44,0
1.7622121134427e+17,0.45,1.005,0.45,0
1.7845691597282e+17,0.46,1.005,0.46,0
1.8062900865117e+17,0.47,1.005,0.47,0
1.827378574357e+17,0.48,1.005,0.48,0
1.8478387388818e+17,0.49,1.005,0.49,0
1.8676751344393e+17,0.5,1.005,0.5,0
1.8868927553447e+17,0.51,1.005,0.51,0
1.9054970349167e+17,0.52,1.005,0.52,0
1.9234938423958e+17,0.53,1.005,0.53,0
1.9408894777805e+17,0.54,1.005,0.54,0
