dnp_src,id,x,y,z
2.3509519826576e+17,0.91,0.91,1.005,0
2.3435990360685e+17,0.92,0.92,1.005,0
2.3358772373443e+17,0.93,0.93,1.005,0
2.3277940094806e+17,0.94,0.94,1.005,0
2.3193565510218e+17,0.95,0.95,1.005,0
2.3105718460403e+17,0.96,0.96,1.005,0
2.3014466740651e+17,0.97,0.97,1.005,0
2.291987619827e+17,0.98,0.98,1.005,0
2.2822010826693e+17,0.99,0.99,1.005,0
2.2720932855309e+17,1,1,1.005,0
2.2616702833612e+17,1.01,1.01,1.005,0
2.2509379708225e+17,1.02,1.02,1.005,0
2.2399020891444e+17,1.03,1.03,1.005,0
2.2285682318993e+17,1.04,1.04,1.005,0
2.2169418494448e+17,1.05,1.05,1.005,0
2.2050282517169e+17,1.06,1.06,1.005,0
2.1928342934064e+17,1.07,1.07,1.005,0
2.1803645770627e+17,1.08,1.08,1.005,0
2.1676241446248e+17,1.09,1.09,1.005,0
2.1546179765908e+17,1.1,1.1,1.005,0
2.1413509999895e+17,1.11,1.11,1.005,0
2.1278280967139e+17,1.12,1.12,1.005,0
2.1140541113914e+17,1.13,1.13,1.005,0
2.1000338587538e+17,1.14,1.14,1.005,0
2.0857721304567e+17,1.15,1.15,1.005,0
2.0712737013405e+17,1.16,1.16,1.005,0
2.0565433350752e+17,1.17,1.17,1.005,0
2.0415857891674e+17,1.18,1.18,1.005,0
2.0264058192856e+17,1.19,1.19,1.005,0
2.0110081828678e+17,1.2,1.2,1.005,0
1.9953976419727e+17,1.21,1.21,1.005,0
1.9795789653279e+17,1.22,1.22,1.005,0
1.9635569295444e+17,1.23,1.23,1.005,0
1.9473363194388e+17,1.24,1.24,1.005,0
1.9309219274277e+17,1.25,1.25,1.005,0
1.9143185519393e+17,1.26,1.26,1.005,0
1.8975309947992e+17,1.27,1.27,1.005,0
1.8805640575446e+17,1.28,1.28,1.005,0
1.8634225366114e+17,1.29,1.29,1.005,0
1.846111217349e+17,1.3,1.3,1.005,0
1.8286348668024e+17,1.31,1.31,1.005,0
1.8109982252348e+17,1.32,1.32,1.005,0
1.793205996343e+17,1.33,1.33,1.005,0
1.7752628361184e+17,1.34,1.34,1.005,0
1.7571733403159e+17,1.35,1.35,1.005,0
1.7389420305135e+17,1.36,1.36,1.005,0
1.7205733387498e+17,1.37,1.37,1.005,0
1.702071590719e+17,1.38,1.38,1.005,0
1.6834409875369e+17,1.39,1.39,1.005,0
1.6646855860972e+17,1.4,1.4,1.005,0
1.6458092780703e+17,1.41,1.41,1.005,0
1.6268157676008e+17,1.42,1.42,1.005,0
1.6077085477956e+17,1.43,1.43,1.005,0
1.5884908761281e+17,1.44,1.44,1.005,0
1.5691657488902e+17,1.45,1.45,1.005,0
1.5497358749142e+17,1.46,1.46,1.005,0
1.5302036487859e+17,1.47,1.47,1.005,0
1.5105711238192e+17,1.48,1.48,1.005,0
1.4908399851147e+17,1.49,1.49,1.005,0
1.4710115230939e+17,1.5,1.5,1.005,0
1.4510866079381e+17,1.51,1.51,1.005,0
1.4310656654068e+17,1.52,1.52,1.005,0
1.4109486545893e+17,1.53,1.53,1.005,0
1.3907350481687e+17,1.54,1.54,1.005,0
1.3704238158441e+17,1.55,1.55,1.005,0
1.3500134115815e+17,1.56,1.56,1.005,0
1.3295017653815e+17,1.57,1.57,1.005,0
1.3088862802957e+17,1.58,1.58,1.005,0
1.288163835364e+17,1.59,1.59,1.005,0
1.2673307951312e+17,1.6,1.6,1.005,0
1.2463830263433e+17,1.61,1.61,1.005,0
1.2253159222801e+17,1.62,1.62,1.005,0
1.2041244350602e+17,1.63,1.63,1.005,0
1.1828031160273e+17,1.64,1.64,1.005,0
1.1613461640519e+17,1.65,1.65,1.005,0
1.139747481229e+17,1.66,1.66,1.005,0
1.1180007350011e+17,1.67,1.67,1.005,0
1.0960994251428e+17,1.68,1.68,1.005,0
1.0740369533303e+17,1.69,1.69,1.005,0
1.0518066920766e+17,1.7,1.7,1.005,0
1.0294020487261e+17,1.71,1.71,1.005,0
1.0068165188855e+17,1.72,1.72,1.005,0
9.8404372206167e+16,1.73,1.73,1.005,0
9.6107741050437e+16,1.74,1.74,1.005,0
9.379114401395e+16,1.75,1.75,1.005,0
9.1453969007461e+16,1.76,1.76,1.005,0
8.9095591440739e+16,1.77,1.77,1.005,0
8.6715350682846e+16,1.78,1.78,1.005,0
8.4312515461804e+16,1.79,1.79,1.005,0
8.1886235403366e+16,1.8,1.8,1.005,0
7.9435475325075e+16,1.81,1.81,1.005,0
7.6958928161952e+16,1.82,1.82,1.005,0
7.445490142455e+16,1.83,1.83,1.005,0
7.1921170756171e+16,1.84,1.84,1.005,0
6.9354792296156e+16,1.85,1.85,1.005,0
6.6751862866223e+16,1.86,1.86,1.005,0
6.4107213049893e+16,1.87,1.87,1.005,0
6.1414012297867e+16,1.88,1.88,1.005,0
5.8663256088294e+16,1.89,1.89,1.005,0
5.5843090959051e+16,1.9,1.9,1.005,0
5.2937910608378e+16,1.91,1.91,1.005,0
4.9927119577015e+16,1.92,1.92,1.005,0
4.678340065596e+16,1.93,1.93,1.005,0
4.3470222188362e+16,1.94,1.94,1.005,0
3.9938159256133e+16,1.95,1.95,1.005,0
3.611936653903e+16,1.96,1.96,1.005,0
3.1919356648418e+16,1.97,1.97,1.005,0
2.7206164151994e+16,1.98,1.98,1.005,0
2.1806534015979e+16,1.99,1.99,1.005,0
1.5607820962375e+16,2,2,1.005,0
