dnp_src,id,x,y,z
1.5722049437113e+16,0,0,0.995,0
1.5722049437113e+16,0.01,0.01,0.995,0
2.0984450061613e+16,0.02,0.02,0.995,0
2.6473483551628e+16,0.03,0.03,0.995,0
3.2113250293091e+16,0.04,0.04,0.995,0
3.7842418394972e+16,0.05,0.05,0.995,0
4.361748970933e+16,0.06,0.06,0.995,0
4.9407436006864e+16,0.07,0.07,0.995,0
5.5189189634649e+16,0.08,0.08,0.995,0
6.0944871792117e+16,0.09,0.09,0.995,0
6.6660215324228e+16,0.1,0.1,0.995,0
7.232365030021e+16,0.11,0.11,0.995,0
7.792573063303e+16,0.12,0.12,0.995,0
8.3458734314558e+16,0.13,0.13,0.995,0
8.8916356073244e+16,0.14,0.14,0.995,0
9.429345488196e+16,0.15,0.15,0.995,0
9.9585839699134e+16,0.16,0.16,0.995,0
1.0479008636291e+17,0.17,0.17,0.995,0
1.0990338246187e+17,0.18,0.18,0.995,0
1.1492339822646e+17,0.19,0.19,0.995,0
1.1984818153077e+17,0.2,0.2,0.995,0
1.2467607475458e+17,0.21,0.21,0.995,0
1.2940565090096e+17,0.22,0.22,0.995,0
1.3403566614613e+17,0.23,0.23,0.995,0
1.3856502597064e+17,0.24,0.24,0.995,0
1.429927621468e+17,0.25,0.25,0.995,0
1.4731801810645e+17,0.26,0.26,0.995,0
1.5154004053623e+17,0.27,0.27,0.995,0
1.5565817538767e+17,0.28,0.28,0.995,0
1.5967186683581e+17,0.29,0.29,0.995,0
1.6358065804164e+17,0.3,0.3,0.995,0
1.6738419284887e+17,0.31,0.31,0.995,0
1.71082217784e+17,0.32,0.32,0.995,0
1.7467458392179e+17,0.33,0.33,0.995,0
1.7816124832796e+17,0.34,0.34,0.995,0
1.8154227490511e+17,0.35,0.35,0.995,0
1.8481783455545e+17,0.36,0.36,0.995,0
1.8798820462721e+17,0.37,0.37,0.995,0
1.9105376765665e+17,0.38,0.38,0.995,0
1.9401500944738e+17,0.39,0.39,0.995,0
1.9687251653256e+17,0.4,0.4,0.995,0
1.9962697308479e+17,0.41,0.41,0.995,0
2.0227915733631e+17,0.42,0.42,0.995,0
2.0482993756908e+17,0.43,0.43,0.995,0
2.0728026773272e+17,0.44,0.44,0.995,0
2.0963118274443e+17,0.45,0.45,0.995,0
2.1188379352035e+17,0.46,0.46,0.995,0
2.1403928178395e+17,0.47,0.47,0.995,0
2.1609889469873e+17,0.48,0.48,0.995,0
2.1806393936849e+17,0.49,0.49,0.995,0
2.1993577725221e+17,0.5,0.5,0.995,0
2.2171581854216e+17,0.51,0.51,0.995,0
2.2340551655218e+17,0.52,0.52,0.995,0
2.2500636216336e+17,0.53,0.53,0.995,0
2.2651987837195e+17,0.54,0.54,0.995,0
2.2794761497447e+17,0.55,0.55,0.995,0
2.2929114342506e+17,0.56,0.56,0.995,0
2.305520518884e+17,0.57,0.57,0.995,0
2.3173194050195e+17,0.58,0.58,0.995,0
2.3283241686057e+17,0.59,0.59,0.995,0
2.3385509172867e+17,0.6,0.6,0.995,0
2.348015749864e+17,0.61,0.61,0.995,0
2.3567347181438e+17,0.62,0.62,0.995,0
2.364723791227e+17,0.63,0.63,0.995,0
2.3719988223424e+17,0.64,0.64,0.995,0
2.3785755183012e+17,0.65,0.65,0.995,0
2.3844694116576e+17,0.66,0.66,0.995,0
2.3896958356332e+17,0.67,0.67,0.995,0
2.3942699017997e+17,0.68,0.68,0.995,0
2.3982064804514e+17,0.69,0.69,0.995,0
2.4015201835471e+17,0.7,0.7,0.995,0
2.4042253500348e+17,0.71,0.71,0.995,0
2.4063360333641e+17,0.72,0.72,0.995,0
2.4078659909496e+17,0.73,0.73,0.995,0
2.40882867539e+17,0.74,0.74,0.995,0
2.4092372272933e+17,0.75,0.75,0.995,0
2.409104469624e+17,0.76,0.76,0.995,0
2.4084429034915e+17,0.77,0.77,0.995,0
2.407264705388e+17,0.78,0.78,0.995,0
2.4055817259005e+17,0.79,0.79,0.995,0
2.403405489887e+17,0.8,0.8,0.995,0
2.4007471981382e+17,0.81,0.81,0.995,0
2.3976177304157e+17,0.82,0.82,0.995,0
2.3940276497967e+17,0.83,0.83,0.995,0
2.3899872081447e+17,0.84,0.84,0.995,0
2.3855063524987e+17,0.85,0.85,0.995,0
2.3805947322013e+17,0.86,0.86,0.995,0
2.3752617065019e+17,0.87,0.87,0.995,0
2.3695163524656e+17,0.88,0.88,0.995,0
2.3633674730913e+17,0.89,0.89,0.995,0
2.3568236055263e+17,0.9,0.9,0.995,0
2.3498930293758e+17,0.91,0.91,0.995,0
2.3425837751458e+17,0.92,0.92,0.995,0
2.3349036328613e+17,0.93,0.93,0.995,0
2.3268601608927e+17,0.94,0.94,0.995,0
2.3184606949648e+17,0.95,0.95,0.995,0
2.3097123573196e+17,0.96,0.96,0.995,0
2.3006220659203e+17,0.97,0.97,0.995,0
