dnp_src,id,x,y,z
1.5257588920498e+16,0,0.995,0,0
1.5257588920498e+16,0.01,0.995,0.01,0
1.9911050739242e+16,0.02,0.995,0.02,0
2.4573648287096e+16,0.03,0.995,0.03,0
2.9256337769422e+16,0.04,0.995,0.04,0
3.3950714736279e+16,0.05,0.995,0.05,0
3.8642279735616e+16,0.06,0.995,0.06,0
4.3316041216758e+16,0.07,0.995,0.07,0
4.7959110710765e+16,0.08,0.995,0.08,0
5.2561247145321e+16,0.09,0.995,0.09,0
5.711465689944e+16,0.1,0.995,0.1,0
6.1613631949378e+16,0.11,0.995,0.11,0
6.6054127136727e+16,0.12,0.995,0.12,0
7.0433377041153e+16,0.13,0.995,0.13,0
7.4749573951674e+16,0.14,0.995,0.14,0
7.9001607497143e+16,0.15,0.995,0.15,0
8.3188859581581e+16,0.16,0.995,0.16,0
8.7311046530647e+16,0.17,0.995,0.17,0
9.1368100409842e+16,0.18,0.995,0.18,0
9.5360082093725e+16,0.19,0.995,0.19,0
9.9287119516478e+16,0.2,0.995,0.2,0
1.031493654388e+17,0.21,0.995,0.21,0
1.0694696996593e+17,0.22,0.995,0.22,0
1.1068006394189e+17,0.23,0.995,0.23,0
1.1434875013086e+17,0.24,0.995,0.24,0
1.1795309980394e+17,0.25,0.995,0.25,0
1.214931529564e+17,0.26,0.995,0.26,0
1.2496892084126e+17,0.27,0.995,0.27,0
1.283803898977e+17,0.28,0.995,0.28,0
1.3172752645628e+17,0.29,0.995,0.29,0
1.3501028178841e+17,0.3,0.995,0.3,0
1.3822859723825e+17,0.31,0.995,0.31,0
1.4138240927782e+17,0.32,0.995,0.32,0
1.4447165438832e+17,0.33,0.995,0.33,0
1.4749627371135e+17,0.34,0.995,0.34,0
1.5045621746346e+17,0.35,0.995,0.35,0
1.5335144908992e+17,0.36,0.995,0.36,0
1.5618194914716e+17,0.37,0.995,0.37,0
1.5894771893242e+17,0.38,0.995,0.38,0
1.6164878383851e+17,0.39,0.995,0.39,0
1.6428519649068e+17,0.4,0.995,0.4,0
1.6685738378902e+17,0.41,0.995,0.41,0
1.6936506804085e+17,0.42,0.995,0.42,0
1.7180819717962e+17,0.43,0.995,0.43,0
1.7418720350626e+17,0.44,0.995,0.44,0
