time,External_Reactivity,Power,Power_Delta,Power_Normalized,Total_Reactivity,Total_Reactivity_Dollars,Total_Reactivity_Feedback,ch2_Coolant_Density_Reactivity,dnp_den,fml1_diff_flux,fml2_diff_flux,fml3_diff_flux,fml4_diff_flux,fml5_diff_flux,fml6_diff_flux,mdot,moderator_moderator_Reactivity
0,0.00019,5000000,-2.2625944087057e-16,1,0.00019,0,0,0,23.347955111547,0.18802282002878,0.63262385192387,0.37504664641501,0.15228740018552,0.0029740534257043,0.00073846960971058,170.94369265301,0
0.1,0.00019,5162593.9482177,0.16259394821773,1.0325187896435,0.0001895955223738,0,-4.04477626198e-07,-4.0423752345475e-07,23.350196091305,0.18816228708807,0.63277006220946,0.37506190062022,0.15232164682901,0.0030029654018537,0.00076679463091724,170.94302196788,-2.4010274324304e-10
0.2,0.00019,5275228.8941232,0.27522889412322,1.0550457788246,0.0001889110428144,-0.0001532112220447,-1.0889571856049e-06,-1.0880810914493e-06,23.353984281016,0.18831646625034,0.63306591641901,0.37521611585679,0.15246792915987,0.0030320982401349,0.00078744511938821,170.94348130707,-8.7609415555523e-10
0.3,0.00019,5354424.0873906,0.35442408739057,1.0708848174781,0.00018802984437928,-0.00041248378242609,-1.9701556207216e-06,-1.9681522180903e-06,23.358855376482,0.18845812517933,0.63338703406871,0.37540929457397,0.15264693653566,0.003059468982245,0.00080332020923918,170.94424914488,-2.0034026312898e-09
0.4,0.00019,5411139.9727755,0.41113997277553,1.0822279945551,0.00018700792820507,-0.00074627106845516,-2.9920717949314e-06,-2.9883882077253e-06,23.364496872547,0.18857720410889,0.63367744983639,0.37559408388838,0.15282001203887,0.0030839303986693,0.00081582964911171,170.94499903172,-3.6835872060936e-09
0.5,0.00019,5452663.5682327,0.45266356823268,1.0905327136465,0.00018588319363276,-0.0011333605283831,-4.1168063672353e-06,-4.1108472347839e-06,23.370697120872,0.18867352418881,0.63392175848657,0.3757547477313,0.15297363240552,0.0031052247549326,0.00082581266052588,170.94562355207,-5.959132451383e-09
0.6,0.00019,5483850.4150277,0.4838504150277,1.0967700830055,0.00018468150750999,-0.0015593963512255,-5.3184924900113e-06,-5.3096298826549e-06,23.377311607689,0.18875175976359,0.63412580885457,0.37589245802474,0.15310805775199,0.003123698076653,0.00083387133347116,170.94610592058,-8.8626073563303e-09
0.7,0.00019,5507944.1678957,0.50794416789567,1.1015888335791,0.00018342072522154,-0.0020145804886406,-6.5792747784635e-06,-6.5668561523013e-06,23.384240597728,0.18881820369106,0.63430418879265,0.37601570825559,0.15322971227851,0.0031399815695771,0.00084047602499434,170.94646219217,-1.2418626162136e-08
0.8,0.00019,5527118.2636552,0.52711826365515,1.105423652731,0.00018211335239496,-0.0024921495372968,-7.8866476050377e-06,-7.8700002908438e-06,23.391414292675,0.18887889032158,0.63447281004567,0.37613459465953,0.15334653382963,0.003154751666407,0.00084599533389899,170.94671661141,-1.6647314193818e-08
0.9,0.00019,5542834.3770303,0.5428343770303,1.1085668754061,0.00018076831185296,-0.0029873665170597,-9.2316881470378e-06,-9.2101235696362e-06,23.39878296609,0.18893867816186,0.63464508618242,0.3762578254826,0.15346548449106,0.0031685884411152,0.0008507086009068,170.94689209117,-2.1564577401545e-08
1,0.00019,5556079.9321318,0.5560799321318,1.1112159864264,0.00017939211499365,-0.0034968515708476,-1.0607885006349e-05,-1.0580700771146e-05,23.406310395442,0.18900096054858,0.63483046660569,0.37639151827617,0.15359150796734,0.0031819153034687,0.00085481846799597,170.94700731337,-2.7184235203148e-08
1.1,0.00019,5567525.6763834,0.56752567638336,1.1135051352767,0.00017798964332602,-0.0040181382599806,-1.2010356673982e-05,-1.1976839719596e-05,23.413969483017,0.18906774494693,0.63503437509421,0.37653906509104,0.15372736659255,0.003194993237421,0.0008584658828069,170.94707650811,-3.3516954385526e-08
1.2,0.00019,5577630.3665135,0.57763036651346,1.1155260733027,0.00017656466800302,-0.0045493775280234,-1.3435331996985e-05,-1.3394760145724e-05,23.421739329778,0.18913991508864,0.63525887158599,0.37670155124716,0.15387394423533,0.0032079451466792,0.00086174565184675,170.94711016786,-4.0571851260551e-08
1.3,0.00019,5586710.4215954,0.58671042159538,1.1173420843191,0.00017512019799296,-0.0050891409079487,-1.487980200704e-05,-1.4831444939578e-05,23.429603274306,0.18921754898614,0.63550357822579,0.37687838505671,0.15403073613921,0.0032207921936585,0.0008647204415444,170.94711593009,-4.8357067461424e-08
1.4,0.00019,5594986.346708,0.59498634670796,1.1189972693416,0.0001736587156795,-0.0056362886390301,-1.6341284320501e-05,-1.6284404805111e-05,23.437547574662,0.18930021929851,0.63576659547369,0.37706793281502,0.15419635582186,0.0032334906608765,0.00086743204581062,170.94709938365,-5.6879515389352e-08
1.5,0.00019,5602613.7366597,0.6026137366597,1.1205227473319,0.00017218233658201,-0.0061898804244321,-1.7817663417991e-05,-1.7751518360698e-05,23.445560518203,0.18938723756472,0.63604526251167,0.37726805040412,0.15436896812174,0.0032459632220885,0.00086990963943613,170.94706469757,-6.6145057292522e-08
1.6,0.00019,5609704.0298019,0.60970402980193,1.1219408059604,0.00017069291866086,-0.006749114931057,-1.930708133914e-05,-1.9230922711055e-05,23.453631815923,0.18947782888786,0.63633670759398,0.37747647083383,0.15454661249636,0.0032581222991022,0.00087217532004393,170.94701507714,-7.6158628084522e-08
1.7,0.00019,5616338.4392074,0.61633843920744,1.1232676878415,0.00016919213803964,-0.0073132883860379,-2.0807861960362e-05,-2.072093764216e-05,23.461752189026,0.18957124115909,0.6366381924281,0.37769104855586,0.15472741450442,0.0032698855077903,0.00087424750565884,170.94695309038,-8.6924318201675e-08
