time,area_pp_downcomer_inlet,inlet_T,inlet_p,outlet_T,outlet_p,vfr_downcomer,vfr_pump
0,0.19677333595724,0,0,0,0,0,0
0.1,0.19677333595724,923.00427200729,-328888.96816223,910.0683952367,-416373.82263771,-0.034008759169057,0.034398350742623
0.3,0.19677333595724,922.97646502459,-40906.432666765,909.40002092753,-127504.12376784,-0.037098302651902,0.037197433413654
0.7,0.19677333595724,922.57796015953,-143028.19369548,909.21915869311,-229564.80402311,-0.037251389147708,0.037296035854617
1.5,0.19677333595724,920.87183992753,-395670.46109273,909.12621202325,-482184.08054672,-0.037272168388793,0.037282830109556
3.1,0.19677333595724,917.36665080422,-953446.1243679,909.07699899729,-1039941.5491825,-0.037281689465784,0.037273120038603
6.3,0.19677333595724,913.23378131174,-2088396.3353723,909.06758922295,-2174882.2759135,-0.037279913690783,0.037271107522465
12.7,0.19677333595724,910.14056092612,-3379690.9523599,909.11468686782,-3466169.2711494,-0.03727554501414,0.037278618494555
25.5,0.19677333595724,908.5902933105,-2969772.5007409,909.25970339368,-3056246.2208092,-0.037270402138846,0.037287872614037
51.1,0.19677333595724,908.09474169056,-690611.86157078,909.51853982903,-777097.26731646,-0.037258187315483,0.037286600705685
102.3,0.19677333595724,908.16314252365,495844.48804207,909.68185100925,409333.63198767,-0.037242787916093,0.03727415044099
204.7,0.19677333595724,908.37558475288,45493.749672849,909.66812631094,-41035.184449808,-0.037234164190711,0.037263228615338
409.5,0.19677333595724,908.48000079445,-421089.00903105,909.62664835774,-507626.99089275,-0.037229967108569,0.037257253324906
819.1,0.19677333595724,908.49555083676,-425064.72744508,909.5972071751,-511607.9245524,-0.037226809709683,0.037253388103703
1638.3,0.19677333595724,908.48905439953,-71193.545223724,909.58196821679,-157739.03934437,-0.037224767944912,0.037251113262084
3276.7,0.19677333595724,908.48570677353,219891.65955884,909.57766903554,133345.57459025,-0.037223919974163,0.037250212856983
6553.5,0.19677333595724,908.48513834915,315758.56574166,909.57704774361,229212.39817989,-0.0372237153045,0.037250001196582
