stat,infiltration,youngs_modulus,thermal_conductivity,power_density,poisson_ratio,interface_temperature,heat_transfer_coeff,thermal_expansion
min,0.9652392578094706,13.2520597644003,25.004537103596586,221.7264922260107,0.1318617142196974,823.2161564955697,3512.7573791860473,5.385321888979835e-06
max,0.9999474901265963,14.996155842024338,28.27293703562497,249.9605534758354,0.20991924092279887,1017.1435667916544,5473.666738319122,5.998736997841665e-06
